Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,32.0,32.0,31.125,31.4375,13.680157000000001,396900
2000-01-04,31.375,31.9375,31.375,31.8125,13.843333,325500
2000-01-05,31.8125,33.125,31.8125,33.0,14.360085999999999,392200
2000-01-06,32.75,33.6875,32.75,33.1875,14.441673999999999,433000
2000-01-07,33.375,33.75,33.0625,33.625,14.632048999999999,250500
2000-01-10,33.625,33.8125,33.4375,33.5,14.577657,307700
2000-01-11,33.5,33.6875,33.5,33.625,14.632048999999999,223000
2000-01-12,33.5625,33.9375,33.5,33.875,14.740839999999999,252500
2000-01-13,33.875,34.0,33.625,33.8125,14.713643,222400
2000-01-14,33.875,33.875,33.5,33.8125,14.713643,529900
2000-01-18,33.6875,33.75,33.0,33.0,14.360085999999999,363800
2000-01-19,33.0,33.625,33.0,33.4375,14.550462,215500
2000-01-20,33.375,33.375,33.0625,33.0625,14.387279000000001,278800
2000-01-21,33.3125,34.0,33.1875,34.0,14.795237,345000
2000-01-24,34.0,34.4375,33.875,33.875,14.740839999999999,855500
2000-01-25,33.875,34.125,32.625,32.875,14.305684,964400
2000-01-26,33.125,33.6875,32.875,33.6875,14.659247,508500
2000-01-27,33.6875,34.125,33.3125,33.5625,14.604856,923900
2000-01-28,33.5625,33.625,32.875,33.0,14.360085999999999,357300
2000-01-31,33.1875,33.5625,33.0,33.5,14.577657,209900
2000-02-01,33.5,33.75,33.0625,33.6875,14.659247,318200
2000-02-02,33.625,34.0625,33.5625,33.625,14.632048999999999,765300
2000-02-03,33.6875,34.8125,33.6875,34.75,15.121601,536200
2000-02-04,34.9375,34.9375,33.875,34.0625,14.822439000000001,1106200
2000-02-07,34.0,34.0,33.5625,33.6875,14.659247,2040500
2000-02-08,33.125,33.5,33.0625,33.3125,14.758935999999999,461400
2000-02-09,33.25,33.25,32.5,32.5625,14.426651000000001,307500
2000-02-10,32.5625,32.5625,31.4375,31.625,14.011292999999998,399000
2000-02-11,31.625,31.9375,31.3125,31.8125,14.094364,339400
2000-02-14,31.8125,32.3125,31.6875,31.75,14.066673000000002,317600
2000-02-15,31.75,31.8125,31.3125,31.3125,13.872844,234600
2000-02-16,31.125,31.3125,30.6875,30.6875,13.595939000000001,367900
2000-02-17,30.75,30.75,30.3125,30.4375,13.485176999999998,287100
2000-02-18,30.125,30.1875,29.8125,29.9375,13.263659,510500
2000-02-22,30.0,30.5625,29.9375,30.4375,13.485176999999998,410600
2000-02-23,30.375,30.375,29.625,30.0,13.29135,356400
2000-02-24,29.75,29.8125,28.375,28.9375,12.820611,653000
2000-02-25,28.875,28.875,28.0,28.1875,12.48833,798200
2000-02-28,28.375,29.125,28.125,28.75,12.73754,335700
2000-02-29,28.75,28.75,28.0625,28.125,12.460638000000001,365600
2000-03-01,28.125,28.1875,27.5,27.5625,12.211428,324200
2000-03-02,27.5625,27.8125,27.5625,27.5625,12.211428,455900
2000-03-03,27.5625,27.8125,27.0625,27.3125,12.100662,595000
2000-03-06,27.3125,27.3125,25.9375,26.1875,11.602238,386100
2000-03-07,26.6875,27.9375,26.5625,27.0,11.962208,828200
2000-03-08,26.75,26.9375,26.625,26.75,11.851450999999999,442100
2000-03-09,26.8125,27.0,26.375,26.625,11.796069000000001,430200
2000-03-10,26.6875,26.75,26.0,26.0625,11.546861,687100
2000-03-13,26.625,28.375,26.125,26.5,11.740689999999999,555600
2000-03-14,26.5,26.9375,26.1875,26.875,11.906835000000001,458400
2000-03-15,27.125,29.125,27.0,28.75,12.73754,744900
2000-03-16,29.0,31.125,28.875,30.9375,13.706701999999998,908000
2000-03-17,30.9375,31.0,30.375,30.375,13.45749,813300
2000-03-20,30.4375,30.4375,29.875,30.0625,13.31904,293400
2000-03-21,30.1875,30.375,29.625,29.8125,13.208279000000001,591800
2000-03-22,29.9375,29.9375,28.5,29.1875,12.931375,375900
2000-03-23,29.1875,30.0,29.1875,29.5,13.069825999999999,340500
2000-03-24,29.25,30.0625,29.125,29.9375,13.263659,257800
2000-03-27,29.9375,30.4375,29.8125,30.0,13.29135,420500
2000-03-28,30.125,30.3125,29.3125,29.3125,12.986748,240800
2000-03-29,29.4375,30.25,29.375,29.875,13.235968,357400
2000-03-30,29.9375,30.3125,29.875,29.9375,13.263659,491600
2000-03-31,29.6875,29.8125,29.25,29.8125,13.208279000000001,315800
2000-04-03,29.8125,30.1875,29.5,29.8125,13.208279000000001,441000
2000-04-04,30.0,31.0625,29.75,30.8125,13.651320000000002,561800
2000-04-05,31.0,32.3125,30.875,31.625,14.011292999999998,527000
2000-04-06,31.625,31.8125,30.25,30.5625,13.540563,350200
2000-04-07,30.5625,30.8125,30.25,30.5,13.512872,450900
2000-04-10,30.5625,31.3125,30.5,31.0,13.734387,457300
2000-04-11,31.125,31.875,31.0,31.625,14.011292999999998,523200
2000-04-12,32.125,33.0,32.0,32.6875,14.482026000000001,737500
2000-04-13,32.6875,33.9375,32.625,33.875,15.008145,559900
2000-04-14,33.875,34.375,33.0,33.25,14.731245999999999,898000
2000-04-17,33.25,33.9375,32.3125,33.8125,14.980455,734000
2000-04-18,33.6875,34.0,33.3125,33.875,15.008145,863500
2000-04-19,33.4375,33.8125,32.875,33.6875,14.925076,338400
2000-04-20,33.5,33.8125,33.4375,33.8125,14.980455,261300
2000-04-24,33.8125,35.125,33.8125,35.0,15.506575,421500
2000-04-25,35.0,36.25,34.8125,36.125,16.004998999999998,368000
2000-04-26,36.125,37.8125,36.125,37.75,16.724947,715100
2000-04-27,37.75,38.5,37.625,38.125,16.89109,1064900
2000-04-28,37.9375,38.0,36.5,36.625,16.226515,537900
2000-05-01,37.375,37.375,36.5,36.5,16.171135,396100
2000-05-02,36.3125,36.6875,35.25,35.5625,15.755779,521000
2000-05-03,35.0625,35.1875,34.1875,34.625,15.340437,747700
2000-05-04,34.8125,35.875,34.0,35.375,15.672715,585700
2000-05-05,35.375,35.4375,34.25,34.625,15.340437,1953200
2000-05-08,34.0,35.8125,34.0,35.1875,15.864551,506500
2000-05-09,35.1875,35.25,34.9375,35.125,15.836372,327200
2000-05-10,35.0,36.1875,35.0,36.1875,16.315413,773600
2000-05-11,36.0625,36.375,35.8125,36.3125,16.371767000000002,450400
2000-05-12,36.4375,36.4375,35.625,36.0625,16.259056,385200
2000-05-15,36.125,36.8125,35.8125,36.5625,16.484488,368400
2000-05-16,36.3125,36.3125,35.125,36.25,16.343595999999998,279800
2000-05-17,35.75,35.75,34.875,35.0625,15.808198999999998,386300
2000-05-18,35.0625,36.375,35.0625,35.9375,16.202694,334800
2000-05-19,35.625,36.1875,35.5,36.0625,16.259056,373900
2000-05-22,36.0625,37.25,36.0625,36.5625,16.484488,250200
2000-05-23,36.8125,36.8125,35.25,35.5,16.005444,812900
2000-05-24,35.9375,36.8125,35.625,35.75,16.118164,544500
2000-05-25,35.75,35.8125,35.0,35.375,15.949091000000001,511900
2000-05-26,35.5,35.875,35.375,35.625,16.061802,382500
2000-05-30,35.8125,35.8125,34.6875,35.25,15.892724,247500
2000-05-31,35.25,35.75,35.25,35.5625,16.033625,322100
2000-06-01,35.75,35.75,34.75,35.5625,16.033625,379000
2000-06-02,35.5625,35.5625,34.5625,34.625,15.610945000000001,774800
2000-06-05,34.625,34.6875,33.5,33.5,15.103727,410100
2000-06-06,34.125,34.4375,33.875,34.1875,15.413694,812900
2000-06-07,34.25,34.625,34.25,34.375,15.498232999999999,342400
2000-06-08,34.5625,34.5625,33.5625,34.0625,15.357337,378300
2000-06-09,34.375,34.875,34.25,34.625,15.610945000000001,366800
2000-06-12,35.25,35.625,35.0,35.375,15.949091000000001,471700
2000-06-13,35.25,35.9375,35.1875,35.375,15.949091000000001,363500
2000-06-14,35.25,35.3125,34.1875,34.25,15.441872,350800
2000-06-15,34.125,35.1875,34.125,35.0,15.780014999999999,570700
2000-06-16,34.125,35.0625,34.125,34.875,15.723657999999999,839400
2000-06-19,34.8125,34.8125,33.625,33.9375,15.300979000000002,610700
2000-06-20,34.0,34.0,32.9375,33.5,15.103727,843800
2000-06-21,33.4375,33.8125,33.1875,33.3125,15.019197,520600
2000-06-22,33.25,33.25,32.0,32.6875,14.737404000000002,1299600
2000-06-23,32.5625,32.9375,32.0,32.1875,14.511981,1041400
2000-06-26,32.1875,32.5,31.75,32.4375,14.624697,942800
2000-06-27,32.0625,32.1875,30.9375,31.0,13.976585,1118200
2000-06-28,30.5,31.875,30.0,31.7187,14.300614999999999,1389800
2000-06-29,31.3125,32.0625,30.75,30.75,13.863873000000002,568300
2000-06-30,30.6875,31.75,29.4375,29.625,13.35666,1542200
2000-07-03,30.0,30.75,29.9375,30.75,13.863873000000002,446300
2000-07-05,30.125,31.5625,30.125,30.625,13.807519000000001,594400
2000-07-06,30.75,31.1875,30.5,30.75,13.863873000000002,676900
2000-07-07,30.8125,31.3125,30.8125,31.125,14.032936,500800
2000-07-10,31.1875,32.25,31.1875,32.125,14.483789999999999,690500
2000-07-11,32.0625,32.8125,31.875,32.8125,14.793764999999999,1019100
2000-07-12,33.0625,33.0625,32.4375,32.75,14.765585999999999,1238000
2000-07-13,32.5,33.0625,32.375,32.9375,14.850121,705800
2000-07-14,33.0,33.3125,32.0625,32.3125,14.568337,894300
2000-07-17,32.0625,33.125,32.0625,33.0625,14.906479000000001,681800
2000-07-18,33.125,33.5,32.875,33.25,14.991014000000002,503000
2000-07-19,33.25,33.6875,33.125,33.5,15.103727,550700
2000-07-20,33.5,34.0,33.25,33.8125,15.244623,880900
2000-07-21,33.8125,34.0,33.1875,33.1875,14.962833999999999,307800
2000-07-24,33.25,33.8125,32.8125,33.75,15.21645,674000
2000-07-25,33.75,34.5,33.3125,33.6875,15.188269,456500
2000-07-26,33.4375,33.5625,32.5,32.640598,14.716266000000001,876100
2000-07-27,32.9375,33.75,32.875,33.125,14.934659,710600
2000-07-28,33.1875,34.0,32.6875,33.0625,14.906479000000001,767600
2000-07-31,32.75,33.5,32.6875,32.8125,14.793764999999999,943400
2000-08-01,32.8125,34.1875,32.8125,34.125,15.385513000000001,967100
2000-08-02,34.375,34.75,34.1875,34.5,15.554592000000001,756500
2000-08-03,34.75,35.3125,34.375,34.515598,15.561620999999999,740800
2000-08-04,34.4375,34.9375,33.625,34.875,15.723657999999999,799700
2000-08-07,34.8125,35.078098,34.375,35.0625,15.808198999999998,2937000
2000-08-08,35.5,35.8125,34.625,35.375,16.226765,841800
2000-08-09,35.125,35.1875,34.6875,35.046799,16.076221,987300
2000-08-10,35.0625,35.125,34.6875,35.078098,16.090569,309300
2000-08-11,35.125,35.375,34.9375,35.328098,16.20525,771500
2000-08-14,35.3125,35.5,34.8125,35.0,16.05475,351500
2000-08-15,35.0,35.75,35.0,35.3125,16.198095000000002,627700
2000-08-16,35.375,35.625,35.1875,35.390598,16.233919,250100
2000-08-17,35.875,36.0625,35.625,35.9375,16.484787,762700
2000-08-18,35.9375,36.1875,35.75,35.9375,16.484787,550700
2000-08-21,35.75,35.8125,35.375,35.6875,16.370102,765100
2000-08-22,35.6875,35.9375,35.5,35.8125,16.427452,359600
2000-08-23,35.625,35.9375,35.4375,35.875,16.456123,617100
2000-08-24,35.875,35.875,35.125,35.1875,16.140757,290300
2000-08-25,35.1875,35.5,35.0625,35.125,16.112089,550300
2000-08-28,35.0,35.5,34.9375,35.125,16.112089,557900
2000-08-29,34.9375,35.0,34.5,34.5,15.825391,499000
2000-08-30,34.4375,35.0,34.3125,34.625,15.882729999999999,499100
2000-08-31,34.8125,35.4375,34.75,35.140598,16.119249,820900
2000-09-01,35.375,35.5625,35.1875,35.203098,16.147913,479300
2000-09-05,35.25,36.5625,35.25,36.25,16.628138,1273000
2000-09-06,36.875,37.875,36.8125,37.5,17.201515,1504500
2000-09-07,38.0,38.0,37.25,37.6875,17.287523,776800
2000-09-08,37.9375,38.9062,37.75,38.9062,17.84655,884100
2000-09-11,38.875,40.0,38.875,39.328098,18.040081,1166700
2000-09-12,39.375,39.5,38.0625,38.6875,17.746226999999998,962800
2000-09-13,38.4375,38.75,37.625,37.75,17.316195999999998,1184500
2000-09-14,37.75,37.75,36.5625,37.25,17.086847,915400
2000-09-15,37.375,38.375,37.3125,38.2812,17.55986,1508900
2000-09-18,38.0,38.0625,37.375,37.671799,17.280329000000002,757800
2000-09-19,38.375,38.4375,36.375,36.375,16.685469,1440200
2000-09-20,36.375,36.5625,35.375,35.625,16.341438,881300
2000-09-21,35.625,36.25,35.0,35.1875,16.140757,772000
2000-09-22,35.1875,36.25,35.125,35.5,16.2841,615700
2000-09-25,35.8125,36.0,35.1875,35.5,16.2841,788600
2000-09-26,35.5,36.5625,35.5,36.4375,16.714142000000002,1205400
2000-09-27,36.125,36.9375,35.6875,36.890598,16.921984,675200
2000-09-28,37.375,39.8125,37.125,39.4375,18.090263,2671200
2000-09-29,39.0,39.875,39.0,39.140598,17.954071,1188100
2000-10-02,39.125,39.25,38.0625,39.0625,17.918251,935000
2000-10-03,38.8125,39.9375,38.5,38.5625,17.688896,971800
2000-10-04,38.5625,38.875,36.625,38.0,17.430874,1650100
2000-10-05,37.9375,38.625,36.375,36.5,16.742811,1062200
2000-10-06,36.875,37.3125,36.5,36.6875,16.828814,682000
2000-10-09,36.8125,37.25,36.1875,36.5,16.742811,425500
2000-10-10,36.5,37.9375,36.5,37.25,17.086847,961300
2000-10-11,37.25,37.9375,37.0625,37.9375,17.402206,1331900
2000-10-12,37.6875,38.9375,37.375,38.125,17.488216,1088300
2000-10-13,38.1875,38.8125,38.1875,38.8125,17.803572,879000
2000-10-16,38.5625,39.75,38.5625,39.3125,18.032925,1074700
2000-10-17,39.3125,39.75,39.0,39.1875,17.97559,519400
2000-10-18,39.0,39.375,37.75,38.25,17.545548999999998,798400
2000-10-19,37.625,38.4375,37.25,37.9375,17.402206,498600
2000-10-20,37.625,38.3125,37.375,37.6875,17.287523,670100
2000-10-23,38.0,39.0,37.875,38.1875,17.516873999999998,702300
2000-10-24,38.875,39.0,37.625,38.1875,17.516873999999998,660800
