Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.5625,7.5625,7.125,7.375,7.375,402400
2000-01-04,7.117175,7.5,6.9375,6.9375,6.9375,619200
2000-01-05,6.875,7.28125,6.84375,7.28125,7.28125,338800
2000-01-06,7.25,7.75,7.25,7.75,7.75,800400
2000-01-07,7.5,8.3125,7.375,8.25,8.25,749200
2000-01-10,8.8125,9.359375,8.0625,8.28125,8.28125,1455200
2000-01-11,8.46875,8.625,7.28125,7.5,7.5,460000
2000-01-12,7.5,7.625,7.21875,7.40625,7.40625,745600
2000-01-13,7.6875,8.78125,7.40625,8.71875,8.71875,762000
2000-01-14,8.84375,9.125,8.625,8.65625,8.65625,738000
2000-01-18,8.65625,8.65625,8.265625,8.265625,8.265625,450400
2000-01-19,8.359375,8.59375,8.28125,8.53125,8.53125,189200
2000-01-20,8.75,10.0,8.6875,9.96875,9.96875,1013600
2000-01-21,10.0625,11.46875,10.0,11.03125,11.03125,1926800
2000-01-24,11.5625,12.53125,11.5,11.765625,11.765625,2078400
2000-01-25,11.515625,11.90625,11.375,11.90625,11.90625,582800
2000-01-26,11.546875,12.25,11.5,12.15625,12.15625,390800
2000-01-27,12.25,12.34375,11.6289,11.890625,11.890625,1375600
2000-01-28,11.8125,12.0,10.8125,11.8125,11.8125,650000
2000-01-31,12.117175,12.117175,9.953125,10.9375,10.9375,914000
2000-02-01,11.0625,11.28125,10.578125,11.09375,11.09375,292000
2000-02-02,11.25,13.25,11.0625,12.625,12.625,1852400
2000-02-03,13.015625,14.5,12.75,14.0,14.0,744000
2000-02-04,14.125,14.6875,13.578125,13.65625,13.65625,1677200
2000-02-07,13.609375,14.34375,13.25,13.421875,13.421875,1221200
2000-02-08,13.46875,13.53125,12.75,12.859375,12.859375,880400
2000-02-09,12.875,13.25,12.875,12.96875,12.96875,740800
2000-02-10,13.015625,14.34375,12.96875,13.90625,13.90625,783200
2000-02-11,16.515625,16.765625,14.75,15.6875,15.6875,1256000
2000-02-14,15.1875,17.0,15.1875,15.625,15.625,486800
2000-02-15,16.21875,18.75,15.28125,18.75,18.75,918400
2000-02-16,19.90625,23.3125,19.875,22.0625,22.0625,1704000
2000-02-17,22.6875,22.96875,19.03125,21.03125,21.03125,1211200
2000-02-18,21.375,21.375,18.375,19.0,19.0,752400
2000-02-22,19.46875,19.71875,17.753901000000003,18.78125,18.78125,454800
2000-02-23,19.0625,19.4375,18.0625,19.0,19.0,984800
2000-02-24,19.03125,21.125,18.859375,19.8125,19.8125,1276000
2000-02-25,18.203125,20.34375,17.75,20.21875,20.21875,1329200
2000-02-28,22.25,22.5,19.71875,20.65625,20.65625,657600
2000-02-29,22.0,22.0,20.8125,21.3125,21.3125,1811200
2000-03-01,21.5625,29.96875,21.46875,28.875,28.875,1766000
2000-03-02,29.71875,29.96875,24.0,24.1875,24.1875,1468000
2000-03-03,24.328125,25.4375,23.59375,24.90625,24.90625,2932400
2000-03-06,24.875,25.25,24.21875,25.09375,25.09375,1888000
2000-03-07,25.75,26.609375,25.0,25.503901000000003,25.503901000000003,1491200
2000-03-08,25.75,25.75,23.46875,25.09375,25.09375,1585200
2000-03-09,24.90625,24.90625,24.03125,24.1875,24.1875,1061600
2000-03-10,23.9375,24.25,23.0625,23.25,23.25,1765600
2000-03-13,22.75,23.25,20.5625,22.5,22.5,1328800
2000-03-14,22.625,24.0,18.75,19.25,19.25,1603600
2000-03-15,19.6875,19.875,17.0,18.25,18.25,1178400
2000-03-16,18.546875,19.5,18.5,19.28125,19.28125,1231600
2000-03-17,19.53125,22.75,19.25,21.625,21.625,1188000
2000-03-20,22.0,23.25,18.75,19.28125,19.28125,1009600
2000-03-21,19.5,19.5,16.5,17.5,17.5,1008400
2000-03-22,17.75,19.921875,17.625,19.921875,19.921875,618800
2000-03-23,19.90625,21.0,18.375,20.3125,20.3125,422000
2000-03-24,20.125,20.53125,19.21875,19.796875,19.796875,462000
2000-03-27,19.78125,21.3125,19.78125,21.125,21.125,870400
2000-03-28,21.0625,21.25,18.5625,21.234375,21.234375,631600
2000-03-29,21.25,21.375,17.0,17.46875,17.46875,914000
2000-03-30,16.9375,17.015625,12.015625,12.015625,12.015625,1208000
2000-03-31,14.875,18.125,13.3125,17.4375,17.4375,1795200
2000-04-03,17.0,17.625,15.0,15.6875,15.6875,1119600
2000-04-04,15.515625,17.1875,9.25,14.25,14.25,2193200
2000-04-05,13.28125,17.0625,12.875,15.71875,15.71875,1022400
2000-04-06,15.625,17.25,15.328125,16.0,16.0,372400
2000-04-07,17.09375,17.09375,15.4375,15.4375,15.4375,208400
2000-04-10,16.15625,16.15625,14.5,15.109375,15.109375,598400
2000-04-11,14.25,15.75,13.3125,15.21875,15.21875,538800
2000-04-12,14.9375,16.09375,12.5,13.78125,13.78125,552800
2000-04-13,13.875,15.0,13.5,13.96875,13.96875,297200
2000-04-14,13.75,14.03125,12.59375,12.8125,12.8125,508800
2000-04-17,12.4375,12.46875,9.3125,10.4375,10.4375,874000
2000-04-18,11.421875,12.1875,10.15625,11.90625,11.90625,1142400
2000-04-19,11.875,11.875,9.9375,10.234375,10.234375,1180000
2000-04-20,10.484375,10.484375,8.703125,9.8125,9.8125,1848000
2000-04-24,9.59375,10.40625,9.0,10.0,10.0,698000
2000-04-25,10.578125,10.585925,9.375,9.515625,9.515625,710400
2000-04-26,9.71875,9.71875,8.875,8.875,8.875,752800
2000-04-27,9.21875,9.4375,8.8125,8.96875,8.96875,884400
2000-04-28,9.0,11.710925,8.921875,11.15625,11.15625,2278400
2000-05-01,11.75,14.75,11.71875,14.15625,14.15625,1133600
2000-05-02,13.1875,13.875,12.875,13.25,13.25,524000
2000-05-03,13.0,13.1875,11.6875,12.027325,12.027325,525600
2000-05-04,11.875,13.25,11.875,12.59375,12.59375,552400
2000-05-05,12.5625,13.0,12.3125,12.875,12.875,79600
2000-05-08,12.625,12.6875,11.625,11.6875,11.6875,214400
2000-05-09,11.65625,11.65625,10.875,10.996075,10.996075,819200
2000-05-10,10.90625,10.9375,8.375,8.6875,8.6875,2107600
2000-05-11,9.5,10.09375,8.75,9.265625,9.265625,2605600
2000-05-12,9.890625,9.984375,9.015625,9.53125,9.53125,638400
2000-05-15,9.75,9.875,9.25,9.28125,9.28125,617600
2000-05-16,9.3125,11.125,9.0,11.03125,11.03125,3848000
2000-05-17,10.0625,11.6875,9.84375,11.28125,11.28125,1480400
