Date,Open,High,Low,Close,Adj Close,Volume
2001-12-03,13.6,13.84,13.5,13.8,9.131736,847400
2001-12-04,13.7,13.84,13.6,13.75,9.09865,780700
2001-12-05,13.75,14.2,13.75,14.06,9.303778999999999,906200
2001-12-06,13.95,14.2,13.7,13.98,9.250841000000001,291300
2001-12-07,13.88,13.88,13.4,13.48,8.919983,399500
2001-12-10,13.1,13.1,11.2,11.2,7.41126,348800
2001-12-11,11.3,12.58,11.3,12.58,8.324434,595400
2001-12-12,12.48,12.85,11.95,12.0,7.940637,226700
2001-12-13,12.1,12.4,11.75,12.0,7.940637,248600
2001-12-14,11.9,12.08,11.76,11.98,7.927401,146000
2001-12-17,11.65,12.1,10.8,11.0,7.278917,523600
2001-12-18,10.9,11.5,10.7,11.5,7.609779,685500
2001-12-19,11.16,12.1,11.05,11.95,7.907551,290400
2001-12-20,12.0,12.0,11.35,11.51,7.6163940000000006,535400
2001-12-21,11.2,11.95,11.15,11.9,7.874464,367700
2001-12-24,12.35,12.95,12.1,12.89,8.529568,112300
2001-12-26,13.09,13.2,11.96,12.51,8.278115,255900
2001-12-27,12.7,12.95,12.7,12.9,8.536188000000001,374500
2001-12-28,12.91,12.91,11.9,12.0,7.940637,324500
2001-12-31,12.0,12.4,12.0,12.1,8.006806,451000
2002-01-02,12.05,14.0,12.01,14.0,9.264073,164700
2002-01-03,13.75,14.75,13.75,14.75,9.760368,260000
2002-01-04,14.75,14.89,14.11,14.81,9.800074,155700
2002-01-07,14.71,14.71,14.02,14.26,9.436126,131100
2002-01-08,14.2,14.2,13.81,14.2,9.396423,67500
2002-01-09,14.15,14.35,13.8,13.8,9.131736,52200
2002-01-10,13.7,14.05,13.2,13.57,8.979536999999999,74500
2002-01-11,13.62,13.74,13.5,13.5,8.933216,56100
2002-01-14,13.28,14.65,13.2,14.61,9.667727000000001,177500
2002-01-15,14.4,14.52,13.88,13.96,9.333433,208500
2002-01-16,13.99,14.0,12.8,12.8,8.557878,144600
2002-01-17,12.7,13.74,12.7,13.74,9.186351,618900
2002-01-18,13.54,13.65,13.1,13.45,8.992455999999999,123300
2002-01-22,13.45,14.04,13.35,13.82,9.239833,86000
2002-01-23,13.82,13.92,13.3,13.92,9.306687,70300
2002-01-24,13.82,13.82,13.5,13.5,9.025886999999999,63000
2002-01-25,13.4,13.61,12.9,13.61,9.099426,300500
2002-01-28,13.7,13.92,13.66,13.75,9.193032,135600
2002-01-29,13.75,13.75,13.02,13.2,8.825311,214400
2002-01-30,13.15,13.18,12.82,13.08,8.74508,31600
2002-01-31,13.0,13.05,12.5,13.05,8.725023,144700
2002-02-01,13.05,13.05,12.74,13.03,8.711655,114100
2002-02-04,12.8,13.99,12.69,13.39,8.952345,83400
2002-02-05,13.29,13.29,12.53,13.24,8.852053,112700
2002-02-06,13.24,13.45,13.1,13.27,8.872109,207500
2002-02-07,13.17,13.25,13.1,13.19,8.818625,76500
2002-02-08,13.29,13.47,13.26,13.4,8.959025,98900
2002-02-11,13.3,13.35,13.0,13.2,8.825311,104900
2002-02-12,13.2,13.3,13.15,13.27,8.872109,138700
2002-02-13,13.26,13.3,13.25,13.3,8.892169,65400
2002-02-14,13.3,13.35,13.25,13.35,8.9256,173400
2002-02-15,13.3,13.57,13.3,13.44,8.98577,90300
2002-02-19,13.54,13.58,13.3,13.46,8.999141,242600
2002-02-20,13.45,13.62,13.45,13.55,9.059318,101100
2002-02-21,13.55,13.69,13.5,13.57,9.072683999999999,74100
2002-02-22,13.65,14.65,13.65,14.52,9.707844,92600
2002-02-25,14.42,14.75,14.25,14.52,9.707844,67300
2002-02-26,14.52,14.52,13.88,13.96,9.333433,54500
2002-02-27,13.9,14.3,13.5,14.1,9.427035,61000
2002-02-28,14.5,14.61,13.9,14.2,9.493894000000001,148300
2002-03-01,14.15,15.5,14.06,15.3,10.229337,188500
2002-03-04,15.2,15.85,15.2,15.6,10.429914,320000
2002-03-05,15.5,15.75,15.23,15.4,10.296197,158400
2002-03-06,15.3,15.4,15.0,15.35,10.262764,121500
2002-03-07,15.29,15.3,14.75,14.85,9.928474000000001,119300
2002-03-08,14.8,14.92,14.35,14.5,9.694467999999999,58600
2002-03-11,14.1,14.8,14.0,14.71,9.834872,210400
2002-03-12,14.81,15.2,14.75,15.2,10.162479,83300
2002-03-13,15.3,15.3,15.1,15.23,10.182535000000001,19800
2002-03-14,15.2,15.52,15.15,15.5,10.363053,33200
2002-03-15,15.15,15.4,15.02,15.1,10.09562,109100
2002-03-18,15.25,15.25,15.07,15.14,10.122361,47400
2002-03-19,15.11,16.0,15.03,16.0,10.697348,57400
2002-03-20,15.75,16.0,15.25,15.26,10.202595,48600
2002-03-21,15.26,15.61,14.75,15.58,10.41654,107200
2002-03-22,15.6,15.85,15.31,15.51,10.36974,69500
2002-03-25,15.3,15.75,15.2,15.31,10.236024,129900
2002-03-26,15.31,16.01,15.2,15.9,10.63049,99400
2002-03-27,15.9,17.700001,15.9,16.5,11.031641,265200
2002-03-28,16.6,17.15,16.08,16.530001000000002,11.051694,146700
2002-04-01,16.530001000000002,17.1,16.15,17.0,11.365933,167700
2002-04-02,16.950001,17.059998999999998,16.860001,17.049999,11.39936,102200
2002-04-03,17.0,17.030001000000002,16.700001,16.75,11.198785,76800
2002-04-04,16.5,17.049999,16.5,17.049999,11.39936,89000
2002-04-05,17.049999,17.299999,16.799999,17.18,11.486279,103300
2002-04-08,17.0,17.85,17.0,17.6,11.767081,63900
2002-04-09,17.6,17.799999,17.15,17.6,11.767081,116300
2002-04-10,17.6,17.91,17.4,17.860001,11.940913,99300
2002-04-11,17.709999,17.780001000000002,17.41,17.469998999999998,11.779097,59700
2002-04-12,17.370001000000002,17.9,17.370001000000002,17.9,12.069027,131000
2002-04-15,17.75,18.200001,17.65,18.030001000000002,12.156671000000001,122900
2002-04-16,18.450001,19.049999,18.450001,18.9,12.743269999999999,83500
