Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,30.9375,31.0,29.5,29.5,16.90535,1615200
2000-01-04,29.5625,30.0,29.5625,29.875,17.120252999999998,456400
2000-01-05,29.8125,31.0,29.6875,30.6875,17.585859,1842300
2000-01-06,30.6875,31.125,30.125,30.4375,17.442595,366500
2000-01-07,30.875,31.25,30.625,31.125,17.836575,531300
2000-01-10,30.9375,31.3125,30.4375,30.6875,17.585859,257800
2000-01-11,30.5625,31.5625,30.5625,31.5,18.051472,1471100
2000-01-12,31.3125,31.5,31.0625,31.3125,17.944029,1518200
2000-01-13,31.5625,32.0,31.3125,31.625,18.123108,492700
2000-01-14,31.625,31.625,30.875,31.1875,17.872395,276700
2000-01-18,31.0,31.0,30.4375,30.5625,17.514225,418900
2000-01-19,30.625,31.125,30.5,30.875,17.693314,512300
2000-01-20,30.9375,31.125,30.3125,30.9375,17.729124,391500
2000-01-21,31.0,31.625,30.625,31.375,17.979839000000002,567300
2000-01-24,31.5,32.0625,31.25,31.25,17.908210999999998,657300
2000-01-25,31.3125,31.3125,30.5,30.6875,17.585859,714500
2000-01-26,30.875,30.875,30.0,30.4375,17.442595,1105700
2000-01-27,30.6875,30.6875,29.9375,30.0,17.191876999999998,572300
2000-01-28,29.75,30.25,29.4375,29.5,16.90535,514300
2000-01-31,29.75,30.375,29.3125,30.0,17.191876999999998,982200
2000-02-01,26.125,26.625,22.75,23.5,13.466973000000001,4026100
2000-02-02,23.0,23.0,20.3125,21.375,12.249217999999999,6256700
2000-02-03,21.1875,22.3125,21.0625,21.9375,12.571566,5044000
2000-02-04,21.875,22.0,20.125,20.375,11.873711,3314200
2000-02-07,20.375,20.5625,20.0625,20.3125,11.837285000000001,698100
2000-02-08,20.375,20.6875,20.25,20.3125,11.837285000000001,807100
2000-02-09,20.3125,20.375,19.8125,19.9375,11.618752,1282000
2000-02-10,19.9375,19.9375,18.0625,18.75,10.926728,2792300
2000-02-11,18.8125,18.8125,18.0625,18.625,10.853878,1121200
2000-02-14,18.75,19.375,18.625,19.1875,11.181683999999999,714400
2000-02-15,19.5,19.75,19.25,19.375,11.290953,746200
2000-02-16,19.125,19.3125,18.5,18.6875,10.890301,920000
2000-02-17,18.6875,18.6875,18.0,18.375,10.70819,1281500
2000-02-18,18.3125,18.5,17.9375,18.3125,10.67177,907200
2000-02-22,18.3125,18.375,17.9375,18.25,10.635347,685400
2000-02-23,18.4375,18.4375,17.5,17.5625,10.234701,1077400
2000-02-24,17.6875,17.6875,16.875,17.0,9.906898,697500
2000-02-25,17.0,17.0,16.1875,16.4375,9.579094,757300
2000-02-28,16.6875,16.6875,16.0625,16.5,9.615518,816200
2000-02-29,16.625,16.9375,16.5625,16.75,9.761207,914200
2000-03-01,16.75,17.0,16.6875,16.9375,9.870475,487000
2000-03-02,16.9375,17.25,16.875,16.875,9.834055000000001,1122500
2000-03-03,17.0,17.125,16.8125,17.0625,9.94332,899300
2000-03-06,17.75,18.0,17.0,17.3125,10.089011,1817500
2000-03-07,17.3125,17.5,17.125,17.25,10.052586,842300
2000-03-08,17.25,17.375,17.0625,17.1875,10.016164999999999,850000
2000-03-09,17.1875,17.25,16.875,17.125,9.979744,589200
2000-03-10,17.0625,17.375,17.0625,17.1875,10.016164999999999,450800
2000-03-13,17.25,17.4375,17.125,17.1875,10.016164999999999,537800
2000-03-14,17.25,17.5,17.0625,17.5,10.198277000000001,1938700
2000-03-15,17.5,18.875,17.3125,17.875,10.416808,2766700
2000-03-16,19.125,19.625,18.75,19.4375,11.327375,455000
2000-03-17,19.5,19.6875,19.0,19.0625,11.108838,819300
2000-03-20,19.25,19.5625,19.1875,19.4375,11.327375,579900
2000-03-21,19.3125,19.625,19.125,19.375,11.290953,431100
2000-03-22,19.375,19.5625,18.4375,18.875,10.99957,1017200
2000-03-23,19.0625,19.125,18.5,19.0,11.072415,709900
2000-03-24,19.0,19.3125,18.8125,19.0625,11.108838,328400
2000-03-27,19.25,19.75,19.0,19.0,11.072415,625600
2000-03-28,19.0625,19.375,18.75,18.9375,11.035995,835300
2000-03-29,18.6875,19.25,18.625,18.875,10.99957,851200
2000-03-30,19.25,19.375,18.625,18.75,10.926728,946900
2000-03-31,18.75,18.75,18.0,18.125,10.562503999999999,2418300
2000-04-03,18.1875,18.25,17.875,18.0,10.489657000000001,1082900
2000-04-04,18.0,18.625,17.75,18.1875,10.598927,661400
2000-04-05,18.1875,18.6875,18.0625,18.4375,10.744615,681100
2000-04-06,18.5,18.5625,18.25,18.25,10.635347,677200
2000-04-07,18.3125,18.375,18.1875,18.25,10.635347,786100
2000-04-10,18.25,18.625,18.0625,18.4375,10.744615,456700
2000-04-11,18.6875,18.75,18.5,18.5625,10.81746,406700
2000-04-12,18.625,19.1875,18.625,18.75,10.926728,609500
2000-04-13,18.625,19.6875,18.625,19.5,11.363794,1084900
2000-04-14,19.6875,19.6875,18.6875,19.375,11.290953,815500
2000-04-17,19.25,19.375,18.625,19.375,11.290953,459700
2000-04-18,19.25,19.625,18.9375,19.4375,11.327375,926800
2000-04-19,18.875,19.1875,18.875,19.1875,11.181683999999999,433500
2000-04-20,19.0,19.1875,18.875,18.875,10.99957,314300
2000-04-24,18.9375,19.5625,18.75,19.5,11.363794,496600
2000-04-25,19.25,19.875,18.75,19.8125,11.545910000000001,591600
2000-04-26,19.875,19.875,19.25,19.5,11.363794,744100
2000-04-27,19.4375,19.4375,18.5625,18.6875,10.890301,3672100
2000-04-28,18.75,19.125,18.375,19.0,11.292988000000001,3329900
2000-05-01,19.125,20.125,19.125,20.0625,11.9245,2123000
2000-05-02,20.0625,21.1875,20.0625,20.9375,12.444574000000001,3229800
2000-05-03,20.6875,20.6875,20.1875,20.5625,12.221689,593500
2000-05-04,20.625,21.75,20.4375,21.375,12.704611,1067300
2000-05-05,21.375,21.375,20.75,21.0625,12.518874,400100
2000-05-08,21.5,21.875,21.5,21.5625,12.816054,1243100
2000-05-09,21.625,21.625,21.375,21.4375,12.741759,860200
2000-05-10,21.4375,21.4375,21.125,21.3125,12.667461999999999,586400
2000-05-11,21.4375,21.875,21.25,21.875,13.001793,997000
2000-05-12,21.9375,22.1875,21.1875,21.25,12.630312,536400
2000-05-15,21.5,21.9375,21.375,21.75,12.927498,1092100
2000-05-16,21.9375,22.4375,21.5625,22.125,13.150386,495100
2000-05-17,22.375,22.375,21.625,21.8125,12.96465,425600
2000-05-18,21.6875,22.625,21.5625,22.125,13.150386,568700
2000-05-19,21.875,22.1875,21.625,21.6875,12.890350999999999,505100
2000-05-22,21.8125,22.0625,21.5625,21.875,13.001793,531600
2000-05-23,21.875,21.9375,21.3125,21.5,12.778903999999999,599200
2000-05-24,21.75,22.625,21.6875,22.0625,13.113239000000002,498700
2000-05-25,22.1875,22.25,21.6875,21.9375,13.038939,703500
2000-05-26,21.8125,22.5,21.75,22.375,13.298974,322300
2000-05-30,22.75,22.9375,22.0,22.125,13.150386,318700
2000-05-31,22.25,23.1875,22.1875,22.75,13.521866000000001,819000
2000-06-01,23.25,23.5,23.0625,23.125,13.744756,1701800
2000-06-02,23.5,23.6875,23.125,23.5,13.96764,726200
2000-06-05,23.3125,23.375,22.625,22.6875,13.484715,552700
2000-06-06,22.75,23.125,22.25,22.4375,13.336127,564500
2000-06-07,22.6875,22.875,22.3125,22.3125,13.261829,286400
2000-06-08,22.4375,22.4375,21.9375,22.125,13.150386,302600
2000-06-09,22.3125,22.6875,22.25,22.6875,13.484715,340100
2000-06-12,22.5,23.125,22.5,23.0625,13.707607999999999,661900
2000-06-13,23.125,23.1875,22.75,22.875,13.596169,411600
2000-06-14,23.0625,23.0625,22.75,22.875,13.596169,339600
2000-06-15,22.75,23.3125,22.75,23.3125,13.856201,739400
2000-06-16,23.3125,23.5,23.0,23.25,13.81905,1240000
2000-06-19,23.3125,23.4375,22.875,23.0,13.670456,438300
2000-06-20,22.875,23.0,22.625,22.625,13.447573,393400
2000-06-21,22.75,23.0625,22.625,22.6875,13.484715,436100
2000-06-22,22.9375,22.9375,22.375,22.6875,13.484715,594100
2000-06-23,22.625,22.875,22.4375,22.5,13.373276,1001600
2000-06-26,22.375,22.9375,22.375,22.5625,13.410423000000002,725100
2000-06-27,22.8125,22.8125,22.125,22.25,13.22468,759900
2000-06-28,22.25,22.9375,21.8125,22.5781,13.419696,482700
2000-06-29,22.4375,23.0,22.25,22.5,13.373276,524300
2000-06-30,22.3125,23.0625,21.875,22.125,13.150386,966200
2000-07-03,22.1875,23.3125,22.0625,22.875,13.596169,376800
2000-07-05,22.875,23.4375,22.375,22.75,13.521866000000001,553300
2000-07-06,22.75,23.1875,22.5,22.5,13.373276,287100
2000-07-07,22.6875,22.9375,22.5,22.8125,13.559014999999999,502000
2000-07-10,22.8125,22.9375,22.6875,22.75,13.521866000000001,595700
2000-07-11,22.9375,23.1875,22.5625,22.6875,13.484715,590400
2000-07-12,22.8125,23.375,22.8125,23.125,13.744756,351500
2000-07-13,23.0,23.4375,23.0,23.4375,13.930492999999998,621600
2000-07-14,23.375,23.75,23.3125,23.5625,14.004789,508800
2000-07-17,23.5625,23.6875,23.25,23.4062,13.911892000000002,374200
2000-07-18,23.5,23.9375,23.25,23.875,14.190535999999998,557700
2000-07-19,24.375,24.875,24.3125,24.875,14.784896,628100
2000-07-20,24.875,25.0,24.75,24.8125,14.747746,734700
2000-07-21,24.875,25.0,24.5625,24.8125,14.747746,1173100
2000-07-24,24.75,24.8125,24.5625,24.75,14.710607999999999,451700
2000-07-25,24.75,24.8125,24.625,24.8125,14.747746,746000
2000-07-26,24.75,25.0,24.5625,24.8125,14.747746,685100
2000-07-27,24.75,25.875,24.75,25.625,15.230676999999998,1974900
2000-07-28,25.625,25.8125,25.25,25.5,15.156376000000002,1020200
2000-07-31,25.6875,25.6875,25.25,25.5625,15.193526,907800
2000-08-01,25.625,26.0625,25.5625,26.0625,15.490707999999998,491400
2000-08-02,25.875,26.3125,25.8125,26.25,15.602155999999999,1328300
2000-08-03,26.0,26.4375,24.8125,25.5781,15.202796,1810400
2000-08-04,25.8125,25.875,24.9375,25.75,15.304976000000002,802200
2000-08-07,25.9375,26.5781,25.5,26.5781,15.797168,487600
2000-08-08,26.1875,26.5,25.5,26.4375,15.9324,1164500
2000-08-09,26.3125,26.375,26.0625,26.25,15.819401999999998,516500
2000-08-10,26.25,26.4375,26.0625,26.3281,15.866472,846500
2000-08-11,26.25,26.6406,26.0,26.625,16.045391,381700
2000-08-14,26.625,27.0625,26.25,27.0,16.271391,510000
2000-08-15,27.0,27.875,27.0,27.5625,16.610373000000003,1597900
2000-08-16,27.5,27.875,26.3125,26.4375,15.9324,2319600
2000-08-17,26.5,26.9375,26.375,26.5625,16.007725,1653900
2000-08-18,26.3125,26.9375,26.25,26.8125,16.158388000000002,494900
2000-08-21,26.875,26.875,26.125,26.375,15.894737,284000
2000-08-22,26.125,26.375,25.8125,26.25,15.819401999999998,515300
2000-08-23,26.3125,26.4375,25.75,26.0,15.668745000000001,478000
2000-08-24,26.0,26.0,25.6875,25.75,15.518079,316400
2000-08-25,25.875,26.0,25.4375,26.0,15.668745000000001,624900
2000-08-28,26.0,26.5625,25.75,26.375,15.894737,406400
2000-08-29,26.5625,26.5625,26.0625,26.1875,15.78174,639600
2000-08-30,26.0,26.75,26.0,26.1875,15.78174,373100
2000-08-31,25.9375,26.5,25.75,26.1406,15.753478,458300
2000-09-01,26.125,26.5625,26.125,26.25,15.819401999999998,730200
2000-09-05,26.25,26.6875,26.25,26.5,15.970068,308000
2000-09-06,26.625,27.5,26.5625,27.1875,16.38438,905100
2000-09-07,27.0625,27.625,26.875,27.4375,16.535042,807800
2000-09-08,27.4375,28.9687,27.4375,28.9687,17.457811,1166700
2000-09-11,28.9375,29.5625,28.75,28.8281,17.373079,992900
2000-09-12,28.8125,29.0,28.125,28.375,17.100019,423900
2000-09-13,28.375,28.9375,28.125,28.3125,17.062357000000002,575600
2000-09-14,28.375,28.8125,27.8125,28.75,17.326014,702000
2000-09-15,29.125,29.6875,29.0,29.5,17.777998,789000
2000-09-18,29.3125,29.375,28.5,28.625,17.250681,579000
2000-09-19,28.5625,28.5625,26.875,27.0625,16.309051999999998,1047800
2000-09-20,27.0625,27.25,26.3125,27.1875,16.38438,359300
2000-09-21,27.125,27.5,26.25,26.5,15.970068,464200
2000-09-22,26.125,26.625,26.0625,26.1875,15.78174,739900
2000-09-25,26.0625,26.3125,25.375,25.875,15.593406,708900
2000-09-26,26.0,26.875,25.8125,26.875,16.19606,1200900
2000-09-27,26.875,27.0,26.25,26.8906,16.205462,370200
2000-09-28,26.875,27.125,26.5,26.5625,16.007725,670300
2000-09-29,26.75,27.0625,26.5625,26.9531,16.243113,617900
2000-10-02,27.0,28.25,26.6875,28.1875,16.987023999999998,1420700
2000-10-03,28.1875,29.25,27.625,28.6875,17.288349,2064900
2000-10-04,27.5625,27.875,26.875,27.375,16.497379000000002,1237600
2000-10-05,27.4375,28.0,27.25,27.375,16.497379000000002,1046900
2000-10-06,27.375,27.625,27.25,27.5,16.572708,676800
2000-10-09,27.625,27.875,27.375,27.5625,16.610373000000003,395700
2000-10-10,27.8125,28.125,27.375,27.6875,16.685701,475300
2000-10-11,27.6875,28.25,27.625,27.625,16.648042999999998,1074000
2000-10-12,27.6875,28.375,27.0625,28.3125,17.062357000000002,1011100
2000-10-13,28.75,28.875,28.0,28.4375,17.137684,471700
2000-10-16,28.625,28.9375,28.0,28.9375,17.439003,591800
2000-10-17,27.625,27.8125,26.5,26.6875,16.083057,4233500
2000-10-18,26.625,26.8125,25.5625,26.4375,15.9324,1187500
2000-10-19,26.8125,27.25,26.3125,27.0625,16.309051999999998,796300
2000-10-20,26.5,26.9375,26.25,26.4375,15.9324,378400
2000-10-23,26.1875,26.75,26.0625,26.1875,15.78174,426100
2000-10-24,26.4375,26.625,25.4375,26.0,15.668745000000001,510600
2000-10-25,26.375,26.8125,25.9375,26.375,15.894737,954900
2000-10-26,26.25,26.25,25.375,25.75,15.518079,1089700
2000-10-27,25.75,27.0,25.125,27.0,16.271391,1537100
2000-10-30,27.0,27.625,26.6875,27.625,16.648042999999998,667200
2000-10-31,27.3125,27.6875,26.625,27.0,16.48925,906900
2000-11-01,27.0625,27.5625,26.875,27.5625,16.832777,892800
2000-11-02,27.5625,27.625,26.8125,26.875,16.412914,414100
2000-11-03,26.875,27.125,26.125,26.4375,16.145729,378200
2000-11-06,26.4375,27.0,26.375,26.625,16.260231,700300
2000-11-07,26.4375,26.8125,26.25,26.5625,16.222069,361500
2000-11-08,26.5625,27.25,26.4375,27.0,16.48925,569900
