Date,Open,High,Low,Close,Adj Close,Volume
2007-08-03,11.61,13.39,11.6,12.9,12.9,6608700
2007-08-06,13.0,13.23,12.07,12.7,12.7,796500
2007-08-07,12.64,12.9,12.37,12.6,12.6,450100
2007-08-08,12.65,13.0,12.52,12.88,12.88,225500
2007-08-09,12.45,13.1,12.27,12.94,12.94,131900
2007-08-10,12.72,13.2,12.61,12.81,12.81,236000
2007-08-13,12.91,13.21,12.9,13.07,13.07,240400
2007-08-14,13.45,13.49,12.81,13.01,13.01,45600
2007-08-15,12.99,13.1,12.6,12.88,12.88,298900
2007-08-16,12.6,12.73,12.5,12.7,12.7,78900
2007-08-17,12.49,13.0,12.49,13.0,13.0,297300
2007-08-20,12.89,12.89,12.45,12.75,12.75,88600
2007-08-21,12.7,13.0,12.56,12.9,12.9,280800
2007-08-22,12.99,12.99,12.5,12.63,12.63,158900
2007-08-23,12.51,12.99,12.5,12.9,12.9,351400
2007-08-24,12.83,13.0,12.77,12.99,12.99,40200
2007-08-27,12.99,13.1,12.6,13.1,13.1,104900
2007-08-28,13.16,13.2,12.76,12.76,12.76,17800
2007-08-29,12.76,13.2,12.76,12.77,12.77,47400
2007-08-30,12.61,12.85,12.54,12.54,12.54,38100
2007-08-31,12.69,12.82,12.53,12.69,12.69,22600
2007-09-04,12.68,13.8,12.5,13.75,13.75,154200
2007-09-05,13.77,15.0,13.1,14.55,14.55,451200
2007-09-06,14.53,14.78,13.95,14.5,14.5,73600
2007-09-07,14.5,14.7,14.25,14.5,14.5,93800
2007-09-10,14.53,15.29,14.5,14.83,14.83,358900
2007-09-11,14.84,15.95,14.84,15.2,15.2,126600
2007-09-12,15.29,15.5,15.1,15.22,15.22,216000
2007-09-13,15.34,15.56,15.22,15.55,15.55,459700
2007-09-14,15.55,16.0,15.47,15.89,15.89,210200
2007-09-17,15.84,15.9,15.65,15.7,15.7,517600
2007-09-18,15.59,15.91,15.25,15.4,15.4,391600
2007-09-19,15.3,15.7,15.0,15.7,15.7,72100
2007-09-20,15.74,15.91,15.65,15.85,15.85,44200
2007-09-21,15.94,16.32,15.75,16.129998999999998,16.129998999999998,489600
2007-09-24,16.23,16.440001000000002,16.02,16.17,16.17,214700
2007-09-25,16.139999,16.139999,15.65,15.65,15.65,67900
2007-09-26,16.0,16.389999,16.0,16.1,16.1,301100
2007-09-27,16.17,16.379998999999998,15.15,15.42,15.42,203200
2007-09-28,15.3,15.5,14.81,14.81,14.81,1450100
2007-10-01,14.79,16.209999,14.3,15.8,15.8,298900
2007-10-02,15.71,16.34,15.71,16.030001000000002,16.030001000000002,130600
2007-10-03,16.0,16.549999,16.0,16.42,16.42,220100
2007-10-04,16.51,17.24,16.26,16.950001,16.950001,210800
2007-10-05,17.15,17.309998999999998,16.709999,17.25,17.25,154600
2007-10-08,17.24,17.43,16.700001,16.700001,16.700001,160600
2007-10-09,16.799999,17.18,16.01,17.07,17.07,156500
2007-10-10,17.0,17.549999,16.51,17.540001,17.540001,366300
2007-10-11,17.549999,18.690001000000002,17.440001000000002,18.6,18.6,713200
2007-10-12,18.65,18.83,18.35,18.459999,18.459999,216600
2007-10-15,18.459999,18.5,17.77,18.030001000000002,18.030001000000002,100000
2007-10-16,18.200001,18.940001000000002,18.1,18.82,18.82,409000
2007-10-17,19.01,19.370001000000002,18.700001,18.860001,18.860001,1175200
2007-10-18,19.059998999999998,19.74,18.950001,19.73,19.73,117000
2007-10-19,19.68,20.07,19.309998999999998,19.65,19.65,242800
2007-10-22,19.58,20.5,19.33,19.559998999999998,19.559998999999998,165300
2007-10-23,19.75,20.0,19.110001,19.950001,19.950001,374600
2007-10-24,20.0,20.18,19.309998999999998,20.16,20.16,103600
2007-10-25,19.51,19.98,19.5,19.74,19.74,242200
2007-10-26,20.030001000000002,21.75,19.709999,21.370001000000002,21.370001000000002,149100
2007-10-29,21.799999,22.299999,20.870001000000002,21.99,21.99,196600
2007-10-30,21.65,22.17,20.35,20.459999,20.459999,146900
2007-10-31,20.799999,20.799999,19.23,19.49,19.49,201500
2007-11-01,19.450001,20.08,19.0,19.92,19.92,196200
2007-11-02,19.98,20.0,19.280001000000002,19.940001000000002,19.940001000000002,120300
2007-11-05,19.969998999999998,20.219998999999998,19.74,19.780001000000002,19.780001000000002,270900
2007-11-06,19.780001000000002,19.780001000000002,18.65,19.4,19.4,91500
2007-11-07,19.25,19.99,18.780001000000002,19.01,19.01,246700
2007-11-08,19.1,19.1,18.67,18.889999,18.889999,140800
2007-11-09,18.82,18.82,18.299999,18.559998999999998,18.559998999999998,155200
2007-11-12,18.43,18.469998999999998,17.120001000000002,18.120001000000002,18.120001000000002,163100
2007-11-13,18.129998999999998,18.4,17.309998999999998,18.4,18.4,122000
2007-11-14,18.9,18.9,17.459999,17.6,17.6,95800
