Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.703125,7.734375,7.4375,7.5,6.304235,394800
2000-01-04,7.453125,7.515625,7.40625,7.484375,6.2911,924400
2000-01-05,7.5,7.5,7.375,7.421875,6.238568,624000
2000-01-06,7.390625,7.453125,7.28125,7.453125,6.264835,450400
2000-01-07,7.453125,7.765625,7.421875,7.75,6.514379,1608400
2000-01-10,7.765625,8.109375,7.765625,7.890625,6.632581,620800
2000-01-11,7.84375,7.96875,7.796875,7.875,6.619447999999999,575600
2000-01-12,7.859375,7.859375,7.75,7.84375,6.59318,676800
2000-01-13,7.890625,8.203125,7.890625,8.140625,6.842722,700000
2000-01-14,8.15625,8.15625,7.78125,7.78125,6.540646,244800
2000-01-18,7.75,7.9375,7.734375,7.921875,6.65885,485200
2000-01-19,7.890625,8.0,7.875,7.875,6.619447999999999,741600
2000-01-20,7.921875,7.9375,7.859375,7.921875,6.65885,332000
2000-01-21,7.84375,7.953125,7.84375,7.921875,6.65885,960000
2000-01-24,7.90625,7.96875,7.90625,7.9375,6.671983,371200
2000-01-25,7.9375,8.078125,7.90625,8.015625,6.737651,1643200
2000-01-26,8.015625,9.21875,8.015625,9.0,7.565082,1582000
2000-01-27,9.015625,9.09375,8.25,8.25,6.934660000000001,1392000
2000-01-28,8.3125,8.609375,8.3125,8.40625,7.065998,1078000
2000-01-31,8.453125,8.53125,8.453125,8.5,7.144802,600000
2000-02-01,8.5,8.5,8.296875,8.375,7.0397300000000005,214000
2000-02-02,8.40625,8.53125,8.34375,8.390625,7.052861,456000
2000-02-03,8.5,8.71875,8.484375,8.609375,7.236737,496800
2000-02-04,8.625,8.90625,8.625,8.796875,7.394342,462000
2000-02-07,8.765625,8.890625,8.765625,8.859375,7.44688,767600
2000-02-08,8.859375,8.9375,8.859375,8.9375,7.512550999999999,434400
2000-02-09,9.0,9.140625,8.875,9.03125,7.5913520000000005,886400
2000-02-10,9.125,9.15625,9.046875,9.09375,7.643885000000001,394400
2000-02-11,9.109375,9.109375,8.828125,8.828125,7.420613,336800
2000-02-14,8.78125,8.78125,8.609375,8.65625,7.27614,214400
2000-02-15,8.6875,8.75,8.671875,8.71875,7.328672999999999,570000
2000-02-16,8.734375,8.8125,8.72655,8.796875,7.394342,1315200
2000-02-17,8.859375,9.0625,8.828125,8.828125,7.420613,857600
2000-02-18,8.859375,8.859375,8.625,8.640625,7.263006,187200
2000-02-22,8.640625,8.8125,8.59375,8.8125,7.4074800000000005,204400
2000-02-23,8.796875,8.890625,8.796875,8.875,7.460013000000001,886400
2000-02-24,8.84375,8.96875,8.765625,8.765625,7.368075999999999,372400
2000-02-25,8.734375,8.828125,8.6875,8.75,7.354941999999999,910400
2000-02-28,8.765625,8.765625,8.515625,8.53125,7.171069,228000
2000-02-29,8.546875,8.578125,8.4375,8.578125,7.210471000000001,379200
2000-03-01,8.625,9.078125,8.59375,8.96875,7.538814,441200
2000-03-02,9.03125,9.046875,8.90625,9.0,7.565082,241600
2000-03-03,9.03125,9.21875,9.03125,9.21875,7.748958999999999,952000
2000-03-06,9.625,10.09375,9.625,9.640625,8.103568,976400
2000-03-07,9.78125,9.78125,9.015625,9.21875,7.748958999999999,824400
2000-03-08,9.21875,9.4375,9.21875,9.296875,7.814625,710000
2000-03-09,9.265625,9.40625,9.265625,9.390625,7.893431,510000
2000-03-10,9.375,9.375,9.1875,9.203125,7.7358199999999995,299200
2000-03-13,9.1875,9.21875,9.125,9.171875,7.709554,196400
2000-03-14,9.15625,9.34375,8.9375,8.9375,7.512550999999999,780000
2000-03-15,8.9375,9.125,8.625,9.046875,7.604483999999999,286800
2000-03-16,9.109375,9.8125,9.109375,9.8125,8.248042,277600
2000-03-17,9.8125,9.96875,9.8125,9.921875,8.339977000000001,438800
2000-03-20,9.890625,10.0,9.34375,9.5,7.985367,569200
2000-03-21,9.3125,9.3125,8.75,8.9375,7.512550999999999,433200
2000-03-22,8.921875,9.359375,8.921875,9.265625,7.788358000000001,634000
2000-03-23,9.265625,9.46875,9.1875,9.1875,7.722687,814800
2000-03-24,9.15625,9.203125,8.9375,8.953125,7.525681,252800
2000-03-27,9.0,9.0,8.859375,8.859375,7.44688,233200
2000-03-28,8.96875,9.65625,8.90625,9.421875,7.919697,1261200
2000-03-29,9.421875,9.453125,9.125,9.25,7.775222,414400
2000-03-30,9.125,9.25,9.109375,9.234375,7.762091000000001,588000
2000-03-31,9.25,9.9375,9.21875,9.9375,8.353111,600000
2000-04-03,10.0,10.3125,9.875,9.953125,8.366247999999999,454400
2000-04-04,9.9375,9.9375,9.25,9.59375,8.064171,806800
