Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,25.5,25.5625,24.8125,25.0625,15.872353,755000
2000-01-04,24.875,25.625,24.875,25.3125,16.030687,715400
2000-01-05,25.9375,27.5,25.8125,26.9375,17.059809,1330000
2000-01-06,26.6875,26.875,26.125,26.875,17.020235,1210100
2000-01-07,27.0,28.0,27.0,28.0,17.73271,2816800
2000-01-10,27.9375,28.0625,27.625,28.0,17.73271,912200
2000-01-11,28.0,28.0625,27.75,27.875,17.65354,960100
2000-01-12,27.8125,28.1875,27.8125,27.9375,17.693125,618300
2000-01-13,27.8125,28.0,27.6875,27.75,17.574373,848500
2000-01-14,27.5,27.625,27.25,27.5,17.416052,712800
2000-01-18,27.25,27.5,26.75,27.0,17.099394,1032700
2000-01-19,26.5625,27.375,26.5625,27.25,17.257725,1014000
2000-01-20,26.875,26.9375,26.6875,26.8125,16.980648000000002,787500
2000-01-21,27.0,27.5,26.875,27.4375,17.376467,1016200
2000-01-24,27.625,29.3125,27.5625,28.5,18.049356,1592700
2000-01-25,28.5,29.0625,28.5,28.875,18.286856,2807400
2000-01-26,28.9375,29.0625,28.8125,29.0,18.366011,896900
2000-01-27,28.8125,29.5625,28.6875,29.0,18.366011,1649600
2000-01-28,29.0,29.0,28.25,28.25,17.891029,869500
2000-01-31,28.3125,29.125,28.0,29.125,18.445183,965200
2000-02-01,29.375,29.375,28.125,28.625,18.128521,1351400
2000-02-02,28.5625,28.6875,28.375,28.5625,18.088951,943300
2000-02-03,28.5,30.0,28.5,29.5,18.682671,1030100
2000-02-04,29.4375,29.5,28.125,28.375,17.970195999999998,838100
2000-02-07,28.125,28.375,27.875,28.375,17.970195999999998,855100
2000-02-08,28.1875,28.1875,27.625,27.875,17.65354,1400500
2000-02-09,27.8125,28.125,27.5,28.0,17.73271,1100700
2000-02-10,27.6875,28.375,27.5,27.5,17.416052,756100
2000-02-11,27.5625,28.25,27.5625,27.75,17.574373,487000
2000-02-14,27.75,28.25,27.6875,27.9375,17.693125,624800
2000-02-15,28.0,28.125,27.875,28.0,17.73271,524600
2000-02-16,28.0625,28.5,28.0,28.375,17.970195999999998,600200
2000-02-17,28.3125,28.4375,27.9375,28.0625,17.772289,381000
2000-02-18,28.0625,28.125,27.125,27.25,17.257725,929100
2000-02-22,27.25,27.4375,26.875,27.3125,17.297306,570400
2000-02-23,27.4375,27.4375,26.625,26.6875,16.901487,629800
2000-02-24,26.125,26.125,25.0,25.3125,16.030687,1181500
2000-02-25,25.5625,25.8125,25.3125,25.75,16.307756,838700
2000-02-28,25.75,26.8125,25.625,26.5,16.782745000000002,1114200
2000-02-29,26.375,26.375,25.625,26.25,16.62442,715300
2000-03-01,26.0,26.1875,25.25,25.75,16.307756,683600
2000-03-02,25.375,25.75,25.375,25.625,16.228596,747300
2000-03-03,25.75,26.0,25.5,25.625,16.228596,591100
2000-03-06,18.375,19.625,17.5,17.9375,11.360014999999999,7939800
2000-03-07,18.4375,18.4375,15.75,16.0,10.132976,7697000
2000-03-08,16.3125,16.3125,15.875,16.25,10.291302,4156800
2000-03-09,16.375,16.4375,15.4375,15.6875,9.935065,4243400
2000-03-10,15.6875,15.75,15.25,15.3125,9.697572000000001,3127100
2000-03-13,15.5,16.4375,15.4375,16.3125,10.330885,2262100
2000-03-14,16.3125,16.375,15.375,15.5625,9.8559,1930600
2000-03-15,15.625,15.625,15.375,15.4375,9.776736,4160000
2000-03-16,15.5,16.625,15.375,16.625,10.528795,3011500
2000-03-17,16.875,16.875,16.375,16.5,10.449632000000001,1714200
2000-03-20,16.5,16.75,16.0625,16.375,10.370469,2209900
2000-03-21,16.375,16.375,15.5,15.75,9.974647000000001,4099000
