Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,268.75,282.5,260.0,280.625,280.625,728100
2000-01-04,280.0,298.75,272.5,273.125,273.125,710400
2000-01-05,271.875,272.5,252.5,261.25,261.25,690900
2000-01-06,265.0,277.5,260.0,263.75,263.75,513500
2000-01-07,261.25,269.375,260.0,266.875,266.875,377400
2000-01-10,274.375,285.0,266.875,280.625,280.625,499600
2000-01-11,280.625,280.625,265.0,266.875,266.875,505700
2000-01-12,266.25,273.75,256.875,260.625,260.625,807700
2000-01-13,260.0,283.75,252.5,280.625,280.625,781000
2000-01-14,285.625,290.0,272.5,287.5,287.5,683000
2000-01-18,283.75,296.25,275.0,279.375,279.375,592200
2000-01-19,292.031006,292.5,260.625,261.875,261.875,1073900
2000-01-20,267.5,267.5,250.0,250.625,250.625,846100
2000-01-21,251.25,252.03100600000002,228.75,235.625,235.625,861200
2000-01-24,238.125,244.375,232.5,233.125,233.125,727900
2000-01-25,235.625,236.25,220.625,225.625,225.625,992400
2000-01-26,225.0,246.25,220.625,242.811996,242.811996,981200
2000-01-27,246.875,248.75,223.125,233.75,233.75,531800
2000-01-28,230.0,233.75,224.375,226.25,226.25,500800
2000-01-31,228.125,228.75,209.375,210.625,210.625,991800
2000-02-01,211.25,212.5,193.75,199.375,199.375,1794900
2000-02-02,196.25,212.5,191.875,202.5,202.5,2183800
2000-02-03,208.125,223.125,206.25,220.0,220.0,1553800
2000-02-04,223.75,236.25,215.0,218.125,218.125,966900
2000-02-07,231.25,235.0,226.875,227.5,227.5,817300
2000-02-08,235.0,236.875,228.125,230.0,230.0,701300
2000-02-09,231.25,232.5,217.5,218.75,218.75,590900
2000-02-10,225.0,225.0,215.0,220.0,220.0,414500
2000-02-11,216.875,220.0,211.875,213.75,213.75,343200
2000-02-14,219.375,219.375,210.0,215.0,215.0,392900
2000-02-15,215.0,227.5,210.0,224.375,224.375,652900
2000-02-16,223.125,223.75,211.25,213.75,213.75,474400
2000-02-17,212.5,221.25,211.875,214.375,214.375,360400
2000-02-18,213.125,221.25,205.0,205.0,205.0,379700
2000-02-22,203.75,212.5,200.0,200.0,200.0,565800
2000-02-23,201.875,222.5,200.625,221.25,221.25,989300
2000-02-24,223.75,227.5,211.875,216.25,216.25,734100
2000-02-25,216.875,225.625,215.0,222.5,222.5,566200
2000-02-28,232.5,237.65600600000002,226.25,228.75,228.75,881100
2000-02-29,241.875,253.125,240.0,246.25,246.25,1779800
2000-03-01,258.75,270.625,255.625,261.875,261.875,1658400
2000-03-02,270.0,272.5,243.75,250.0,250.0,783600
2000-03-03,258.75,260.0,252.5,255.625,255.625,448400
2000-03-06,258.75,270.625,253.125,265.625,265.625,863100
2000-03-07,270.0,272.5,248.75,248.75,248.75,636700
2000-03-08,250.625,258.75,230.625,246.25,246.25,539400
2000-03-09,249.375,260.625,236.25,256.875,256.875,533600
2000-03-10,250.0,271.25,248.75,265.0,265.0,805400
2000-03-13,248.75,265.0,245.0,257.5,257.5,530900
2000-03-14,269.375,279.375,249.375,250.625,250.625,996600
2000-03-15,253.75,260.0,247.5,258.75,258.75,581200
2000-03-16,259.375,265.0,249.375,261.875,261.875,494200
2000-03-17,263.75,295.0,257.5,292.5,292.5,1947300
2000-03-20,298.75,301.25,280.0,284.375,284.375,1030700
2000-03-21,283.75,285.0,265.0,276.25,276.25,583100
2000-03-22,281.25,289.68701200000004,276.875,286.25,286.25,637200
2000-03-23,283.125,291.25,277.5,278.75,278.75,647800
2000-03-24,285.625,326.25,285.0,320.0,320.0,2206100
2000-03-27,326.25,342.5,318.75,326.25,326.25,1074400
2000-03-28,325.625,330.0,305.0,306.875,306.875,546100
2000-03-29,310.0,318.125,290.0,295.0,295.0,728200
2000-03-30,282.5,298.75,277.5,288.125,288.125,652300
2000-03-31,296.25,301.25,269.375,301.25,301.25,626700
2000-04-03,306.25,311.875,271.875,274.375,274.375,839400
2000-04-04,275.0,276.25,203.75,243.75,243.75,2164900
2000-04-05,231.875,248.125,225.0,235.0,235.0,1234400
2000-04-06,242.5,249.375,230.625,243.75,243.75,635500
2000-04-07,251.875,258.125,236.25,245.625,245.625,664900
2000-04-10,252.5,256.875,242.5,243.75,243.75,586900
2000-04-11,238.125,244.375,227.5,234.375,234.375,751200
2000-04-12,250.0,252.5,225.625,227.5,227.5,1185300
2000-04-13,238.125,245.625,220.0,221.25,221.25,826400
2000-04-14,214.375,217.5,188.75,191.875,191.875,1268100
2000-04-17,178.75,195.625,160.625,181.875,181.875,1338800
2000-04-18,191.25,219.375,182.5,215.0,215.0,1218100
2000-04-19,216.25,217.5,204.375,205.625,205.625,677800
2000-04-20,210.0,213.75,196.875,201.25,201.25,485800
2000-04-24,190.625,201.875,184.375,200.625,200.625,521000
2000-04-25,204.375,211.875,200.625,208.75,208.75,608700
2000-04-26,211.875,212.5,200.0,200.0,200.0,343600
2000-04-27,192.5,219.375,190.0,218.75,218.75,780400
2000-04-28,220.625,226.25,213.75,215.0,215.0,433100
2000-05-01,218.75,218.75,207.5,208.125,208.125,442800
2000-05-02,203.125,204.375,196.25,196.25,196.25,403400
2000-05-03,194.375,195.0,188.125,193.125,193.125,402400
2000-05-04,195.625,203.125,193.125,200.0,200.0,472600
2000-05-05,199.375,203.75,195.0,198.125,198.125,444100
2000-05-08,198.125,210.0,197.5,209.375,209.375,451700
2000-05-09,208.125,215.0,203.125,207.5,207.5,633700
2000-05-10,202.186996,203.125,191.25,199.375,199.375,739800
2000-05-11,202.5,206.25,191.25,193.125,193.125,369000
2000-05-12,197.5,201.25,196.875,198.125,198.125,320500
2000-05-15,200.625,207.5,193.125,206.25,206.25,368900
2000-05-16,208.75,212.5,200.625,205.625,205.625,624300
2000-05-17,200.625,203.75,196.875,198.75,198.75,323300
2000-05-18,200.0,202.5,194.375,200.625,200.625,696500
2000-05-19,196.25,198.75,192.5,193.75,193.75,333700
2000-05-22,193.125,193.125,153.125,165.0,165.0,2067000
2000-05-23,166.25,169.375,156.25,157.5,157.5,772800
2000-05-24,156.25,157.5,131.25,139.375,139.375,2380400
2000-05-25,146.25,157.5,145.625,151.25,151.25,1009000
2000-05-26,151.875,154.375,145.0,148.75,148.75,381500
2000-05-30,151.25,160.0,149.375,159.375,159.375,390000
2000-05-31,158.125,166.25,153.125,155.625,155.625,524300
2000-06-01,155.625,166.25,151.875,163.75,163.75,483400
