Date,Open,High,Low,Close,Adj Close,Volume
2004-08-16,12.5,12.53,12.5,12.5,6.9958860000000005,188800
2004-08-17,12.5,12.54,12.5,12.51,7.001482000000001,153600
2004-08-18,12.5,12.65,12.5,12.51,7.001482000000001,149800
2004-08-19,12.5,12.55,12.5,12.53,7.012678,126900
2004-08-20,12.53,12.59,12.5,12.55,7.02387,144900
2004-08-23,12.55,12.59,12.5,12.55,7.02387,64400
2004-08-24,12.55,12.99,12.55,12.98,7.264527,382900
2004-08-25,12.75,13.09,12.75,13.0,7.275721000000001,500200
2004-08-26,13.05,13.45,12.95,13.38,7.488397,435200
2004-08-27,13.4,13.63,13.21,13.45,7.527575,694300
2004-08-30,13.45,13.59,13.35,13.48,7.544362,119100
2004-08-31,13.54,13.8,13.0,13.8,7.723459,261900
2004-09-01,14.3,14.38,13.42,13.65,7.639506,170900
2004-09-02,13.65,13.88,13.1,13.79,7.717865,149200
2004-09-03,13.55,13.84,13.5,13.65,7.639506,88600
2004-09-07,13.55,13.85,13.46,13.8,7.723459,101100
2004-09-08,13.8,13.83,13.61,13.65,7.639506,93800
2004-09-09,13.65,13.71,13.41,13.49,7.549961,113900
2004-09-10,13.4,13.73,13.25,13.6,7.611522999999999,139900
2004-09-13,13.1,13.75,12.94,13.71,7.736231,223700
2004-09-14,13.65,13.65,13.3,13.51,7.623371000000001,130000
2004-09-15,13.3,13.55,13.09,13.35,7.533092,138800
2004-09-16,13.35,13.48,13.1,13.33,7.5218039999999995,126300
2004-09-17,12.55,13.64,12.55,13.64,7.6967289999999995,400200
2004-09-20,13.54,13.64,13.13,13.35,7.533092,112300
2004-09-21,13.3,13.6,13.28,13.47,7.600803999999999,243700
2004-09-22,13.2,13.62,13.05,13.5,7.617731,455800
2004-09-23,13.4,13.65,13.22,13.29,7.499232000000001,211000
2004-09-24,13.3,13.55,13.25,13.5,7.617731,67500
2004-09-27,13.55,13.55,12.93,13.05,7.363808000000001,182200
2004-09-28,13.06,13.14,12.63,12.91,7.284809,202900
2004-09-29,13.11,13.12,12.6,12.88,7.267879,159900
2004-09-30,12.85,12.85,12.3,12.75,7.194522999999999,1156500
2004-10-01,12.76,13.06,12.6,13.0,7.335592,217900
2004-10-04,13.01,13.05,12.9,12.94,7.301736999999999,122500
2004-10-05,12.9,13.03,12.82,12.86,7.256594000000001,128300
2004-10-06,12.86,13.15,12.86,13.1,7.392023,447600
2004-10-07,13.0,13.39,12.96,13.02,7.3468800000000005,160200
2004-10-08,13.05,13.22,13.0,13.22,7.459732000000001,118000
2004-10-11,13.22,13.25,13.0,13.1,7.392023,90300
2004-10-12,13.1,13.25,12.97,13.1,7.392023,69000
2004-10-13,13.15,13.3,12.95,12.96,7.313022,75500
2004-10-14,12.96,13.06,12.93,13.06,7.369452000000001,44100
2004-10-15,13.04,13.17,12.87,12.98,7.324307000000001,73600
2004-10-18,13.05,13.4,12.91,13.12,7.403306,52000
2004-10-19,13.1,13.5,13.05,13.05,7.363808000000001,56200
2004-10-20,12.95,13.1,12.85,13.1,7.392023,57400
2004-10-21,13.05,13.4,12.9,13.38,7.5500169999999995,49500
2004-10-22,13.38,13.5,13.29,13.3,7.504873,75200
2004-10-25,13.27,13.49,13.2,13.3,7.504873,99500
