Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,12.729167,12.770833,12.333333,12.708333,12.708333,2364000
2000-01-04,12.458333,12.75,11.666667,11.833333,11.833333,2786000
2000-01-05,11.833333,12.791667,11.791667,12.656234,12.656234,2625200
2000-01-06,12.5,12.645833,12.041667,12.2604,12.2604,2055800
2000-01-07,12.208333,12.791667,12.041667,12.718734,12.718734,1718000
2000-01-10,12.6875,12.833333,12.458333,12.6875,12.6875,2158800
2000-01-11,12.479167,12.583333,11.291667,11.375,11.375,2500800
2000-01-12,11.416667,11.958333,11.416667,11.875,11.875,2674800
2000-01-13,11.968734,12.708333,11.958333,12.666667,12.666667,2269200
2000-01-14,12.75,12.75,12.083333,12.145833,12.145833,3509600
2000-01-18,12.0,12.125,11.791667,12.0,12.0,2672600
2000-01-19,12.125,12.333333,12.0,12.270833,12.270833,2532200
2000-01-20,12.166667,12.395833,12.083333,12.25,12.25,2739200
2000-01-21,12.333333,12.354167,11.833333,11.895833,11.895833,4869800
2000-01-24,11.916667,12.0,11.229167,11.338533,11.338533,4041600
2000-01-25,11.375,12.0,11.208333,11.895833,11.895833,8207400
2000-01-26,12.0625,12.083333,11.625,11.6875,11.6875,2337200
2000-01-27,11.708333,11.791667,11.520833,11.604167,11.604167,1596000
2000-01-28,11.583333,11.604167,10.875,10.916667,10.916667,2733600
2000-01-31,10.958333,11.625,10.916667,11.3125,11.3125,3130800
2000-02-01,11.333333,11.458333,11.041667,11.458333,11.458333,2408600
2000-02-02,11.458333,12.541667,11.416667,12.125,12.125,3449600
2000-02-03,12.229167,12.416667,11.875,12.020833,12.020833,3365600
2000-02-04,12.041667,12.166667,11.645833,11.645833,11.645833,2022800
2000-02-07,11.708333,11.75,11.604167,11.6875,11.6875,1615800
2000-02-08,11.791667,12.083333,11.75,12.041667,12.041667,2666400
2000-02-09,12.0,12.083333,11.583333,11.666667,11.666667,2184800
2000-02-10,11.791667,12.0625,11.583333,12.0625,12.0625,1867200
2000-02-11,12.0625,12.208333,11.125,11.333333,11.333333,2488400
2000-02-14,11.395833,11.5,11.208333,11.3125,11.3125,1512600
2000-02-15,11.291667,11.333333,10.791667,11.020833,11.020833,2512400
2000-02-16,10.958333,11.1875,10.333333,10.666667,10.666667,2945400
2000-02-17,10.6875,10.833333,10.0625,10.083333,10.083333,4317800
2000-02-18,10.020833,10.020833,8.104167,9.104167,9.104167,17000600
2000-02-22,9.125,10.041667,9.104167,9.3125,9.3125,6189000
2000-02-23,9.25,9.458333,8.958333,9.458333,9.458333,4514000
2000-02-24,9.541667,9.541667,8.958333,9.333333,9.333333,4869800
2000-02-25,9.354167,9.4375,9.25,9.375,9.375,6853800
2000-02-28,9.25,9.291667,8.666667,8.958333,8.958333,6754200
2000-02-29,9.083333,9.229167,8.979167,9.083333,9.083333,5963400
2000-03-01,9.083333,9.208333,8.958333,9.166667,9.166667,2622800
2000-03-02,9.125,9.125,8.708333,8.854167,8.854167,2445200
2000-03-03,8.875,9.229167,8.791667,9.145833,9.145833,3995400
2000-03-06,9.1875,9.1875,8.833333,8.854167,8.854167,4214600
2000-03-07,8.833333,9.052067,8.833333,9.0,9.0,6342000
2000-03-08,9.0,10.0,9.0,9.645833,9.645833,5391000
2000-03-09,9.666667,10.729167,9.5,10.708333,10.708333,5200200
2000-03-10,10.6875,11.458333,10.6875,11.375,11.375,5081400
2000-03-13,10.833333,10.932266,10.583333,10.625,10.625,4503200
2000-03-14,10.5625,11.083333,10.5625,10.708333,10.708333,3167000
2000-03-15,10.6875,10.958333,10.541667,10.833333,10.833333,4513400
2000-03-16,10.875,11.666667,10.854167,11.229167,11.229167,4681200
2000-03-17,10.958333,11.291667,10.625,10.6875,10.6875,5893400
2000-03-20,10.708333,11.104167,10.6875,11.0,11.0,2826000
2000-03-21,10.979167,11.854167,10.958333,11.843734,11.843734,4439000
2000-03-22,11.833333,12.041667,11.666667,11.833333,11.833333,2827800
