Date,Open,High,Low,Close,Adj Close,Volume
2001-01-16,3.75,3.75,3.75,3.75,3.610468,3200
2001-01-17,3.75,3.75,3.75,3.75,3.610468,122800
2001-01-18,3.875,4.125,3.875,4.125,3.971513,167200
2001-01-19,4.1875,4.28125,4.1875,4.28125,4.121951999999999,59600
2001-01-22,4.25,4.625,4.25,4.5625,4.392735,146800
2001-01-23,4.5,4.78125,4.5,4.6875,4.513083999999999,76000
2001-01-24,4.625,4.625,4.5625,4.5625,4.392735,560000
2001-01-25,4.65625,4.6875,4.625,4.6875,4.513083999999999,143200
2001-01-26,4.625,4.640625,4.625,4.625,4.452909,82000
2001-01-29,4.63,4.6875,4.6,4.675,4.50105,262000
2001-01-30,4.675,4.675,4.5875,4.65,4.476980999999999,339200
2001-01-31,4.675,4.7625,4.675,4.6875,4.513083999999999,326000
2001-02-01,4.75,5.3,4.69,5.225,5.030583999999999,2556800
2001-02-02,5.1875,5.25,5.15,5.2075,5.013733,795600
2001-02-05,5.2125,5.3625,4.98,4.9925,4.806736,644800
2001-02-06,4.975,5.005,4.9375,4.9375,4.753784,1338800
2001-02-07,4.925,5.0,4.9125,5.0,4.813956,1350400
2001-02-08,5.0,5.04,4.875,4.875,4.693608,578800
2001-02-09,4.875,4.9375,4.875,4.9375,4.753784,441600
2001-02-12,4.9375,4.9375,4.825,4.825,4.645468,327200
2001-02-13,4.825,4.885,4.8125,4.8125,4.633432,648800
2001-02-14,4.8125,4.8125,4.7675,4.77,4.5925139999999995,135600
2001-02-15,4.775,4.7875,4.575,4.575,4.4047730000000005,454400
2001-02-16,4.525,4.525,4.35,4.5175,4.349409,427200
2001-02-20,4.5175,4.5375,4.4525,4.5225,4.354222,1000400
2001-02-21,4.5225,4.5225,4.475,4.52,4.351818,443600
2001-02-22,4.52,4.535,4.475,4.5075,4.339782,623600
2001-02-23,4.525,4.675,4.5,4.6125,4.440875,1222800
2001-02-26,4.625,4.78,4.625,4.75,4.573258,1182400
2001-02-27,4.75,4.75,4.725,4.725,4.549187,690000
2001-02-28,4.725,4.75,4.7125,4.75,4.573258,326000
2001-03-01,4.725,4.725,4.675,4.675,4.50105,155200
2001-03-02,4.6875,4.7025,4.675,4.69,4.515492,836800
2001-03-05,4.6875,4.7625,4.6875,4.7525,4.575666,402800
2001-03-06,4.7525,4.775,4.7,4.7,4.525117,610000
2001-03-07,4.7,4.7475,4.7,4.7475,4.570853,89600
2001-03-08,4.745,4.745,4.7,4.7,4.525117,211600
2001-03-09,4.7,4.7025,4.675,4.695,4.5203050000000005,269600
2001-03-12,4.695,4.725,4.6625,4.675,4.50105,106400
2001-03-13,4.7125,4.7125,4.6125,4.6125,4.440875,671600
2001-03-14,4.6125,4.6375,4.4675,4.475,4.308493,455600
2001-03-15,4.45,4.45,4.2875,4.3575,4.195364,1160400
2001-03-16,4.3875,4.45,4.3375,4.3375,4.176107,402800
2001-03-19,4.2875,4.4375,4.2875,4.3,4.140003,1173600
2001-03-20,4.3125,4.39,4.25,4.275,4.1159349999999995,222000
2001-03-21,4.275,4.3,4.0625,4.1625,4.007619999999999,135200
2001-03-22,4.3125,4.4625,4.25,4.4625,4.296458,2125600
2001-03-23,4.475,4.575,4.475,4.575,4.4047730000000005,757600
2001-03-26,4.6125,4.625,4.57,4.625,4.452909,207600
2001-03-27,4.6,4.6125,4.5325,4.5875,4.4168080000000005,435200
2001-03-28,4.575,4.6,4.4625,4.4625,4.296458,420800
2001-03-29,4.45,4.45,4.325,4.325,4.164073,535200
2001-03-30,4.325,4.625,4.325,4.625,4.452909,1308800
2001-04-02,4.6,4.6,4.425,4.45,4.284421,685600
2001-04-03,4.45,4.5,4.3625,4.5,4.332561,192800
2001-04-04,4.4625,4.5,4.4375,4.4975,4.330155,606000
2001-04-05,4.5,4.53,4.4825,4.53,4.361446,629200
2001-04-06,4.5175,4.735,4.5,4.7125,4.537153,476000
2001-04-09,4.715,4.74,4.6125,4.6525,4.479389,113600
2001-04-10,4.6775,4.775,4.6775,4.7625,4.585293,954400
2001-04-11,4.875,5.225,4.875,5.225,5.030583999999999,1570000
2001-04-12,5.1675,5.5875,5.1675,5.5875,5.379597,689200
2001-04-16,5.575,5.575,5.365,5.375,5.175003,368000
2001-04-17,5.35,5.4375,5.265,5.375,5.175003,581200
2001-04-18,5.25,5.3525,5.25,5.32,5.12205,285200
2001-04-19,5.295,5.32,5.1625,5.31,5.1124220000000005,121600
2001-04-20,5.35,5.45,5.2375,5.25,5.054654,1139600
2001-04-23,5.275,5.275,5.2125,5.225,5.030583999999999,946400
2001-04-24,5.22,5.2325,5.1875,5.225,5.030583999999999,626000
2001-04-25,5.225,5.2875,5.225,5.2625,5.0666910000000005,326000
2001-04-26,5.265,5.2875,5.2275,5.245,5.049841000000001,469200
2001-04-27,5.2475,5.2525,5.23,5.25,5.054654,549200
2001-04-30,5.2,5.4,5.1875,5.2875,5.090758999999999,946800
2001-05-01,5.2875,6.095,5.2875,5.965,5.743052,889200
2001-05-02,6.0,6.2375,5.8,6.115,5.8874699999999995,547600
2001-05-03,6.075,6.1,5.95,6.0,5.776749,289200
2001-05-04,5.9625,6.05,5.95,5.995,5.771935,521600
2001-05-07,6.025,6.125,6.025,6.0975,5.870618,176000
2001-05-08,6.125,6.2925,6.125,6.2925,6.058366,920000
2001-05-09,6.275,6.275,6.0625,6.0625,5.8369230000000005,213200
2001-05-10,6.0125,6.0375,5.9225,5.9225,5.702131,161600
2001-05-11,5.9475,5.9475,5.75,5.7525,5.538457,71600
