Date,Open,High,Low,Close,Adj Close,Volume
2000-12-08,7.90625,11.4375,7.5625,10.0,6.089304,17149800
2000-12-11,11.34375,11.375,9.9375,10.59375,6.450857,2919200
2000-12-12,10.60935,10.625,9.6875,9.9375,6.051248,1077400
2000-12-13,10.375,10.4375,9.875,9.9375,6.051248,422400
2000-12-14,9.99215,10.125,9.9375,10.0625,6.127362000000001,265400
2000-12-15,10.125,10.125,9.0,10.0625,6.127362000000001,950200
2000-12-18,10.25,10.25,9.71875,10.03125,6.108333999999999,483600
2000-12-19,10.0234,10.03125,9.625,9.8125,5.9751330000000005,457400
2000-12-20,9.6875,9.8125,9.0,9.125,5.556491,1228800
2000-12-21,9.03125,9.25,8.875,9.09375,5.537461,1017400
2000-12-22,9.3125,9.6875,9.25,9.625,5.860957,416000
2000-12-26,9.65625,9.6875,9.4375,9.5,5.784839,754000
2000-12-27,9.4531,9.5625,9.125,9.28125,5.651636,361400
2000-12-28,9.3125,9.6875,9.15625,9.3125,5.670664,1048600
2000-12-29,9.5,10.0625,9.375,9.875,6.0131879999999995,232800
2001-01-02,10.0859,10.125,9.34375,9.625,5.860957,330400
2001-01-03,9.3906,9.6875,8.75,8.8125,5.366201,545400
2001-01-04,8.96875,9.5,8.8125,9.03125,5.499404,287600
2001-01-05,9.05465,9.25,8.875,9.0625,5.518432,962000
2001-01-08,9.0,9.09375,8.75,8.75,5.3281410000000005,631000
2001-01-09,8.9531,9.0,8.5,8.625,5.252025,821800
2001-01-10,8.59375,8.625,8.375,8.5,5.17591,976800
2001-01-11,8.5156,9.25,8.5,9.09375,5.537461,1357000
2001-01-12,9.29685,9.625,9.25,9.5625,5.822898,566200
2001-01-16,9.8125,10.25,9.4375,9.5,5.784839,663200
2001-01-17,9.55465,9.9375,9.4375,9.6875,5.899014,486000
2001-01-18,9.74215,9.75,9.25,9.5,5.784839,292800
2001-01-19,9.53125,9.625,9.125,9.1875,5.594549,254200
2001-01-22,9.3125,9.3125,8.8125,8.9375,5.442317,764600
2001-01-23,9.125,9.1875,8.9375,8.9375,5.442317,442600
2001-01-24,8.9453,9.0,8.46875,8.5,5.17591,1197200
2001-01-25,8.625,9.0,8.125,8.9375,5.442317,985800
2001-01-26,8.75,9.6875,8.6875,9.3125,5.670664,249000
2001-01-29,9.49215,10.0,9.3125,9.96875,6.070275,206600
2001-01-30,9.96875,10.03125,9.46875,10.03125,6.108333999999999,188800
2001-01-31,9.8828,10.03125,9.6875,9.71875,5.918042,84200
2001-02-01,9.6875,10.03125,9.6875,9.9375,6.051248,100600
2001-02-02,10.03125,10.875,10.0,10.8125,6.584061999999999,477200
2001-02-05,11.03125,12.1875,10.875,11.9375,7.269108999999999,562400
2001-02-06,12.11715,12.84375,11.9375,12.375,7.535512,585600
2001-02-07,12.0625,12.5,11.9375,12.1875,7.421341,189400
2001-02-08,12.1328,12.6875,12.125,12.5625,7.649688,451400
2001-02-09,12.53125,12.59375,12.0,12.0,7.307167,730200
2001-02-12,12.125,12.1875,11.75,11.75,7.154934,2362200
2001-02-13,11.90625,12.3125,11.6875,12.1875,7.421341,228600
2001-02-14,12.25,12.3125,10.6875,11.125,6.774352,1363600
2001-02-15,11.375,11.5,10.375,10.625,6.469886,359400
2001-02-16,10.59375,11.1875,10.0625,10.6875,6.507944999999999,264200
2001-02-20,11.0,11.0,9.5625,9.8125,5.9751330000000005,391400
2001-02-21,9.6328,10.0625,9.4375,9.8125,5.9751330000000005,196800
2001-02-22,9.80465,9.8125,9.28125,9.28125,5.651636,197400
2001-02-23,9.25,10.28125,9.1875,10.25,6.241537999999999,122800
2001-02-26,10.25,10.75,10.22655,10.60935,6.460356,118600
2001-02-27,10.75,11.0,10.6875,11.0,6.698235,271800
2001-02-28,11.0625,11.0625,10.90625,10.9375,6.660177,142600
2001-03-01,10.875,10.9375,9.4375,10.0,6.089304,232000
2001-03-02,10.09375,10.125,9.625,10.0625,6.127362000000001,167000
2001-03-05,10.25,10.5625,10.09375,10.4375,6.3557120000000005,110000
2001-03-06,10.5,10.6875,10.0,10.0,6.089304,257000
2001-03-07,10.35935,10.4375,10.03125,10.3125,6.279595,175800
2001-03-08,10.375,10.375,9.75,9.9375,6.051248,137000
2001-03-09,9.98435,10.25,9.75,9.8125,5.9751330000000005,140000
2001-03-12,9.625,9.8125,9.0625,9.0625,5.518432,255000
2001-03-13,9.1875,9.5,9.09375,9.4375,5.746782,229200
2001-03-14,9.25,10.125,9.125,9.90625,6.032218,184000
2001-03-15,9.96875,10.25,9.9375,10.125,6.165421,57200
2001-03-16,10.1875,10.1875,9.84375,9.84375,5.994161,75800
2001-03-19,9.84375,9.875,9.4375,9.6875,5.899014,120800
2001-03-20,9.75,10.25,9.5625,9.5625,5.822898,309800
2001-03-21,9.5625,10.0625,9.5625,9.96875,6.070275,75200
2001-03-22,10.05465,10.0625,9.625,9.8125,5.9751330000000005,126800
2001-03-23,10.0,10.3125,9.8125,10.0,6.089304,339800
2001-03-26,10.0,10.3125,9.9375,10.125,6.165421,491400
2001-03-27,9.9375,10.125,9.875,9.875,6.0131879999999995,230800
2001-03-28,9.8125,9.9375,9.0,9.375,5.708722,172400
2001-03-29,9.375,9.5625,9.0625,9.53125,5.8038680000000005,129600
2001-03-30,9.5,10.0,9.5,9.9375,6.051248,97200
2001-04-02,9.6875,10.0,9.6875,9.875,6.0131879999999995,125000
2001-04-03,10.0,10.0625,9.25,9.25,5.632607,224600
2001-04-04,9.4375,10.125,9.1875,10.03125,6.108333999999999,190000
2001-04-05,10.125,10.1875,9.96875,10.125,6.165421,109600
2001-04-06,10.0625,10.0625,9.5,9.5625,5.822898,138800
2001-04-09,9.46,9.46,8.975,9.125,5.556491,801400
2001-04-10,9.325,9.375,9.225,9.275,5.64783,488200
2001-04-11,9.45,9.45,9.13,9.16,5.577801999999999,347600
2001-04-12,9.1,9.25,9.05,9.05,5.510821,120000
2001-04-16,9.05,9.22,8.95,9.025,5.495596,149600
2001-04-17,9.08,9.25,9.08,9.2,5.602161,80600
2001-04-18,9.275,9.5,8.9,9.0,5.480375,599400
2001-04-19,9.04,9.07,9.0,9.0,5.480375,258400
2001-04-20,9.25,9.31,9.095,9.28,5.650874,391200
2001-04-23,9.25,9.25,9.175,9.235,5.623475,151600
2001-04-24,9.15,9.25,9.13,9.2,5.602161,135400
2001-04-25,9.165,9.3,9.065,9.1,5.541266,366200
2001-04-26,9.08,9.375,9.075,9.325,5.678278,350600
2001-04-27,9.375,10.025,9.35,10.025,6.104528,956000
2001-04-30,10.375,11.525,9.695,10.5,6.39377,1306400
2001-05-01,10.5,10.85,10.5,10.77,6.558180999999999,393600
2001-05-02,10.825,11.0,10.455,10.5,6.39377,754200
2001-05-03,10.5,10.6,10.45,10.53,6.412037000000001,512600
2001-05-04,10.54,11.07,10.5,10.925,6.652568,189000
2001-05-07,11.0,11.0,10.765,10.9,6.637341999999999,76000
2001-05-08,11.075,11.545,10.95,11.51,7.008789999999999,244000
2001-05-09,11.525,11.75,11.5,11.705,7.127532,108800
2001-05-10,11.875,12.3,11.845,12.235,7.4502619999999995,306400
2001-05-11,12.23,12.35,11.9,11.95,7.276719,448400
2001-05-14,11.95,11.95,11.4,11.4,6.941808999999999,278200
2001-05-15,11.5,11.925,11.305,11.775,7.1701559999999995,375200
2001-05-16,11.94,11.945,11.35,11.54,7.0270589999999995,210600
2001-05-17,11.7,12.395,11.5,12.34,7.514203999999999,348400
2001-05-18,12.345,12.35,12.0,12.13,7.386328999999999,335600
2001-05-21,12.055,12.055,11.725,11.825,7.200603,182800
2001-05-22,11.75,11.95,11.45,11.5,7.002700999999999,337800
2001-05-23,11.5,11.705,11.465,11.465,6.981388000000001,96600
2001-05-24,11.55,11.65,11.5,11.65,7.0940389999999995,452400
2001-05-25,11.65,11.65,11.475,11.535,7.024012,342200
2001-05-29,11.525,11.6,11.005,11.025,6.713458,731200
2001-05-30,10.87,10.9,9.95,10.15,6.180644,647200
2001-05-31,9.875,10.065,9.58,10.005,6.09235,830400
2001-06-01,9.97,10.05,9.91,10.005,6.09235,571800
2001-06-04,9.96,10.04,9.625,9.94,6.0527690000000005,617800
2001-06-05,9.815,10.9,9.815,10.425,6.3481,1325200
2001-06-06,10.43,11.2,10.325,10.655,6.488153,1691400
2001-06-07,10.74,11.225,10.56,11.05,6.728683,375800
2001-06-08,11.28,11.465,11.075,11.3,6.880917,436200
2001-06-11,11.255,11.3,10.9,10.98,6.686056,275400
2001-06-12,11.03,11.145,10.95,11.075,6.743904,212000
2001-06-13,11.185,11.325,10.875,11.0,6.698235,297200
2001-06-14,11.05,11.1,10.95,11.0,6.698235,178200
2001-06-15,10.95,11.295,10.95,11.275,6.865691,155800
2001-06-18,11.275,11.3,11.1,11.125,6.774352,84200
2001-06-19,11.205,11.275,10.955,11.125,6.774352,210000
2001-06-20,11.1,11.25,11.0,11.225,6.835246000000001,185000
2001-06-21,11.15,11.175,10.95,11.04,6.722592999999999,163400
2001-06-22,11.055,11.285,11.03,11.25,6.850469,394400
2001-06-25,11.225,11.335,11.2,11.205,6.823067999999999,272600
2001-06-26,11.27,11.27,11.175,11.175,6.804797,210000
2001-06-27,11.175,11.5,11.15,11.495,6.999655000000001,316600
2001-06-28,11.5,11.65,11.325,11.495,6.999655000000001,311800
2001-06-29,11.51,11.625,11.3,11.425,6.957031,282400
2001-07-02,11.555,11.625,11.5,11.58,7.0514149999999995,155400
2001-07-03,11.62,11.65,11.5,11.58,7.0514149999999995,75800
2001-07-05,11.575,11.65,11.525,11.6,7.063592,154400
2001-07-06,11.58,11.705,11.575,11.67,7.106219,362000
2001-07-09,11.63,11.66,11.6,11.65,7.0940389999999995,181600
2001-07-10,11.65,11.725,11.6,11.68,7.112307,347000
2001-07-11,11.575,11.675,11.2,11.205,6.823067999999999,180400
2001-07-12,11.23,11.375,11.23,11.375,6.926585,311200
2001-07-13,11.375,11.425,11.325,11.375,6.926585,145200
2001-07-16,11.4,11.45,11.225,11.3,6.880917,53400
2001-07-17,11.45,11.45,11.225,11.315,6.890047999999999,101800
2001-07-18,11.325,11.335,11.19,11.2,6.8200210000000006,118600
