Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,3.484375,3.484375,3.09375,3.15625,3.15625,1693600
2000-01-04,3.140625,3.140625,3.0,3.0,3.0,728000
2000-01-05,3.140625,3.21875,3.078125,3.1875,3.1875,2352000
2000-01-06,3.1875,3.25,3.125,3.171875,3.171875,848800
2000-01-07,3.15625,3.3125,3.125,3.28125,3.28125,3202800
2000-01-10,3.3125,3.5625,3.28125,3.484375,3.484375,1812400
2000-01-11,3.5,3.5,3.34375,3.40625,3.40625,1167200
2000-01-12,3.375,3.5,3.34375,3.5,3.5,3048800
2000-01-13,3.515625,4.046875,3.5,3.984375,3.984375,3815600
2000-01-14,4.015625,4.0625,3.78125,3.84375,3.84375,948400
2000-01-18,3.84375,4.0,3.84375,3.890625,3.890625,1315600
2000-01-19,3.90625,3.90625,3.53125,3.59375,3.59375,788400
2000-01-20,3.65625,3.75,3.34375,3.71875,3.71875,860000
2000-01-21,3.671875,3.75,3.59375,3.640625,3.640625,616800
2000-01-24,3.71875,3.78125,3.53125,3.75,3.75,661600
2000-01-25,3.66405,3.765625,3.375,3.515625,3.515625,831600
2000-01-26,3.4375,3.546875,3.375,3.375,3.375,257200
2000-01-27,3.375,3.40625,3.21875,3.375,3.375,798400
2000-01-28,3.375,3.546875,3.28125,3.28125,3.28125,1149200
2000-01-31,3.28125,3.40625,3.28125,3.296875,3.296875,415200
2000-02-01,3.359375,3.40625,3.3125,3.34375,3.34375,689200
2000-02-02,3.328125,3.421875,3.328125,3.34375,3.34375,263200
2000-02-03,3.35155,3.359375,3.21875,3.3125,3.3125,936800
2000-02-04,3.296875,3.34375,3.28125,3.328125,3.328125,621600
2000-02-07,3.3125,3.34375,3.25,3.328125,3.328125,537600
2000-02-08,3.328125,3.359375,3.296875,3.328125,3.328125,682400
2000-02-09,3.3125,3.390625,3.25,3.25,3.25,830400
2000-02-10,3.359375,3.375,3.25,3.375,3.375,552800
2000-02-11,3.34375,3.359375,3.125,3.125,3.125,2625200
2000-02-14,3.28125,3.5,3.21875,3.4375,3.4375,1046400
2000-02-15,3.4375,3.5,3.375,3.40625,3.40625,1305600
2000-02-16,3.4375,3.46875,3.15625,3.265625,3.265625,1254400
2000-02-17,3.242175,3.40625,3.1875,3.34375,3.34375,1638400
2000-02-18,3.35155,3.359375,3.21875,3.25,3.25,772800
2000-02-22,3.53125,3.625,3.28125,3.375,3.375,2935600
2000-02-23,3.515625,3.6875,3.375,3.65625,3.65625,2736000
2000-02-24,3.6875,3.78125,3.625,3.734375,3.734375,1774800
2000-02-25,3.71875,3.78125,3.6875,3.734375,3.734375,828800
2000-02-28,3.796875,4.25,3.71875,4.15625,4.15625,2068400
2000-02-29,4.3125,4.6875,4.28125,4.6875,4.6875,2949600
2000-03-01,4.53125,4.703125,4.0,4.546875,4.546875,2662000
2000-03-02,4.390625,4.40625,3.828125,3.921875,3.921875,2183600
2000-03-03,3.9375,4.0,3.8125,3.875,3.875,939200
2000-03-06,3.875,3.96875,3.8125,3.90625,3.90625,701200
2000-03-07,3.875,4.152325,3.84375,3.890625,3.890625,1195200
2000-03-08,3.875,3.9375,3.765625,3.90625,3.90625,1481600
2000-03-09,3.875,4.125,3.78125,4.125,4.125,1165600
2000-03-10,4.09375,4.25,4.015625,4.0625,4.0625,726400
2000-03-13,4.140625,4.15625,3.734375,3.890625,3.890625,696800
