Date,Open,High,Low,Close,Adj Close,Volume
2005-11-16,7.8,8.842,7.712,7.85,6.917503,97759000
2005-11-17,8.06,8.35,6.8,7.05,6.2125330000000005,34308500
2005-11-18,7.24,7.39,6.912,7.0,6.1684730000000005,12810000
2005-11-21,7.05,7.192,6.964,7.18,6.327091,6404000
2005-11-22,7.09,7.092,6.86,6.99,6.15966,6533000
2005-11-23,6.94,6.99,6.31,6.79,5.9834190000000005,12421000
2005-11-25,6.75,6.89,6.73,6.83,6.0186660000000005,1316000
2005-11-28,6.78,6.78,6.51,6.66,5.868861,3155000
2005-11-29,6.66,6.698,6.254,6.394,5.63446,4477500
2005-11-30,6.42,6.482,6.32,6.46,5.6926190000000005,3894500
2005-12-01,6.46,7.04,6.43,7.0,6.1684730000000005,5688500
2005-12-02,7.0,7.26,6.98,7.22,6.3623389999999995,5120000
2005-12-05,7.236,7.49,7.236,7.362,6.487472,4592500
2005-12-06,7.362,7.522,7.29,7.316,6.446935,3202500
2005-12-07,7.33,7.33,6.9,7.09,6.247782,2473000
2005-12-08,7.14,7.256,7.11,7.2,6.344715,1823500
2005-12-09,7.2,7.292,7.156,7.24,6.379963,808000
2005-12-12,7.29,7.3,7.21,7.29,6.424024,953500
2005-12-13,7.288,7.288,7.102,7.118,6.272457,1843000
2005-12-14,7.1,7.14,6.96,7.0,6.1684730000000005,1422000
2005-12-15,6.99,6.99,6.73,6.8,5.99223,3273000
2005-12-16,6.77,6.898,6.7,6.838,6.025717,8170500
2005-12-19,6.8,6.88,6.772,6.874,6.057441000000001,2242000
2005-12-20,6.924,7.082,6.88,6.988,6.157898,2423500
2005-12-21,6.98,7.0,6.91,6.958,6.131463,916500
2005-12-22,6.958,6.958,6.86,6.94,6.115601,1171000
2005-12-23,6.89,6.938,6.812,6.85,6.0362919999999995,985000
2005-12-27,6.9,7.09,6.9,7.05,6.2125330000000005,1214000
2005-12-28,7.05,7.09,7.006,7.016,6.182572,581000
2005-12-29,6.98,7.244,6.98,7.228,6.369389,1076500
2005-12-30,7.25,7.27,7.09,7.27,6.4064,923500
2006-01-03,7.3,7.65,7.2,7.572,6.6725259999999995,2993000
2006-01-04,7.58,7.58,7.272,7.38,6.503334,1196500
