Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,1.125,1.1875,1.125,1.125,1.125,148200
2000-01-04,1.09375,1.125,1.0625,1.09375,1.09375,107000
2000-01-05,1.0625,1.09375,1.0625,1.0625,1.0625,61600
2000-01-06,1.0625,1.15625,1.0625,1.125,1.125,149000
2000-01-07,1.125,1.46875,1.09375,1.1875,1.1875,240600
2000-01-10,1.21875,1.25,1.1875,1.21875,1.21875,191200
2000-01-11,1.21875,1.25,1.125,1.15625,1.15625,206000
2000-01-12,1.15625,1.1875,1.09375,1.09375,1.09375,254400
2000-01-13,1.125,1.125,1.0,1.0,1.0,683800
2000-01-14,1.0,1.03125,0.96875,1.0,1.0,990000
2000-01-18,1.0,1.03125,0.96875,1.0,1.0,827200
2000-01-19,1.0,1.0,0.96875,1.0,1.0,196200
2000-01-20,1.0,1.0,0.65625,0.71875,0.71875,19896400
2000-01-21,0.75,0.78125,0.71875,0.78125,0.78125,3789400
2000-01-24,0.78125,0.78125,0.75,0.78125,0.78125,1602000
2000-01-25,0.78125,0.8125,0.75,0.78125,0.78125,657600
2000-01-26,0.78125,0.8125,0.75,0.78125,0.78125,375200
2000-01-27,0.78125,0.78125,0.75,0.78125,0.78125,1212000
2000-01-28,0.75,0.78125,0.71875,0.75,0.75,800000
2000-01-31,0.78125,0.8125,0.75,0.78125,0.78125,2004600
2000-02-01,0.8125,0.875,0.78125,0.84375,0.84375,1307400
2000-02-02,0.84375,0.875,0.8125,0.84375,0.84375,738200
2000-02-03,0.875,0.90625,0.8125,0.8125,0.8125,1134600
2000-02-04,0.84375,0.875,0.8125,0.84375,0.84375,836400
2000-02-07,0.875,0.90625,0.84375,0.875,0.875,1136800
2000-02-08,0.875,0.90625,0.84375,0.84375,0.84375,1335400
2000-02-09,0.875,0.875,0.78125,0.8125,0.8125,1051200
2000-02-10,0.8125,0.8125,0.75,0.78125,0.78125,954400
2000-02-11,0.78125,0.78125,0.6875,0.75,0.75,1382000
2000-02-14,0.78125,0.78125,0.71875,0.75,0.75,1103200
2000-02-15,0.75,0.78125,0.75,0.78125,0.78125,628400
2000-02-16,0.78125,0.78125,0.75,0.75,0.75,919000
2000-02-17,0.78125,0.78125,0.75,0.75,0.75,413000
2000-02-18,0.78125,0.8125,0.75,0.8125,0.8125,687400
2000-02-22,0.8125,0.8125,0.78125,0.8125,0.8125,425000
2000-02-23,0.8125,0.8125,0.78125,0.8125,0.8125,454600
2000-02-24,0.8125,0.8125,0.78125,0.8125,0.8125,644600
2000-02-25,0.8125,0.8125,0.78125,0.8125,0.8125,476000
2000-02-28,0.8125,0.84375,0.78125,0.8125,0.8125,541800
2000-02-29,0.8125,0.84375,0.78125,0.8125,0.8125,716000
2000-03-01,0.8125,0.84375,0.78125,0.8125,0.8125,534000
2000-03-02,0.8125,0.84375,0.78125,0.84375,0.84375,611000
2000-03-03,0.84375,0.875,0.8125,0.8125,0.8125,1761800
2000-03-06,0.875,1.0625,0.875,1.03125,1.03125,3680400
2000-03-07,1.09375,1.28125,1.0625,1.21875,1.21875,2764200
2000-03-08,1.21875,1.3125,1.21875,1.28125,1.28125,1728600
2000-03-09,1.34375,1.34375,1.25,1.3125,1.3125,871400
2000-03-10,1.28125,1.3125,1.25,1.28125,1.28125,1059400
2000-03-13,1.25,1.25,1.1875,1.25,1.25,725400
2000-03-14,1.25,1.25,1.1875,1.1875,1.1875,632200
2000-03-15,1.1875,1.21875,1.0,1.0625,1.0625,2599400
2000-03-16,1.09375,1.15625,1.0625,1.125,1.125,641800
2000-03-17,1.15625,1.15625,1.09375,1.125,1.125,552000
2000-03-20,1.15625,1.15625,1.125,1.15625,1.15625,578800
2000-03-21,1.15625,1.15625,1.0625,1.09375,1.09375,1067000
2000-03-22,1.09375,1.1875,1.09375,1.15625,1.15625,729400
2000-03-23,1.15625,1.40625,1.15625,1.3125,1.3125,1429400
2000-03-24,1.375,1.4375,1.34375,1.4375,1.4375,1213000
2000-03-27,1.4375,1.71875,1.40625,1.65625,1.65625,1492200
2000-03-28,1.6875,2.0,1.65625,1.9375,1.9375,1821800
2000-03-29,2.0,2.125,1.90625,1.9375,1.9375,1203000
2000-03-30,1.90625,1.9375,1.5,1.75,1.75,1223800
2000-03-31,1.78125,1.8125,1.59375,1.65625,1.65625,457000
2000-04-03,1.78125,1.96875,1.78125,1.90625,1.90625,765000
2000-04-04,1.9375,1.96875,1.6875,1.875,1.875,1035600
2000-04-05,1.875,1.96875,1.78125,1.84375,1.84375,436800
2000-04-06,1.9375,2.0625,1.65625,1.71875,1.71875,2200000
2000-04-07,1.75,1.75,1.4375,1.53125,1.53125,1066200
2000-04-10,1.59375,1.625,1.5,1.5625,1.5625,500800
2000-04-11,1.53125,1.5625,1.40625,1.46875,1.46875,484800
2000-04-12,1.46875,1.46875,1.21875,1.3125,1.3125,1167400
2000-04-13,1.25,1.28125,1.1875,1.23435,1.23435,333000
2000-04-14,1.21875,1.25,1.125,1.25,1.25,897200
2000-04-17,1.1875,1.21875,1.09375,1.09375,1.09375,547600
2000-04-18,1.09375,1.15625,1.03125,1.15625,1.15625,382400
2000-04-19,1.125,1.125,1.03125,1.09375,1.09375,461200
2000-04-20,1.125,1.15625,1.09375,1.125,1.125,214800
2000-04-24,1.125,1.1875,1.09375,1.125,1.125,283200
2000-04-25,1.15625,1.1875,1.125,1.1875,1.1875,368000
2000-04-26,1.1875,1.21875,1.15625,1.15625,1.15625,163200
2000-04-27,1.15625,1.1875,1.125,1.15625,1.15625,143400
2000-04-28,1.1875,1.3125,1.15625,1.28125,1.28125,341800
2000-05-01,1.3125,1.34375,1.28125,1.28125,1.28125,131600
2000-05-02,1.34375,1.4375,1.3125,1.375,1.375,360800
2000-05-03,1.40625,1.4375,1.34375,1.375,1.375,410800
2000-05-04,1.4375,1.5625,1.4375,1.5,1.5,960800
2000-05-05,1.5,1.53125,1.46875,1.5,1.5,392800
2000-05-08,1.46875,1.46875,1.34375,1.34375,1.34375,375600
2000-05-09,1.375,1.40625,1.25,1.25,1.25,178200
2000-05-10,1.25,1.28125,1.21875,1.21875,1.21875,205400
2000-05-11,1.25,1.25,1.21875,1.21875,1.21875,100000
2000-05-12,1.25,1.40625,1.21875,1.28125,1.28125,460200
2000-05-15,1.3125,1.34375,1.1875,1.1875,1.1875,239000
2000-05-16,1.21875,1.3125,1.1875,1.1875,1.1875,218800
2000-05-17,1.25,1.28125,1.21875,1.21875,1.21875,188200
2000-05-18,1.28125,1.28125,1.21875,1.21875,1.21875,216600
2000-05-19,1.25,1.25,1.1875,1.21875,1.21875,190400
2000-05-22,1.25,1.28125,1.15625,1.1875,1.1875,439000
2000-05-23,1.1875,1.21875,1.15625,1.21875,1.21875,155000
2000-05-24,1.25,1.25,1.1875,1.21875,1.21875,174400
2000-05-25,1.25,1.25,1.21875,1.21875,1.21875,88200
2000-05-26,1.25,1.28125,1.21875,1.25,1.25,439200
2000-05-30,1.3125,1.375,1.28125,1.375,1.375,309200
2000-05-31,1.3125,1.375,1.3125,1.34375,1.34375,192400
2000-06-01,1.34375,1.375,1.3125,1.34375,1.34375,163200
