Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,147.0,147.125,140.125,141.0,67.88426199999999,629400
2000-01-04,138.0,139.75,132.75,133.75,64.393753,392600
2000-01-05,132.0,132.875,127.75,129.625,62.407787,289300
2000-01-06,129.75,136.75,129.25,133.75,64.393753,324200
2000-01-07,133.375,134.125,131.0,133.75,64.393753,206400
2000-01-10,143.0,143.0,138.25,140.0,67.402817,431800
2000-01-11,138.25,139.0,135.0,135.25,65.115936,355000
2000-01-12,135.5,135.625,131.0,131.375,63.250317,286100
2000-01-13,133.375,137.875,132.625,137.25,66.078835,333100
2000-01-14,139.5,142.0,138.0,139.625,67.22225999999999,463200
2000-01-18,139.25,139.625,135.75,137.125,66.018631,301300
2000-01-19,137.125,138.875,137.125,137.625,66.259361,221800
2000-01-20,138.75,139.375,134.0,136.75,65.838089,270400
2000-01-21,138.5,142.125,136.25,140.375,67.58332800000001,264900
2000-01-24,142.0,149.875,142.0,143.25,68.96751400000001,536600
2000-01-25,143.25,143.75,138.875,140.5,67.643524,173700
2000-01-26,141.5,142.125,136.25,140.875,67.824089,226400
2000-01-27,148.0,154.125,145.75,147.5,71.013664,549900
2000-01-28,145.5,146.25,137.5,138.625,66.740837,257300
2000-01-31,136.375,138.375,131.875,138.375,66.62044499999999,382700
2000-02-01,133.5,137.5,132.625,137.0,65.958466,279800
2000-02-02,137.5,140.875,137.0,140.125,67.46299,124000
2000-02-03,140.875,146.875,140.375,141.875,68.30551899999999,290400
2000-02-04,142.75,148.625,141.5,147.125,70.833115,307000
2000-02-07,147.75,149.625,146.625,147.0,70.772942,194600
2000-02-08,146.5,149.25,146.5,149.125,71.796036,250600
2000-02-09,150.25,152.5,145.75,146.75,70.65258,250600
2000-02-10,146.75,147.75,142.75,144.125,69.388763,157900
2000-02-11,144.625,144.75,140.25,140.875,67.824089,135600
2000-02-14,140.875,144.5,140.875,142.5,68.606415,194300
2000-02-15,143.0,146.875,141.875,146.75,70.65258,191500
2000-02-16,147.0,147.375,141.0,142.5,68.606415,288000
2000-02-17,144.0,147.0,142.5,143.875,69.268417,215700
2000-02-18,143.375,143.5,140.5,141.125,67.944443,189700
2000-02-22,140.375,144.0,136.125,142.75,68.726784,386400
2000-02-23,142.75,147.0,141.0,146.0,70.291496,458200
2000-02-24,150.0,154.0,149.25,153.0,73.661644,462300
2000-02-25,153.0,164.0,152.75,157.25,75.707809,677200
2000-02-28,157.75,159.75,155.0,156.125,75.166168,312100
2000-02-29,156.75,158.875,156.25,157.5,75.828163,349500
2000-03-01,158.5,170.0,158.5,170.0,81.846275,642100
2000-03-02,170.0,171.75,166.875,170.5,82.08699,391200
2000-03-03,170.25,180.0,170.25,180.0,86.660767,379200
2000-03-06,178.25,181.0,176.25,177.125,85.27658100000001,389100
2000-03-07,177.5,177.5,169.625,169.75,81.725883,199500
2000-03-08,170.75,170.75,162.875,169.25,81.485191,429400
2000-03-09,169.75,172.25,165.375,172.25,82.929512,193300
2000-03-10,176.75,180.75,174.5,175.375,84.434044,233000
2000-03-13,166.0,173.0,164.625,170.375,82.02681700000001,290700
2000-03-14,169.875,169.875,160.125,161.5,77.75395999999999,252700
2000-03-15,160.5,160.75,155.25,155.875,75.045807,404500
2000-03-16,157.75,162.25,150.0,162.0,77.994675,760400
2000-03-17,161.5,167.5,161.125,165.875,79.860283,333300
2000-03-20,165.375,166.0,160.625,160.625,77.33270300000001,173600
2000-03-21,160.125,162.5,155.5,162.5,78.235413,255300
2000-03-22,166.0,171.0,165.25,169.625,81.665726,252500
2000-03-23,173.375,178.25,172.5,177.875,85.63765699999999,262100
2000-03-24,179.875,187.75,178.5,182.375,87.804214,454000
2000-03-27,181.25,181.25,172.125,173.875,83.71186800000001,297300
2000-03-28,170.375,185.25,170.375,182.0,87.62365,677300
2000-03-29,179.5,185.0,178.125,182.625,87.924553,662500
2000-03-30,182.5,182.5,173.375,175.5,84.494225,484300
2000-03-31,175.5,176.375,170.125,171.875,82.748993,434100
2000-04-03,172.625,174.75,163.375,164.375,79.138123,550300
2000-04-04,164.375,164.375,127.0,142.125,68.425888,1260700
2000-04-05,138.0,156.75,138.0,156.0,75.106003,764600
2000-04-06,156.0,161.75,156.0,159.875,76.971611,381100
2000-04-07,161.0,162.375,155.0,156.5,75.34671,290100
2000-04-10,157.0,158.5,150.125,150.625,72.518196,293200
2000-04-11,146.625,146.625,139.625,140.75,67.76389300000001,503200
2000-04-12,143.75,143.875,136.75,136.75,65.838089,408200
2000-04-13,138.5,141.25,134.875,136.875,65.89827,250000
2000-04-14,133.125,133.75,122.0,127.125,61.20414399999999,446400
2000-04-17,118.25,126.5,117.75,122.0,58.736729000000004,622700
2000-04-18,123.0,135.625,123.0,135.125,65.05573299999999,330100
2000-04-19,136.375,137.375,128.0,129.375,62.287418,194000
2000-04-20,129.0,132.5,128.625,130.875,63.009586,174400
2000-04-24,130.375,131.125,126.0,130.25,62.708668,286200
2000-04-25,133.5,134.0,130.0,134.0,64.514122,424200
2000-04-26,137.0,144.875,135.5,142.5,68.606415,521000
2000-04-27,137.5,146.0,134.5,145.625,70.110962,418800
2000-04-28,149.25,149.375,141.125,143.5,69.087875,551900
2000-05-01,146.0,155.0,145.5,150.625,72.518196,299100
2000-05-02,150.625,150.625,142.625,144.5,69.569344,252700
2000-05-03,143.0,145.5,136.75,138.625,66.740837,268100
2000-05-04,138.5,139.75,136.25,139.625,67.22225999999999,208600
2000-05-05,136.0,147.25,135.875,145.5,70.050774,233800
2000-05-08,144.75,147.375,142.875,144.75,69.68969,171200
2000-05-09,146.75,147.125,138.625,142.25,68.486076,324800
2000-05-10,138.0,138.375,130.875,132.0,63.551207999999995,253700
2000-05-11,136.25,136.25,132.5,134.0,64.514122,169900
2000-05-12,135.5,142.25,134.5,140.25,67.523155,197800
2000-05-15,140.75,147.0,139.75,144.625,69.629486,218800
2000-05-16,146.0,151.0,145.875,149.25,71.85619399999999,249500
2000-05-17,147.0,149.875,145.5,149.375,71.916397,219900
2000-05-18,148.0,153.375,146.625,150.0,72.217285,227500
2000-05-19,146.5,147.5,140.0,142.0,68.3657,219000
2000-05-22,143.125,143.125,132.625,140.5,67.643524,399100
2000-05-23,139.0,140.0,136.25,136.875,65.89827,215300
2000-05-24,136.375,139.0,131.75,139.0,66.92134899999999,332200
2000-05-25,138.625,139.375,133.25,133.875,64.453934,196900
2000-05-26,134.0,134.625,124.75,126.625,60.963432,272400
2000-05-30,131.875,136.875,131.0,135.75,65.356659,269500
2000-05-31,134.75,136.625,131.625,134.5,64.754829,242600
2000-06-01,134.0,146.0,130.625,144.625,69.629486,422100
2000-06-02,154.5,157.875,151.0,155.375,74.805077,427900
2000-06-05,152.125,160.0,151.0,156.0,75.106003,309700
2000-06-06,155.5,155.5,150.25,152.5,73.420906,164500
2000-06-07,151.0,157.375,151.0,156.625,75.406891,217000
