Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,12.875,13.1875,12.5625,13.0625,7.155202,2387900
2000-01-04,12.5625,13.1875,12.5,13.1875,7.223674000000001,3056200
2000-01-05,13.125,13.1875,12.5625,12.75,6.984027,3437100
2000-01-06,12.625,13.1875,12.5625,13.0625,7.155202,3363000
2000-01-07,13.0,13.0625,12.6875,12.6875,6.949789,2625100
2000-01-10,12.8125,13.4375,12.75,13.0,7.1209679999999995,3621600
2000-01-11,12.8125,13.4375,12.75,13.375,7.326381,4106800
2000-01-12,13.1875,13.625,13.0625,13.1875,7.223674000000001,2794200
2000-01-13,13.3125,13.8125,13.25,13.75,7.531791,2752700
2000-01-14,13.5625,13.625,12.875,12.9375,7.08673,3430800
2000-01-18,12.875,13.125,12.5625,12.6875,6.949789,3009600
2000-01-19,12.75,12.75,12.25,12.5,6.8470830000000005,3235200
2000-01-20,12.5625,12.5625,12.1875,12.25,6.7101429999999995,2015200
2000-01-21,12.25,12.25,11.75,11.875,6.504728,3919200
2000-01-24,11.8125,11.9375,11.0,11.0,6.025434,3695800
2000-01-25,11.0,11.4375,10.0625,10.3125,5.648844,5030700
2000-01-26,10.3125,11.5,10.0,11.0625,6.05967,6111200
2000-01-27,11.125,11.4375,10.75,11.0,6.025434,3818800
2000-01-28,10.875,11.125,10.75,10.875,5.956962,2417200
2000-01-31,10.8125,10.875,10.25,10.4375,5.717314,2247900
2000-02-01,10.5625,10.625,10.1875,10.375,5.683079,2680200
2000-02-02,10.4375,11.9375,10.375,11.8125,6.470495,7499700
2000-02-03,11.75,12.5,10.5,10.875,5.956962,9235000
2000-02-04,11.25,11.8125,10.125,10.75,5.888493,19065800
2000-02-07,10.75,10.875,10.375,10.625,5.8200199999999995,5971000
2000-02-08,10.625,10.6875,10.1875,10.4375,5.717314,3840200
2000-02-09,10.5,10.75,10.375,10.75,5.888493,4605000
2000-02-10,10.625,10.875,10.1875,10.25,5.614609,5282800
2000-02-11,11.0,11.0,10.5,10.6875,5.854257,5778400
2000-02-14,11.0,11.4375,10.875,11.375,6.230848,4022900
2000-02-15,11.3125,11.625,10.875,10.9375,5.991198000000001,3752600
2000-02-16,11.0,11.125,10.8125,11.0625,6.05967,2178400
2000-02-17,11.0,11.125,10.5,10.75,5.888493,2622400
2000-02-18,10.625,10.6875,10.375,10.4375,5.717314,2067400
2000-02-22,10.5,10.6875,10.25,10.4375,5.717314,2480100
2000-02-23,10.3125,10.4375,10.125,10.3125,5.648844,2943300
2000-02-24,10.3125,10.3125,9.875,10.0,5.477666999999999,4671700
2000-02-25,9.875,9.9375,9.375,9.6875,5.306489,3546200
2000-02-28,9.5625,9.875,9.3125,9.75,5.340726,2209400
2000-02-29,9.6875,9.9375,9.5625,9.625,5.272256,2456200
2000-03-01,9.6875,9.75,9.5,9.5625,5.238018,4236800
2000-03-02,9.375,9.625,9.3125,9.5,5.203782,3047300
2000-03-03,9.3125,10.5,9.0625,10.25,5.614609,7644900
2000-03-06,9.8125,10.3125,9.625,9.9375,5.443432,3776400
2000-03-07,10.0,10.0625,9.3125,9.5,5.203782,3601200
2000-03-08,9.3125,9.625,9.0,9.125,5.046176999999999,4732400
2000-03-09,9.125,9.3125,9.0625,9.125,5.046176999999999,3629600
2000-03-10,9.0625,9.1875,8.9375,9.0625,5.011615,4469100
2000-03-13,9.375,10.25,9.375,10.25,5.66831,8510800
2000-03-14,9.9375,10.1875,9.8125,9.875,5.460932,3885700
