Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,26.0,26.0,23.875,24.5625,24.5625,159500
2000-01-04,24.8125,24.875,23.875,24.0,24.0,160600
2000-01-05,24.0625,24.5625,23.625,24.4375,24.4375,80400
2000-01-06,24.4375,24.75,24.0,24.3125,24.3125,105300
2000-01-07,24.1875,24.625,24.0,24.625,24.625,53700
2000-01-10,24.8125,24.875,24.1875,24.8125,24.8125,60000
2000-01-11,24.9375,25.3125,24.375,24.375,24.375,99100
2000-01-12,24.625,24.625,23.4375,23.5,23.5,105600
2000-01-13,23.8125,24.375,23.8125,24.375,24.375,236100
2000-01-14,24.3125,25.4375,24.3125,25.0,25.0,387100
2000-01-18,24.875,24.9375,24.75,24.75,24.75,96300
2000-01-19,24.75,24.875,24.75,24.875,24.875,146400
2000-01-20,24.875,24.9375,23.5,23.5625,23.5625,132000
2000-01-21,23.6875,23.8125,23.625,23.6875,23.6875,105400
2000-01-24,23.6875,23.9375,23.5625,23.5625,23.5625,57500
2000-01-25,23.625,23.625,22.125,22.25,22.25,243800
2000-01-26,22.0,22.6875,21.1875,22.3125,22.3125,290600
2000-01-27,22.375,22.9375,22.3125,22.6875,22.6875,215900
2000-01-28,22.75,23.375,22.6875,23.0625,23.0625,213200
2000-01-31,22.875,23.75,22.875,23.4375,23.4375,320600
2000-02-01,23.4375,23.6875,23.4375,23.5625,23.5625,371300
2000-02-02,23.5625,23.6875,22.8125,23.375,23.375,191200
2000-02-03,23.5625,24.0625,23.0625,23.25,23.25,211000
2000-02-04,23.1875,23.6875,23.1875,23.3125,23.3125,68600
2000-02-07,23.375,23.5,22.75,22.8125,22.8125,33500
2000-02-08,22.875,22.875,22.25,22.625,22.625,106000
2000-02-09,22.5,22.625,21.3125,21.75,21.75,169600
2000-02-10,21.8125,22.1875,21.75,22.1875,22.1875,200700
2000-02-11,22.0625,22.0625,21.5625,21.8125,21.8125,171200
2000-02-14,21.8125,22.75,21.8125,22.375,22.375,368300
2000-02-15,22.5625,22.8125,22.5625,22.625,22.625,170300
2000-02-16,22.5,23.4375,22.4375,22.625,22.625,198900
2000-02-17,22.75,22.75,22.375,22.4375,22.4375,136700
2000-02-18,22.4375,23.125,22.4375,22.8125,22.8125,418900
2000-02-22,22.6875,22.6875,21.375,21.375,21.375,131300
2000-02-23,21.5,21.875,20.3125,20.9375,20.9375,173400
2000-02-24,20.9375,21.125,20.5625,20.6875,20.6875,174800
2000-02-25,20.6875,22.0,20.6875,21.625,21.625,234400
2000-02-28,21.5625,22.125,21.5,21.875,21.875,197900
2000-02-29,21.9375,22.1875,21.5625,22.1875,22.1875,153600
2000-03-01,22.0625,22.25,21.8125,22.25,22.25,151400
2000-03-02,22.1875,22.25,21.75,21.9375,21.9375,103900
2000-03-03,22.0,22.0625,21.3125,21.4375,21.4375,99200
2000-03-06,21.375,21.5,20.5625,20.625,20.625,81000
2000-03-07,20.3125,21.1875,20.3125,21.0,21.0,137500
2000-03-08,20.9375,21.0,19.75,19.75,19.75,167600
2000-03-09,19.9375,20.3125,19.5,20.3125,20.3125,255100
2000-03-10,20.375,20.375,19.5,19.8125,19.8125,100300
2000-03-13,19.8125,19.8125,18.9375,19.25,19.25,138300
2000-03-14,19.125,20.375,19.125,20.375,20.375,369100
2000-03-15,20.375,21.5,20.1875,21.25,21.25,262800
2000-03-16,21.5,21.5,21.0,21.0625,21.0625,262500
2000-03-17,20.75,21.625,20.25,20.75,20.75,209500
2000-03-20,20.875,21.5,19.625,19.6875,19.6875,147300
