Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,11.0625,11.0625,10.03125,10.75,10.75,248000
2000-01-04,10.5,10.5,9.78125,9.96875,9.96875,295000
2000-01-05,10.0,10.3125,9.875,10.03125,10.03125,778200
2000-01-06,10.125,10.125,9.40625,9.46875,9.46875,819200
2000-01-07,9.625,9.75,8.09375,8.3125,8.3125,2182600
2000-01-10,8.5,8.5625,8.21875,8.40625,8.40625,3289600
2000-01-11,8.5,8.53125,8.21875,8.28125,8.28125,1875000
2000-01-12,8.28125,8.3125,7.875,8.125,8.125,953600
2000-01-13,8.2656,8.3125,8.09375,8.1875,8.1875,890600
2000-01-14,8.3125,8.3125,7.125,7.1406,7.1406,2553400
2000-01-18,7.5,7.5,6.78125,7.0625,7.0625,4223400
2000-01-19,7.25,7.40625,6.5703,6.65625,6.65625,1381800
2000-01-20,6.875,6.9375,6.59375,6.65625,6.65625,1205000
2000-01-21,6.96875,7.03125,6.65625,6.78125,6.78125,1189600
2000-01-24,6.92185,7.1875,6.75,6.75,6.75,930600
2000-01-25,7.0,7.03125,6.625,6.875,6.875,956800
2000-01-26,6.90625,6.9375,6.1875,6.3125,6.3125,1509800
2000-01-27,6.625,6.75,6.375,6.65625,6.65625,1312800
2000-01-28,6.6875,6.6875,6.5,6.5,6.5,1743200
2000-01-31,6.59375,6.71875,6.5,6.5625,6.5625,1718000
2000-02-01,6.53125,6.875,6.5,6.6875,6.6875,998800
2000-02-02,6.75,6.78125,6.3125,6.375,6.375,1186600
2000-02-03,6.5,6.875,6.3125,6.78125,6.78125,2125600
2000-02-04,6.78125,6.84375,6.5625,6.625,6.625,1116800
2000-02-07,6.65625,6.75,6.4375,6.5,6.5,1265200
2000-02-08,6.53125,6.625,6.25,6.625,6.625,1574400
2000-02-09,6.5625,6.5625,6.03125,6.03125,6.03125,1259200
2000-02-10,6.0625,6.5625,6.0,6.53125,6.53125,1007200
2000-02-11,6.53125,6.59375,5.9375,6.09375,6.09375,1045600
2000-02-14,6.09375,6.375,6.0625,6.34375,6.34375,795200
2000-02-15,6.375,6.375,6.0625,6.09375,6.09375,496600
2000-02-16,6.125,6.15625,5.625,5.75,5.75,671400
2000-02-17,5.84375,5.875,5.25,5.375,5.375,1684200
2000-02-18,5.46875,5.8125,5.375,5.375,5.375,1237000
2000-02-22,5.46875,5.9375,5.375,5.625,5.625,1693800
2000-02-23,5.625,5.875,5.5,5.7656,5.7656,543000
2000-02-24,5.8125,6.8125,5.78125,6.53125,6.53125,699400
2000-02-25,6.5156,6.53125,6.3125,6.4375,6.4375,702000
2000-02-28,6.5,6.65625,6.34375,6.54685,6.54685,601200
2000-02-29,6.71875,7.25,6.59375,7.0,7.0,495200
2000-03-01,6.96875,6.96875,6.0,6.03125,6.03125,1274600
2000-03-02,6.03125,6.03125,5.53125,5.53125,5.53125,975800
2000-03-03,5.84375,6.0625,5.5625,6.0625,6.0625,703800
2000-03-06,6.03125,6.15625,5.46875,5.46875,5.46875,662000
2000-03-07,5.6875,5.6875,4.75,4.8125,4.8125,2053200
2000-03-08,5.0,5.0,4.125,4.625,4.625,4427400
2000-03-09,4.875,5.5,4.78125,5.46875,5.46875,1316800
2000-03-10,5.46875,5.6875,5.0,5.0,5.0,910600
2000-03-13,5.125,5.4375,5.0,5.28125,5.28125,491800
2000-03-14,5.40625,6.125,5.375,5.65625,5.65625,759800
2000-03-15,5.6875,6.25,5.65625,6.1875,6.1875,981200
2000-03-16,6.375,7.5625,6.3125,7.4375,7.4375,1981200
2000-03-17,6.96875,7.25,6.9375,7.1875,7.1875,635600
2000-03-20,7.3125,7.46875,7.125,7.28125,7.28125,1264400
2000-03-21,7.42185,7.625,7.34375,7.53125,7.53125,707200
2000-03-22,7.5625,7.5625,7.3125,7.4375,7.4375,826600
2000-03-23,7.28125,7.5,7.25,7.375,7.375,349800
2000-03-24,7.46875,8.4375,7.375,8.125,8.125,1148000
2000-03-27,8.17185,8.3125,7.875,8.1875,8.1875,563200
2000-03-28,8.1875,8.21875,7.4375,7.6875,7.6875,534400
2000-03-29,7.625,8.125,7.125,7.21875,7.21875,758400
2000-03-30,7.21875,7.6875,7.09375,7.5,7.5,233600
2000-03-31,7.625,7.75,7.0,7.09375,7.09375,378200
2000-04-03,7.3125,7.5,7.0625,7.375,7.375,567400
2000-04-04,7.46875,7.5,6.75,7.375,7.375,396800
2000-04-05,7.3125,7.625,7.25,7.40625,7.40625,205400
2000-04-06,7.25,7.46875,7.125,7.21875,7.21875,195000
2000-04-07,7.21875,7.21875,6.8125,6.96875,6.96875,472600
2000-04-10,6.96875,7.34375,6.78125,6.84375,6.84375,515200
2000-04-11,6.96875,6.96875,6.3125,6.53125,6.53125,457800
