Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,8.5625,8.625,8.25,8.4375,8.123481,149600
2000-01-04,8.375,8.5625,8.125,8.5625,8.243829,140100
2000-01-05,8.625,8.75,8.125,8.3125,8.003136,199900
2000-01-06,8.3125,8.75,8.3125,8.5,8.183657,216200
2000-01-07,8.5625,8.8125,8.5,8.75,8.424352,164900
2000-01-10,8.625,8.625,8.375,8.5,8.183657,107300
2000-01-11,8.375,8.6875,8.3125,8.625,8.304005,80900
2000-01-12,8.625,8.6875,8.1875,8.1875,7.882788000000001,186600
2000-01-13,8.4375,8.4375,8.3125,8.4375,8.123481,153100
2000-01-14,8.375,8.8125,8.3125,8.6875,8.364177999999999,391900
2000-01-18,8.9375,9.3125,8.6875,9.3125,8.965917,449100
2000-01-19,9.375,9.625,8.75,9.125,8.785397,490600
2000-01-20,9.0,9.0,8.6875,9.0,8.665047999999999,279300
2000-01-21,9.0,9.4375,9.0,9.4375,9.086267999999999,449000
2000-01-24,9.4375,10.1875,9.4375,9.5,9.146441000000001,390900
2000-01-25,9.625,9.875,9.375,9.75,9.387136,208800
2000-01-26,10.125,10.1875,9.8125,9.8125,9.447311000000001,331700
2000-01-27,9.8125,9.875,8.8125,8.8125,8.484529,215000
2000-01-28,8.875,9.125,8.625,8.625,8.304005,190000
2000-01-31,8.625,8.8125,8.5625,8.5625,8.243829,164200
2000-02-01,8.625,8.9375,8.4375,8.9375,8.604877,134100
2000-02-02,9.0,9.5,9.0,9.3125,8.965917,232100
2000-02-03,9.4375,9.4375,8.75,9.0,8.665047999999999,137100
2000-02-04,9.125,9.25,8.5625,8.875,8.5447,99400
2000-02-07,8.9375,8.9375,8.3125,8.6875,8.364177999999999,133900
2000-02-08,8.6875,8.6875,8.3125,8.375,8.063311,189200
2000-02-09,8.375,8.375,8.125,8.125,7.8226130000000005,108500
2000-02-10,8.0625,8.375,7.9375,8.3125,8.003136,155800
2000-02-11,8.3125,8.3125,8.0,8.125,7.8226130000000005,154300
2000-02-14,8.0,8.0625,7.75,7.875,7.581917999999999,206900
2000-02-15,8.0,8.125,7.75,8.0625,7.76244,665400
2000-02-16,8.0,8.0,7.6875,7.75,7.46157,617200
2000-02-17,7.8125,7.9375,7.5,7.6875,7.401396000000001,211200
2000-02-18,7.75,7.8125,6.75,6.875,6.619135000000001,630400
2000-02-22,7.125,7.6875,7.0625,7.4375,7.1607009999999995,411400
2000-02-23,7.625,7.875,7.25,7.6875,7.401396000000001,468400
2000-02-24,7.5625,7.75,7.4375,7.75,7.46157,273800
2000-02-25,7.6875,7.9375,7.375,7.4375,7.1607009999999995,210700
2000-02-28,7.25,7.75,7.1875,7.6875,7.401396000000001,146600
2000-02-29,7.625,8.375,7.5,8.3125,8.003136,363300
2000-03-01,8.1875,9.0,7.875,8.4375,8.123481,387800
2000-03-02,8.3125,8.8125,8.25,8.75,8.424352,385300
2000-03-03,8.6875,8.75,8.1875,8.1875,7.882788000000001,217400
2000-03-06,8.3125,8.5,8.1875,8.375,8.063311,200300
2000-03-07,8.3125,9.5625,8.3125,9.0625,8.725224,551500
2000-03-08,9.0,9.125,8.6875,9.125,8.785397,383800
2000-03-09,9.125,9.5,8.875,9.4375,9.086267999999999,337800
2000-03-10,9.4375,9.6875,8.9375,8.9375,8.604877,184000
2000-03-13,9.1875,9.1875,8.4375,8.4375,8.123481,111500
2000-03-14,8.5625,9.125,8.5625,8.75,8.424352,205100
2000-03-15,8.75,8.9375,8.3125,8.5625,8.243829,296100
2000-03-16,8.75,9.25,8.5625,9.25,8.905746,218400
2000-03-17,8.625,9.25,8.625,9.0,8.665047999999999,384900
2000-03-20,9.125,9.125,8.5625,8.8125,8.484529,190400
2000-03-21,8.8125,9.125,8.6875,9.0,8.665047999999999,232400
2000-03-22,9.0,9.25,9.0,9.25,8.905746,230500
2000-03-23,9.25,9.4375,9.0,9.125,8.785397,124100
2000-03-24,9.0625,9.6875,9.0625,9.375,9.026093,174500
2000-03-27,9.25,9.375,9.0625,9.25,8.905746,80900
2000-03-28,9.25,9.375,8.875,9.0,8.665047999999999,196300
2000-03-29,9.0625,9.3125,9.0,9.1875,8.845572,175400
2000-03-30,9.3125,10.3125,9.3125,10.0,9.627833,362000
2000-03-31,10.125,10.75,10.0,10.5,10.109221,435600
2000-04-03,10.625,10.875,10.25,10.5,10.109221,328400
2000-04-04,10.375,10.375,9.125,9.9375,9.567658999999999,298600
2000-04-05,9.5625,10.0,9.5,9.75,9.387136,198500
2000-04-06,9.875,10.125,9.875,10.0,9.627833,207000
2000-04-07,10.0,10.0,9.5625,9.875,9.507484,120300
2000-04-10,9.9375,9.9375,9.1875,9.1875,8.845572,132500
2000-04-11,9.1875,9.5,9.125,9.1875,8.845572,158100
2000-04-12,9.3125,9.75,9.25,9.6875,9.326962,95900
2000-04-13,9.6875,9.8125,9.6875,9.75,9.387136,123200
2000-04-14,9.625,9.8125,9.625,9.75,9.387136,210500
2000-04-17,9.6875,9.75,9.0,9.5625,9.206615,162600
2000-04-18,9.6875,9.9375,9.1875,9.8125,9.447311000000001,161300
2000-04-19,9.6875,10.1875,9.625,9.75,9.387136,152200
2000-04-20,9.8125,10.125,9.5,9.5625,9.206615,137800
2000-04-24,9.4375,9.8125,9.375,9.8125,9.447311000000001,250000
2000-04-25,9.8125,10.125,9.375,10.125,9.748182,173300
2000-04-26,10.0,10.625,9.4375,9.5,9.146441000000001,310100
2000-04-27,9.5,10.3125,9.5,10.125,9.748182,146700
2000-04-28,10.25,10.5,10.0,10.3125,9.928701,117000
2000-05-01,10.25,10.75,10.1875,10.5,10.109221,207600
2000-05-02,10.375,10.9375,10.25,10.6875,10.289743,306500
2000-05-03,10.75,10.9375,10.4375,10.5,10.109221,253400
2000-05-04,10.625,11.6875,10.5625,11.625,11.192355000000001,522600
2000-05-05,11.625,12.125,11.5625,12.125,11.673751,411400
2000-05-08,11.8125,12.125,11.75,11.8125,11.372874000000001,235000
2000-05-09,11.875,11.9375,11.5,11.5625,11.132182,280400
2000-05-10,11.4375,11.625,11.25,11.4375,11.011834,249000
2000-05-11,11.5,12.125,11.5,12.125,11.673751,571400
2000-05-12,12.125,12.125,11.875,12.0,11.553401,179500
2000-05-15,12.0,12.5,11.9375,12.5,12.034791,236300
2000-05-16,12.5625,13.0,12.5,12.75,12.275487,356300
2000-05-17,12.8125,13.625,12.625,13.5,12.997573,491300
2000-05-18,13.375,13.4375,13.0,13.125,12.636528,417400
2000-05-19,13.0625,13.5,13.0,13.3125,12.81705,334200
2000-05-22,13.1875,13.375,13.1875,13.375,12.877227,242600
2000-05-23,13.375,13.5,13.125,13.125,12.636528,166700
2000-05-24,13.125,13.3125,12.75,13.0,12.516182,252700
2000-05-25,13.0625,13.3125,13.0,13.0,12.516182,384400
2000-05-26,13.125,14.125,13.125,14.0625,13.539138000000001,375000
2000-05-30,14.1875,14.6875,14.0,14.125,13.599313,422200
2000-05-31,14.1875,15.125,13.9375,14.9375,14.381576,474800
2000-06-01,15.1875,15.625,13.875,14.5,13.960358,705300
2000-06-02,14.4375,14.6875,13.5,14.3125,13.779832,319000
2000-06-05,14.1875,14.4375,13.3125,13.8125,13.298442000000001,290400
2000-06-06,13.75,14.25,13.75,13.8125,13.298442000000001,314700
2000-06-07,13.8125,13.875,13.5,13.625,13.117922,353600
2000-06-08,13.5625,13.8125,13.4375,13.625,13.117922,265900
2000-06-09,13.625,13.6875,13.375,13.5625,13.057748,148200
2000-06-12,13.625,14.1875,13.5625,13.875,13.358618,609500
2000-06-13,14.0,14.125,13.875,14.0,13.478963,302200
2000-06-14,14.0,14.125,13.75,13.8125,13.298442000000001,246600
2000-06-15,13.6875,13.875,13.375,13.625,13.117922,718500
2000-06-16,13.75,13.9375,13.625,13.75,13.238270000000002,354000
2000-06-19,13.75,13.8125,13.375,13.75,13.238270000000002,150300
2000-06-20,13.625,13.875,13.125,13.3125,12.81705,281200
2000-06-21,13.3125,13.5,13.1875,13.5,12.997573,648000
2000-06-22,13.5,13.625,13.0,13.0625,12.576356,243200
2000-06-23,13.0625,13.125,12.875,12.875,12.395835,213500
2000-06-26,12.75,13.125,12.625,12.75,12.275487,308000
2000-06-27,12.75,13.25,12.75,12.75,12.275487,584400
2000-06-28,12.75,12.875,12.4375,12.875,12.395835,295300
2000-06-29,12.875,12.875,12.125,12.125,11.673751,475500
2000-06-30,12.375,12.7656,12.3125,12.7656,12.290503999999999,316700
2000-07-03,12.6875,13.0625,12.6875,13.0,12.516182,59700
2000-07-05,12.875,12.9375,12.125,12.125,11.673751,289400
2000-07-06,12.25,12.875,12.1875,12.4375,11.97462,246400
2000-07-07,12.3125,12.6875,12.0625,12.125,11.673751,194900
2000-07-10,12.125,12.25,11.75,12.125,11.673751,171800
2000-07-11,12.25,12.6875,12.1875,12.625,12.15514,554000
2000-07-12,12.625,12.8125,12.25,12.3125,11.854267,391600
2000-07-13,12.25,12.375,11.875,12.375,11.914442999999999,135700
2000-07-14,12.25,12.25,12.0,12.25,11.794094,104000
2000-07-17,12.25,12.375,11.8125,12.0,11.553401,224300
2000-07-18,12.0,12.375,11.875,12.1875,11.733919,193800
2000-07-19,12.0625,12.1875,11.6875,11.8125,11.372874000000001,204900
2000-07-20,11.75,11.9375,11.6875,11.75,11.312702999999999,124700
2000-07-21,11.625,11.625,11.1875,11.3125,10.891484,171000
2000-07-24,11.1875,11.25,10.75,10.75,10.349917,175600
2000-07-25,10.8125,11.125,10.625,10.875,10.470267,371100
2000-07-26,10.875,11.3125,10.75,11.3125,10.891484,202500
2000-07-27,11.1875,11.5,11.0,11.25,10.831311,197900
2000-07-28,11.375,11.5,10.75,11.0,10.590615,233000
2000-07-31,11.1875,11.1875,10.75,10.75,10.349917,179800
2000-08-01,10.875,11.4375,10.875,11.3125,10.891484,88000
2000-08-02,11.375,11.6875,11.1875,11.5625,11.132182,185500
2000-08-03,11.5,11.5625,11.1875,11.5,11.072007000000001,226000
2000-08-04,11.4375,11.625,11.1875,11.375,10.951659,72500
2000-08-07,11.3125,12.0,11.25,11.75,11.312702999999999,208800
2000-08-08,11.9375,12.1875,11.8125,11.875,11.433049,361300
2000-08-09,12.0,12.5625,12.0,12.5625,12.094967,344800
2000-08-10,12.5625,13.0,12.4375,12.8125,12.33566,360900
2000-08-11,12.6875,12.9375,12.375,12.8125,12.33566,302200
2000-08-14,12.8125,13.25,12.6875,13.0625,12.576356,390200
2000-08-15,13.0625,13.125,12.4375,12.5,12.034791,199200
2000-08-16,12.5,13.375,12.5,13.25,12.756878,184200
2000-08-17,13.25,14.0,13.1875,13.9375,13.418794,213100
2000-08-18,13.875,13.9375,13.4375,13.4375,12.9374,88400
2000-08-21,13.6875,13.75,13.125,13.375,12.877227,118600
2000-08-22,13.375,13.875,13.375,13.5,12.997573,222700
2000-08-23,13.625,13.875,13.5,13.875,13.358618,285600
2000-08-24,13.8125,13.875,13.5,13.875,13.358618,299700
2000-08-25,13.75,13.875,13.5,13.5625,13.057748,566300
2000-08-28,13.6875,14.1875,13.6875,13.875,13.358618,304000
2000-08-29,13.9375,14.0,13.875,13.9375,13.418794,212000
2000-08-30,14.0,14.0,13.625,13.6875,13.178098,70900
2000-08-31,13.625,13.9375,13.5,13.875,13.358618,1068200
2000-09-01,13.875,14.3125,13.875,14.3125,13.779832,101200
2000-09-05,14.25,14.4375,14.0,14.0625,13.539138000000001,291500
2000-09-06,14.0625,14.5625,13.8125,14.5,13.960358,299900
2000-09-07,14.5625,14.625,14.1875,14.625,14.080706,234300
2000-09-08,14.625,14.625,14.1875,14.1875,13.659489,119600
2000-09-11,14.25,14.6875,14.125,14.4375,13.900181,231400
2000-09-12,14.5,14.5625,14.375,14.4375,13.900181,501300
2000-09-13,14.5,14.5,14.3125,14.4375,13.900181,284000
2000-09-14,14.5,14.5,14.375,14.5,13.960358,163000
2000-09-15,14.3125,14.875,14.3125,14.625,14.080706,456600
2000-09-18,14.6875,15.8125,14.6875,15.8125,15.224008999999999,1052600
2000-09-19,15.875,16.0,15.3125,15.5,14.92314,687300
2000-09-20,15.5,16.0625,15.3125,15.375,14.802792000000002,621600
2000-09-21,15.3125,15.3125,14.25,14.25,13.719660999999999,541400
2000-09-22,13.9375,14.4375,13.9375,14.125,13.599313,273800
2000-09-25,14.0,14.125,13.5,13.75,13.238270000000002,357100
2000-09-26,13.875,14.75,13.875,14.4375,13.900181,156300
2000-09-27,14.4375,14.75,14.375,14.4375,13.900181,346000
2000-09-28,14.5625,14.5625,14.0,14.5,13.960358,172400
2000-09-29,14.5,14.625,14.125,14.1875,13.659489,348500
2000-10-02,14.0625,14.375,13.9375,13.9375,13.418794,491800
2000-10-03,14.1875,14.25,13.75,13.875,13.358618,1010800
2000-10-04,13.875,13.875,13.6875,13.875,13.358618,176600
2000-10-05,13.75,14.0625,13.75,13.875,13.358618,273800
2000-10-06,13.9375,14.4375,13.875,14.0625,13.539138000000001,211100
2000-10-09,14.1875,14.375,14.125,14.1875,13.659489,252200
2000-10-10,14.375,14.4375,14.125,14.125,13.599313,559500
2000-10-11,14.3125,14.5,13.9375,14.1875,13.659489,415600
2000-10-12,14.25,15.1875,14.125,14.5,13.960358,2014200
2000-10-13,14.5,14.5,13.625,14.0625,13.539138000000001,461400
2000-10-16,14.125,14.125,13.8125,13.875,13.358618,297600
2000-10-17,14.0,14.0,13.75,13.9375,13.418794,215900
2000-10-18,13.875,13.9375,13.375,13.5,12.997573,263300
2000-10-19,13.625,14.125,13.5625,13.625,13.117922,682200
2000-10-20,13.5,13.9375,13.5,13.875,13.358618,229000
2000-10-23,13.875,13.875,13.4375,13.625,13.117922,542500
2000-10-24,13.75,13.9375,13.25,13.5625,13.057748,923100
2000-10-25,13.5625,13.625,12.625,12.75,12.275487,352000
2000-10-26,12.75,13.25,12.625,13.0625,12.576356,268800
2000-10-27,13.125,13.4375,12.8125,12.875,12.395835,1042500
2000-10-30,13.0,13.5,12.875,13.1875,12.696701,257500
2000-10-31,13.3125,13.4375,12.875,13.0625,12.576356,223400
2000-11-01,13.0625,13.625,13.0625,13.5625,13.057748,188600
2000-11-02,13.6875,13.6875,13.3125,13.625,13.117922,191800
2000-11-03,13.5625,13.8125,13.375,13.4375,12.9374,98700
2000-11-06,13.4375,13.625,13.25,13.375,12.877227,218500
2000-11-07,13.25,13.625,13.25,13.375,12.877227,159600
2000-11-08,13.3125,13.9375,13.3125,13.5,12.997573,191400
2000-11-09,13.625,13.6875,13.1875,13.375,12.877227,200100
2000-11-10,13.4375,13.625,12.875,12.875,12.395835,182000
2000-11-13,12.75,13.125,12.4375,12.5625,12.094967,350100
2000-11-14,12.625,12.8125,12.5625,12.8125,12.33566,398800
2000-11-15,13.0,13.875,13.0,13.8125,13.298442000000001,271800
2000-11-16,13.75,14.4375,13.75,14.375,13.840008,829700
2000-11-17,14.4375,14.6875,13.875,13.9375,13.418794,360900
2000-11-20,14.0,14.25,13.8125,13.8125,13.298442000000001,134100
2000-11-21,13.75,14.3125,13.75,14.3125,13.779832,723200
2000-11-22,14.375,14.4375,14.1875,14.375,13.840008,172200
2000-11-24,14.375,14.625,14.3125,14.625,14.080706,61100
2000-11-27,14.5625,14.625,14.375,14.375,13.840008,302500
2000-11-28,14.3125,14.5625,14.3125,14.375,13.840008,219600
2000-11-29,14.375,14.5,14.25,14.4375,13.900181,963800
2000-11-30,14.3125,14.75,14.3125,14.5,13.960358,611100
2000-12-01,14.5,14.75,14.5,14.625,14.080706,295100
2000-12-04,14.75,15.0,14.5625,14.75,14.201051000000001,369200
2000-12-05,14.8125,15.0,14.6875,14.6875,14.140878,502700
2000-12-06,14.8125,15.0,14.75,14.875,14.321403,1392200
2000-12-07,14.9375,15.0,14.75,14.8125,14.26123,374900
2000-12-08,14.9375,15.25,14.8125,15.25,14.682445000000001,356400
2000-12-11,15.25,15.625,15.125,15.5625,14.983315,568000
2000-12-12,15.4375,15.5,15.0625,15.3125,14.742617000000001,177500
2000-12-13,15.4375,15.6875,14.875,15.0,14.44175,401300
2000-12-14,15.1875,15.375,14.5625,14.6875,14.140878,308900
2000-12-15,14.4375,14.9375,14.4375,14.625,14.080706,484900
2000-12-18,14.75,15.3125,14.625,15.0,14.44175,459500
2000-12-19,15.0625,16.0,15.0,15.8125,15.224008999999999,843700
2000-12-20,15.8125,16.25,15.5625,15.8125,15.224008999999999,718700
2000-12-21,15.9375,17.25,15.8125,17.1875,16.547838,650600
2000-12-22,17.125,17.3125,16.625,17.3125,16.668182,370100
2000-12-26,18.125,20.0,17.8125,19.75,19.014969,1106700
2000-12-27,19.75,20.25,19.625,20.0625,19.315839999999998,750800
2000-12-28,20.0,20.625,19.75,20.1875,19.436188,624700
2000-12-29,20.125,20.3125,19.625,19.6875,18.954795999999998,637000
2001-01-02,19.5,19.625,18.5,19.125,18.413231,640800
2001-01-03,19.0625,19.125,17.9375,18.25,17.570793,526600
2001-01-04,18.0,18.25,17.125,17.4375,16.788529999999998,849700
2001-01-05,17.375,18.625,17.3125,18.0,17.330095,529700
2001-01-08,18.25,19.9375,18.1875,19.5,18.774273,330900
2001-01-09,19.25,19.3125,18.25,18.5625,17.871662,262600
2001-01-10,18.5,19.4375,18.5,19.375,18.653923000000002,258500
2001-01-11,19.0625,19.25,18.375,18.5,17.811493,234400
2001-01-12,18.5,19.0,18.3125,18.375,17.691143,531900
2001-01-16,18.25,18.8125,17.8125,17.8125,17.14958,512100
2001-01-17,18.0625,18.375,17.625,17.625,16.969057,707800
2001-01-18,17.625,17.75,16.3125,16.875,16.246962,432100
2001-01-19,16.75,17.3125,16.375,17.0625,16.427485,262500
2001-01-22,17.125,17.9375,17.125,17.625,16.969057,236900
2001-01-23,17.625,18.0,17.625,17.8125,17.14958,185100
2001-01-24,17.875,18.625,17.75,18.0625,17.390272,138600
2001-01-25,18.25,18.5,17.75,17.75,17.089399,518600
2001-01-26,18.0,18.1875,17.5,17.5,16.848703,159600
2001-01-29,17.450001,18.5,17.25,18.0,17.330095,376500
2001-01-30,18.25,18.629998999999998,17.120001000000002,17.5,16.848703,483300
2001-01-31,17.75,17.99,17.379998999999998,17.5,16.848703,223300
2001-02-01,18.0,18.0,16.9,17.35,16.704287,289500
2001-02-02,17.700001,17.99,17.450001,17.469998999999998,16.819828,163200
2001-02-05,18.299999,18.299999,17.799999,18.0,17.330095,234700
2001-02-06,18.1,18.15,17.530001000000002,18.1,17.426382,432400
2001-02-07,18.01,18.809998999999998,17.76,18.549999,17.859634,371600
2001-02-08,18.65,18.65,18.01,18.1,17.426382,205400
2001-02-09,18.1,19.18,18.1,19.02,18.312134,406800
2001-02-12,19.0,19.0,18.450001,18.690001000000002,17.994419,389100
2001-02-13,19.0,19.09,18.76,18.959999,18.254366,294200
2001-02-14,18.959999,19.24,18.76,18.790001,18.090695999999998,216200
2001-02-15,18.6,18.68,17.889999,18.0,17.330095,253700
2001-02-16,17.9,18.440001000000002,17.82,18.389999,17.705582,291900
2001-02-20,18.15,18.549999,17.709999,17.969998999999998,17.301214,197200
2001-02-21,17.75,18.110001,17.15,17.35,16.704287,313600
2001-02-22,17.110001,17.51,16.5,16.959999,16.328798000000003,241400
2001-02-23,16.709999,17.1,16.709999,17.09,16.453964000000003,240600
2001-02-26,16.9,17.450001,16.9,17.290001,16.646523000000002,143500
2001-02-27,17.0,17.25,16.73,16.73,16.107359,210400
2001-02-28,16.85,17.08,16.620001000000002,16.85,16.222898,230300
2001-03-01,16.99,17.0,16.690001000000002,16.99,16.357691,248800
2001-03-02,16.99,17.25,16.860001,16.860001,16.232523,428300
2001-03-05,17.16,18.01,17.16,17.690001000000002,17.031633,228600
2001-03-06,17.75,17.860001,17.5,17.549999,16.896847,174900
2001-03-07,17.91,20.0,17.91,19.9,19.159385999999998,1261900
2001-03-08,19.75,20.24,19.67,19.74,19.005342000000002,669900
2001-03-09,19.74,20.1,19.65,19.75,19.014969,433200
2001-03-12,19.299999,19.299999,18.549999,18.6,17.907764,611000
