Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,13.1875,13.5,12.0,12.3125,12.3125,153800
2000-01-04,12.1562,12.625,11.875,12.0,12.0,94100
2000-01-05,12.0625,12.125,11.25,11.5,11.5,82000
2000-01-06,11.5625,11.75,11.375,11.625,11.625,42100
2000-01-07,11.5625,13.0,11.375,13.0,13.0,113900
2000-01-10,13.0,15.125,12.125,14.5,14.5,286800
2000-01-11,14.1875,14.375,13.875,14.0937,14.0937,198900
2000-01-12,14.0312,14.5,13.5,14.125,14.125,198000
2000-01-13,14.25,14.375,14.0,14.1875,14.1875,102200
2000-01-14,14.1875,14.9375,14.125,14.5,14.5,236200
2000-01-18,14.5625,17.875,14.5,17.0,17.0,351300
2000-01-19,18.0,18.25,16.25,16.25,16.25,314800
2000-01-20,16.3125,16.625,15.0,15.25,15.25,189800
2000-01-21,15.0312,15.0625,14.1875,14.625,14.625,393200
2000-01-24,14.8125,16.25,14.5625,14.5937,14.5937,292200
2000-01-25,14.7812,15.0625,14.1875,14.5625,14.5625,98100
2000-01-26,14.5625,14.875,14.0625,14.0625,14.0625,97500
2000-01-27,14.5,14.5,12.875,13.375,13.375,184100
2000-01-28,13.5,13.5,12.5,12.5625,12.5625,211000
2000-01-31,12.5,12.5625,10.9531,12.3125,12.3125,312000
2000-02-01,12.0312,12.8125,12.0312,12.625,12.625,168200
2000-02-02,12.2812,13.625,12.25,13.5,13.5,129800
2000-02-03,13.5,13.5,12.875,12.875,12.875,157100
2000-02-04,13.0625,13.1875,12.75,13.125,13.125,247700
2000-02-07,12.875,13.25,12.8125,13.0625,13.0625,147700
2000-02-08,13.125,15.0,12.6875,14.625,14.625,349900
2000-02-09,15.125,15.25,13.375,13.625,13.625,272000
2000-02-10,13.875,14.6875,13.5,14.5625,14.5625,226900
2000-02-11,14.625,16.375,14.5,15.75,15.75,303800
2000-02-14,16.25,16.5,15.75,16.0,16.0,110600
2000-02-15,15.9062,16.0312,14.25,15.0,15.0,245800
2000-02-16,15.0312,15.4375,15.0,15.25,15.25,152200
2000-02-17,15.5625,18.25,15.5,18.125,18.125,595100
2000-02-18,18.75,24.0,18.75,21.75,21.75,762300
2000-02-22,22.5625,23.875,18.5,20.875,20.875,421300
2000-02-23,22.75,38.75,22.75,36.625,36.625,4523500
2000-02-24,35.4375,37.125,32.625,36.75,36.75,2311400
2000-02-25,36.125,48.0,34.125,45.875,45.875,2159500
2000-02-28,45.8437,45.875,40.0,45.125,45.125,825100
2000-02-29,45.4687,57.375,45.25,56.5,56.5,904800
