Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,114.125,115.8125,105.5,115.75,115.75,1612800
2000-01-04,114.0,114.5,107.5,107.5,107.5,1230000
2000-01-05,109.25,129.0,106.0,128.0,128.0,4662600
2000-01-06,125.5,136.21875,114.125,114.125,114.125,4608200
2000-01-07,117.46875,133.6875,115.0,132.25,132.25,2714200
2000-01-10,144.5,148.0,131.375,141.25,141.25,2873400
2000-01-11,140.0,145.0,125.0625,129.5,129.5,1518700
2000-01-12,138.0,138.0,120.375,131.3125,131.3125,1321300
2000-01-13,139.25,143.0,130.0,131.3125,131.3125,1138500
2000-01-14,139.0,139.75,131.5,132.25,132.25,759300
2000-01-18,123.5,125.0,115.5,116.375,116.375,2179300
2000-01-19,118.6875,121.5,116.0625,117.375,117.375,1312400
2000-01-20,120.4375,120.4375,110.625,114.8125,114.8125,889000
2000-01-21,118.625,120.0,111.0,114.0625,114.0625,915200
2000-01-24,117.0,118.0,111.0,112.0,112.0,899700
2000-01-25,110.0625,114.5,109.5,114.21875,114.21875,729400
2000-01-26,113.4375,123.6875,111.625,113.375,113.375,2133400
2000-01-27,115.0625,120.0,112.0,113.875,113.875,786400
2000-01-28,112.5,114.875,104.5,107.0,107.0,782900
2000-01-31,103.375,105.0,91.0,95.125,95.125,2134300
2000-02-01,97.9375,100.0,88.9375,92.5,92.5,1369600
2000-02-02,91.375,108.625,88.3125,108.0,108.0,4826100
2000-02-03,105.75,108.0,98.0,98.625,98.625,3175700
2000-02-04,95.0625,98.0,92.0,92.6875,92.6875,6532500
2000-02-07,90.75,92.5625,87.625,88.9375,88.9375,2289000
2000-02-08,93.5,94.375,88.5625,90.375,90.375,2397300
2000-02-09,92.0,92.0625,89.0,89.5,89.5,965800
2000-02-10,89.5,89.75,85.0,87.0625,87.0625,1013900
2000-02-11,86.0,86.5,81.25,83.375,83.375,1689000
2000-02-14,83.125,84.0,77.1875,78.1875,78.1875,1718300
2000-02-15,77.25,77.625,73.0,74.75,74.75,1950600
2000-02-16,73.375,74.5,69.125,70.0,70.0,4151800
2000-02-17,70.4375,79.75,70.0,75.1875,75.1875,6665900
2000-02-18,77.9375,78.0625,71.125,71.5,71.5,2259000
2000-02-22,73.0,73.875,67.0,71.625,71.625,2065800
2000-02-23,71.125,76.25,69.25,72.0,72.0,2079500
2000-02-24,74.125,74.25,70.0,70.5,70.5,1198000
2000-02-25,69.75,71.0,67.25,68.375,68.375,1719400
2000-02-28,65.75,66.125,61.0,63.5625,63.5625,2312400
2000-02-29,63.9375,65.75,60.5,60.6875,60.6875,2082200
2000-03-01,60.3125,60.5,55.25,55.75,55.75,3701700
2000-03-02,54.125,66.3125,53.75,63.78125,63.78125,5230600
2000-03-03,67.875,71.6875,65.5,70.625,70.625,4759800
2000-03-06,69.75,70.5,64.0,65.6875,65.6875,2282700
2000-03-07,66.0625,67.5,61.0,61.0,61.0,1638000
2000-03-08,63.25,64.0,59.8125,60.5,60.5,1756600
2000-03-09,63.75,68.75,61.5,68.0,68.0,3949100
2000-03-10,69.625,75.5,69.5625,71.125,71.125,4311200
2000-03-13,65.875,77.9375,65.125,75.8125,75.8125,4125100
2000-03-14,79.5625,79.5625,68.625,69.125,69.125,2626500
2000-03-15,69.75,71.5,65.0,65.96875,65.96875,1625200
2000-03-16,67.9375,68.125,61.5,65.0,65.0,1863000
2000-03-17,65.5,66.75,62.625,62.875,62.875,1355400
2000-03-20,63.6875,64.0,58.375,59.25,59.25,2311400
2000-03-21,58.75,59.625,56.0,57.1875,57.1875,1519600
2000-03-22,57.6875,59.25,55.5,58.0,58.0,2636400
2000-03-23,57.875,61.1875,56.875,57.5,57.5,2056300
2000-03-24,59.5,61.125,58.0,60.5,60.5,2064800
2000-03-27,62.75,64.0625,56.125,56.625,56.625,3859800
2000-03-28,55.875,56.5,49.5,50.125,50.125,4568400
2000-03-29,50.703121,50.703121,43.625,44.125,44.125,6502500
2000-03-30,41.75,43.0,39.625,40.25,40.25,6070600
2000-03-31,42.75,43.75,39.0,42.375,42.375,2592600
2000-04-03,43.25,46.6875,40.375,42.125,42.125,4021500
2000-04-04,47.3125,47.375,33.0,41.4375,41.4375,5059200
2000-04-05,39.625,45.3125,38.25,40.9375,40.9375,2613000
2000-04-06,41.375,43.0,40.0,40.4375,40.4375,1893000
2000-04-07,41.125,41.375,37.25,38.125,38.125,2516100
