Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,18.5625,19.1875,17.625,18.0,18.0,233800
2000-01-04,17.9375,18.125,16.5,17.75,17.75,195500
2000-01-05,16.625,17.0,16.5,17.0,17.0,166700
2000-01-06,16.875,17.0,16.6875,16.9375,16.9375,410900
2000-01-07,16.8125,18.5625,16.75,18.375,18.375,508600
2000-01-10,21.875,22.625,21.0,22.0,22.0,1448400
2000-01-11,22.7187,27.125,22.25,25.875,25.875,713300
2000-01-12,27.5,27.8125,22.5,22.75,22.75,433600
2000-01-13,24.125,26.5,23.0,25.4375,25.4375,150300
2000-01-14,25.4687,26.5,24.0,25.0625,25.0625,124900
2000-01-18,23.25,27.9375,23.125,27.9375,27.9375,270800
2000-01-19,27.9375,27.9375,26.125,26.875,26.875,114300
2000-01-20,26.375,27.0,26.25,26.875,26.875,276100
2000-01-21,27.25,27.5,26.5,26.875,26.875,539600
2000-01-24,26.875,29.9375,26.5,28.375,28.375,165500
2000-01-25,28.4375,31.375,28.4375,30.5,30.5,226400
2000-01-26,31.5625,34.0,30.5625,31.5,31.5,244600
2000-01-27,32.0,32.25,27.875,28.9375,28.9375,289100
2000-01-28,26.875,30.375,26.75,30.25,30.25,3695000
2000-01-31,29.75,30.75,28.75,30.3125,30.3125,972000
2000-02-01,31.9687,33.75,31.0,33.125,33.125,675100
2000-02-02,33.9375,34.0,32.625,34.0,34.0,974600
2000-02-03,34.0625,35.0,34.0,35.0,35.0,889800
2000-02-04,35.0,35.0,33.75,34.5,34.5,465100
2000-02-07,34.75,36.5,34.75,35.375,35.375,770400
2000-02-08,35.5,35.5,33.375,34.625,34.625,176200
2000-02-09,34.3125,34.625,31.25,33.75,33.75,660500
2000-02-10,33.875,35.75,33.625,34.75,34.75,333700
2000-02-11,35.25,35.375,34.75,34.875,34.875,650300
2000-02-14,35.25,35.703098,34.125,34.875,34.875,253000
2000-02-15,35.0,35.0625,33.6875,35.0625,35.0625,183000
2000-02-16,35.125,35.125,32.4375,34.125,34.125,99000
2000-02-17,33.0,33.9375,31.5,31.625,31.625,425900
2000-02-18,31.7812,31.8125,27.75,27.75,27.75,387000
2000-02-22,30.0,31.0,29.375,30.125,30.125,832800
2000-02-23,30.3125,31.5,30.0,30.875,30.875,691500
2000-02-24,33.0,33.375,32.25,33.25,33.25,437000
2000-02-25,34.125,36.375,34.0625,36.0,36.0,698400
2000-02-28,36.5,36.5,35.25,36.0,36.0,621000
2000-02-29,36.8125,41.375,36.5,40.5,40.5,422200
2000-03-01,41.0,45.875,41.0,43.375,43.375,321400
2000-03-02,43.25,43.875,42.75,42.875,42.875,402100
2000-03-03,43.5,45.0,42.875,44.125,44.125,195400
2000-03-06,44.25,44.25,42.375,43.25,43.25,222400
2000-03-07,43.8125,45.0,43.0,44.75,44.75,235100
2000-03-08,45.125,52.0,44.5,48.125,48.125,418000
2000-03-09,49.375,50.0,47.25,47.375,47.375,349400
2000-03-10,48.0,52.0,47.25,49.625,49.625,477600
2000-03-13,49.5,54.75,49.0,53.75,53.75,289600
2000-03-14,54.625,54.75,51.875,52.5,52.5,487300
2000-03-15,52.5625,52.9375,47.75,48.9375,48.9375,378000
2000-03-16,49.375,50.0,42.625,45.375,45.375,351800
2000-03-17,45.25,50.625,45.125,50.0625,50.0625,770400
2000-03-20,50.1875,51.25,49.25,49.25,49.25,468700
2000-03-21,49.25,49.3125,47.0,47.1875,47.1875,241400
