Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,26.625,26.875,26.375,26.6875,12.350555,350700
2000-01-04,26.6875,26.6875,25.875,26.1875,12.119161,153200
2000-01-05,26.375,26.75,26.25,26.4375,12.234859,580200
2000-01-06,26.4375,26.4375,26.0,26.125,12.090238000000001,700200
2000-01-07,26.25,26.375,26.0,26.3125,12.177013,353000
2000-01-10,26.375,26.375,26.0625,26.25,12.14808,254500
2000-01-11,26.125,26.3125,25.625,25.625,11.858847,364800
2000-01-12,25.6875,26.0,25.6875,25.875,11.974542999999999,184600
2000-01-13,25.75,26.25,25.625,26.1875,12.119161,304400
2000-01-14,26.25,26.5625,26.0,26.4375,12.234859,271100
2000-01-18,26.4375,26.6875,26.25,26.375,12.205932,372900
2000-01-19,26.375,27.0,26.375,26.6875,12.350555,374800
2000-01-20,26.625,27.125,26.625,27.0625,12.524094999999999,587600
2000-01-21,27.625,28.6875,27.5,28.3125,13.10258,1739100
2000-01-24,28.6875,29.0,28.125,28.4375,13.160422,1370900
2000-01-25,28.625,28.625,27.75,27.875,12.900105,279500
2000-01-26,27.8125,28.375,27.8125,27.875,12.900105,223900
2000-01-27,27.875,28.4375,27.25,27.5,12.726569,657300
2000-01-28,27.5,27.8125,27.375,27.4375,12.697645,337700
2000-01-31,27.4375,27.75,27.0625,27.1875,12.581946,600600
2000-02-01,27.375,27.625,27.25,27.5625,12.755489,443800
2000-02-02,27.5625,27.6875,27.375,27.4375,12.697645,334600
2000-02-03,27.5625,28.375,27.5625,27.8125,12.871181,749900
2000-02-04,27.75,27.8125,27.4375,27.5,12.726569,456800
2000-02-07,27.5625,27.625,27.4375,27.5,12.726569,758500
2000-02-08,27.5625,27.9375,27.375,27.8125,12.871181,1799400
2000-02-09,27.9375,27.9375,27.625,27.6875,12.813336999999999,1374000
2000-02-10,27.3125,27.3125,26.875,27.0625,12.524094999999999,415000
2000-02-11,26.75,27.125,26.25,27.0,12.49517,1165700
2000-02-14,26.875,27.0,26.75,26.8125,12.408401,154000
2000-02-15,26.8125,26.9375,26.625,26.625,12.321626,143600
2000-02-16,26.75,26.8125,26.5625,26.8125,12.408401,141200
2000-02-17,26.625,26.875,26.625,26.75,12.379480000000001,125300
2000-02-18,26.75,26.75,26.5625,26.5625,12.292705999999999,80700
2000-02-22,26.5625,26.5625,26.375,26.4375,12.234859,45700
2000-02-23,26.5,26.8125,25.8125,25.9375,12.00346,614900
2000-02-24,25.9375,25.9375,23.75,24.25,11.222513000000001,640100
2000-02-25,23.75,24.0,23.6875,23.875,11.048974000000001,1250400
2000-02-28,23.75,24.625,23.375,24.625,11.39606,397700
2000-02-29,24.625,24.625,23.5,23.8125,11.020049,467800
2000-03-01,23.6875,23.75,22.75,23.5625,10.904356,517100
2000-03-02,23.5,23.875,23.3125,23.6875,10.962202,739300
