Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,19.5,19.625,19.125,19.125,11.6222,21000
2000-01-04,19.125,19.25,18.625,18.875,11.470276,9800
2000-01-05,18.875,18.875,18.625,18.75,11.394311,19200
2000-01-06,18.75,19.125,18.5,19.125,11.6222,25200
2000-01-07,19.125,19.25,19.125,19.25,11.698157,4200
2000-01-10,19.25,19.375,19.0,19.0,11.546234,21800
2000-01-11,19.0,19.125,18.875,19.0,11.546234,34200
2000-01-12,19.0,19.125,18.875,19.125,11.6222,15400
2000-01-13,19.125,19.375,19.125,19.125,11.6222,9400
2000-01-14,19.125,19.25,19.125,19.25,11.698157,6200
2000-01-18,19.25,19.25,19.125,19.25,11.698157,13400
2000-01-19,19.25,19.5,19.125,19.5,11.850086,15600
2000-01-20,19.5,19.5,19.125,19.25,11.698157,11600
2000-01-21,19.25,19.25,19.0,19.125,11.6222,12400
2000-01-24,19.125,19.125,18.625,18.625,11.31835,10600
2000-01-25,18.625,18.75,18.375,18.375,11.166423,8000
2000-01-26,18.375,18.625,18.375,18.625,11.31835,10800
2000-01-27,18.625,18.625,18.375,18.375,11.166423,9400
2000-01-28,18.375,18.5,18.0,18.125,11.014498,15000
2000-01-31,18.125,18.125,17.0,17.5,10.634692,101600
2000-02-01,17.5,17.625,17.25,17.5,10.634692,27800
2000-02-02,17.5,17.625,17.375,17.5,10.634692,10000
2000-02-03,17.5,17.625,17.375,17.5,10.634692,11600
2000-02-04,17.5,17.875,17.375,17.75,10.786617,7600
2000-02-07,17.75,18.125,17.75,18.125,11.014498,9800
2000-02-08,18.125,18.125,17.5,18.125,11.014498,23400
2000-02-09,18.125,18.5,18.0,18.375,11.166423,12200
2000-02-10,18.25,18.25,17.375,17.875,10.862575999999999,15400
2000-02-11,17.875,17.875,17.25,17.375,10.558728,20600
2000-02-14,17.375,17.375,16.875,17.25,10.482766,18400
2000-02-15,17.25,17.875,17.25,17.875,10.862575999999999,17400
2000-02-16,17.875,18.125,17.875,18.0,10.938538000000001,5000
2000-02-17,18.0,18.375,17.625,18.25,11.090461,13400
