Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,6.375,6.375,6.03125,6.226563,6.0705919999999995,868800
2000-01-04,6.4375,6.5,5.914063,5.992188,5.8420879999999995,1240000
2000-01-05,6.023438,6.203125,5.90625,6.195313,6.040125,2204800
2000-01-06,6.226563,6.492188,6.195313,6.4375,6.276247,1273600
2000-01-07,6.46875,6.6953130000000005,6.46875,6.625,6.459048999999999,677600
2000-01-10,6.59375,6.703125,6.109375,6.375,6.215311,2579200
2000-01-11,6.375,6.375,6.15625,6.304688,6.14676,1098400
2000-01-12,6.273438,6.390625,6.257813,6.359375,6.200079,588000
2000-01-13,6.375,6.4375,6.367188,6.429688,6.26863,599200
2000-01-14,6.4375,6.53125,6.4375,6.484375,6.321947,360800
2000-01-18,6.492188,6.5546880000000005,6.445313,6.53125,6.367648,508800
2000-01-19,6.539063,6.6953130000000005,6.539063,6.6796880000000005,6.512367,680800
2000-01-20,6.65625,6.765625,6.59375,6.7109380000000005,6.542834,467200
2000-01-21,6.6875,6.6953130000000005,6.453125,6.515625,6.352415000000001,215200
2000-01-24,6.546875,6.609375,6.320313,6.335938,6.177226999999999,604800
2000-01-25,6.34375,6.375,6.3125,6.375,6.215311,697600
2000-01-26,6.40625,6.6171880000000005,6.40625,6.5,6.337181,432000
2000-01-27,6.507813,6.507813,6.328125,6.4375,6.276247,329600
2000-01-28,6.40625,6.429688,6.320313,6.367188,6.207694999999999,333600
2000-01-31,6.367188,6.53125,6.296875,6.484375,6.321947,443200
2000-02-01,6.492188,6.625,6.453125,6.59375,6.428583000000001,812000
2000-02-02,6.59375,6.6875,6.59375,6.6171880000000005,6.451432,472000
2000-02-03,6.59375,6.671875,6.59375,6.609375,6.443816,338400
2000-02-04,6.6171880000000005,6.6171880000000005,6.34375,6.375,6.215311,470400
2000-02-07,6.390625,6.65625,6.390625,6.578125,6.413349,386400
2000-02-08,6.578125,6.6171880000000005,6.4375,6.4375,6.276247,219200
2000-02-09,6.445313,6.625,6.421875,6.578125,6.413349,436800
2000-02-10,6.5859380000000005,6.8359380000000005,6.5625,6.6875,6.519984,880800
2000-02-11,6.65625,6.71875,6.5625,6.5703130000000005,6.405730999999999,764000
2000-02-14,6.578125,6.75,6.5703130000000005,6.6796880000000005,6.512367,432800
2000-02-15,6.6796880000000005,6.828125,6.625,6.6484380000000005,6.4819,770400
2000-02-16,6.6171880000000005,6.640625,6.390625,6.507813,6.344797,862400
2000-02-17,6.53125,6.578125,6.460938,6.460938,6.299098000000001,856000
2000-02-18,6.453125,6.460938,6.226563,6.257813,6.1010599999999995,395200
2000-02-22,6.25,6.546875,6.140625,6.523438,6.36003,787200
2000-02-23,6.492188,6.5,6.21875,6.21875,6.062975,688000
2000-02-24,6.203125,6.28125,6.039063,6.203125,6.0477419999999995,390400
2000-02-25,6.203125,6.226563,6.078125,6.085938,5.93349,384800
2000-02-28,6.117188,6.140625,5.96875,6.140625,5.986807,508800
2000-02-29,6.421875,6.453125,6.054688,6.125,5.971575,834400
2000-03-01,6.09375,6.234375,6.078125,6.210938,6.055358,313600
2000-03-02,6.21875,6.21875,6.023438,6.03125,5.880171,293600
2000-03-03,6.007813,6.257813,5.984375,6.226563,6.0705919999999995,399200
2000-03-06,6.257813,6.265625,6.226563,6.226563,6.0705919999999995,300800
2000-03-07,6.195313,6.195313,5.84375,5.84375,5.697369,500000
2000-03-08,5.84375,5.84375,5.59375,5.59375,5.453632,759200
2000-03-09,5.625,5.625,5.328125,5.570313,5.430781,771200
2000-03-10,5.546875,5.546875,5.304688,5.367188,5.232744,585600
2000-03-13,5.367188,5.601563,5.289063,5.523438,5.38508,895200
2000-03-14,5.507813,5.5625,5.320313,5.320313,5.187043,211200
2000-03-15,5.351563,5.71875,5.046875,5.695313,5.552649,1784800
2000-03-16,5.671875,6.25,5.664063,6.210938,6.055358,1311200
2000-03-17,6.171875,6.1875,5.820313,5.835938,5.6897519999999995,654400
2000-03-20,5.867188,5.875,5.6875,5.710938,5.567883,194400
2000-03-21,5.71875,5.953125,5.71875,5.890625,5.7430699999999995,751200
2000-03-22,5.890625,5.96875,5.882813,5.96875,5.819239,206400
2000-03-23,5.945313,6.179688,5.890625,6.164063,6.009658,581600
2000-03-24,6.195313,6.195313,6.015625,6.046875,5.8954059999999995,894400
2000-03-27,6.125,6.148438,5.828125,6.03125,5.880171,1320800
2000-03-28,6.015625,6.140625,6.0,6.09375,5.9411059999999996,460000
2000-03-29,6.0625,6.070313,5.867188,5.992188,5.8420879999999995,304000
2000-03-30,5.960938,6.179688,5.960938,6.09375,5.9411059999999996,782400
2000-03-31,6.125,6.375,6.125,6.375,6.215311,446400
2000-04-03,6.351563,6.53125,6.34375,6.4375,6.276247,905600
2000-04-04,6.4375,6.5,6.25,6.351563,6.192461,879200
2000-04-05,6.351563,6.5,6.320313,6.5,6.337181,556800
2000-04-06,6.515625,6.5625,6.320313,6.4375,6.276247,912000
2000-04-07,6.453125,6.515625,6.355462999999999,6.507813,6.344797,603200
2000-04-10,6.507813,6.5625,6.203125,6.265625,6.108676,579200
2000-04-11,6.296875,6.4375,6.273438,6.34375,6.184844,493600
2000-04-12,6.375,6.8671880000000005,6.375,6.7578130000000005,6.588535,998400
2000-04-13,6.890625,6.96875,6.546875,6.546875,6.382880999999999,693600
2000-04-14,6.515625,6.515625,6.015625,6.164063,6.009658,647200
2000-04-17,6.179688,6.375,6.09375,6.359375,6.200079,476000
2000-04-18,6.328125,6.484375,6.265625,6.484375,6.321947,574400
2000-04-19,6.460938,6.484375,6.273438,6.320313,6.161994,454400
2000-04-20,6.320313,6.375,6.3125,6.328125,6.169611,200800
2000-04-24,6.34375,6.34375,6.242188,6.296875,6.139143,427200
2000-04-25,6.3125,6.328125,6.265625,6.304688,6.14676,336800
2000-04-26,6.304688,6.375,6.1875,6.234375,6.0782099999999994,287200
2000-04-27,6.21875,6.21875,6.125,6.132813,5.979191,402400
2000-04-28,6.132813,6.304688,6.132813,6.296875,6.139143,352000
2000-05-01,6.3125,6.421875,6.25,6.320313,6.161994,388800
2000-05-02,6.289063,6.335938,6.25,6.3125,6.1543779999999995,212800
2000-05-03,6.289063,6.523438,6.289063,6.460938,6.299098000000001,451200
2000-05-04,6.429688,6.515625,6.375,6.5,6.337181,352000
2000-05-05,6.53125,6.609375,6.179688,6.34375,6.184844,789600
2000-05-08,6.328125,6.609375,6.320313,6.429688,6.26863,543200
2000-05-09,6.40625,6.59375,6.40625,6.5859380000000005,6.420965,288000
2000-05-10,6.5546880000000005,6.5859380000000005,6.390625,6.390625,6.2305459999999995,255200
2000-05-11,6.375,6.6875,6.375,6.6875,6.519984,397600
2000-05-12,6.71875,6.8046880000000005,6.65625,6.671875,6.50475,360800
2000-05-15,6.640625,6.796875,6.5625,6.671875,6.50475,213600
2000-05-16,6.703125,6.8046880000000005,6.703125,6.71875,6.550451,256800
2000-05-17,6.6875,6.6875,6.445313,6.460938,6.299098000000001,378400
2000-05-18,6.429688,6.46875,6.390625,6.40625,6.245779,170400
2000-05-19,6.421875,6.507813,6.421875,6.492188,6.3295639999999995,288000
2000-05-22,6.46875,6.6171880000000005,6.398438,6.6171880000000005,6.451432,252800
2000-05-23,6.6171880000000005,6.703125,6.546875,6.6328130000000005,6.466666,360800
2000-05-24,6.6328130000000005,6.8359380000000005,6.59375,6.734375,6.565685,327200
2000-05-25,6.75,6.75,6.5625,6.5625,6.398114,138400
2000-05-26,6.5625,6.6171880000000005,6.40625,6.476563,6.31433,402400
2000-05-30,6.476563,6.484375,6.40625,6.46875,6.306714,134400
2000-05-31,6.4375,6.5625,6.4375,6.546875,6.382880999999999,367200
2000-06-01,6.53125,6.671875,6.53125,6.578125,6.413349,472000
2000-06-02,6.609375,6.609375,6.398438,6.421875,6.261013,324000
2000-06-05,6.453125,6.453125,6.3125,6.359375,6.200079,312000
2000-06-06,6.390625,6.5546880000000005,6.390625,6.5,6.337181,165600
2000-06-07,6.53125,6.6484380000000005,6.5,6.625,6.459048999999999,342400
2000-06-08,6.65625,6.71875,6.625,6.6875,6.519984,200800
2000-06-09,6.71875,6.8515630000000005,6.71875,6.84375,6.67232,384800
2000-06-12,6.8515630000000005,6.890625,6.7578130000000005,6.7890630000000005,6.619002,404800
2000-06-13,6.7890630000000005,6.8828130000000005,6.71875,6.734375,6.565685,1294400
2000-06-14,6.75,6.8359380000000005,6.6953130000000005,6.71875,6.550451,493600
2000-06-15,6.75,6.859375,6.75,6.84375,6.67232,244800
2000-06-16,6.875,6.9453130000000005,6.65625,6.828125,6.657087,770400
2000-06-19,6.8515630000000005,6.8671880000000005,6.75,6.8046880000000005,6.6342360000000005,200800
2000-06-20,6.7734380000000005,6.7734380000000005,6.53125,6.6015630000000005,6.436199,269600
2000-06-21,6.6328130000000005,6.8671880000000005,6.6328130000000005,6.75,6.580918,506400
2000-06-22,6.7734380000000005,6.84375,6.71875,6.7265630000000005,6.558068,478400
2000-06-23,6.703125,6.703125,6.3125,6.492188,6.3295639999999995,687200
2000-06-26,6.460938,6.460938,6.296875,6.40625,6.245779,869600
2000-06-27,6.46875,6.578125,6.234375,6.242188,6.085826,1012000
2000-06-28,6.273438,6.484375,6.265625,6.421875,6.261013,660000
2000-06-29,6.421875,6.429688,6.25,6.28125,6.1239099999999995,623200
2000-06-30,6.296875,6.3125,6.15625,6.306637,6.148661,782400
2000-07-03,6.335938,6.53125,6.335938,6.46875,6.306714,499200
2000-07-05,6.5,6.5546880000000005,6.359375,6.4375,6.276247,510400
2000-07-06,6.4375,6.578125,6.421875,6.515625,6.352415000000001,979200
2000-07-07,6.515625,6.703125,6.4375,6.6640630000000005,6.497134,767200
2000-07-10,6.65625,6.65625,6.4375,6.523438,6.36003,504800
2000-07-11,6.539063,6.546875,6.265625,6.414063,6.2533959999999995,656000
2000-07-12,6.40625,6.445313,6.304688,6.382813,6.222929,454400
2000-07-13,6.414063,6.429688,6.25,6.421875,6.261013,703200
2000-07-14,6.453125,6.453125,6.171875,6.273438,6.116293,329600
2000-07-17,6.304688,6.4375,6.304688,6.367188,6.207694999999999,1071200
2000-07-18,6.367188,6.523438,6.34375,6.46875,6.306714,664000
2000-07-19,6.484375,6.484375,6.398438,6.414063,6.2533959999999995,502400
2000-07-20,6.382813,6.40625,6.289063,6.359375,6.200079,482400
2000-07-21,6.367188,6.453125,6.101563,6.101563,5.948723,989600
2000-07-24,6.132813,6.179688,6.03125,6.054688,5.903023,623200
2000-07-25,6.078125,6.25,6.078125,6.148438,5.9944239999999995,906400
2000-07-26,6.125,6.125,6.015625,6.117188,5.963957,511200
2000-07-27,6.09375,6.15625,6.085938,6.085938,5.93349,238400
2000-07-28,6.085938,6.148438,5.96875,5.96875,5.819239,350400
2000-07-31,6.0,6.171875,6.0,6.171875,6.017275,738400
2000-08-01,6.171875,6.203125,6.132813,6.140625,5.986807,451200
2000-08-02,6.15625,6.1875,6.085938,6.109375,5.95634,445600
2000-08-03,6.140625,6.289063,6.140625,6.234375,6.0782099999999994,548000
2000-08-04,6.203125,6.25,6.164063,6.171875,6.017275,616000
2000-08-07,6.1875,6.1875,6.015625,6.078125,5.925873,335200
2000-08-08,6.109375,6.109375,6.015625,6.0625,5.910639,360000
2000-08-09,6.09375,6.148438,6.0625,6.109375,5.95634,673600
2000-08-10,6.109375,6.117188,5.898438,5.90625,5.758304,830400
2000-08-11,5.890625,5.890625,5.59375,5.6875,5.545033,1671200
2000-08-14,5.71875,5.734375,5.476563,5.726563,5.583117,2308800
2000-08-15,5.75,6.320313,5.75,6.0625,5.910639,3848000
2000-08-16,6.078125,6.09375,5.90625,6.03125,5.880171,901600
2000-08-17,6.0625,6.132813,6.007813,6.070313,5.9182559999999995,681600
2000-08-18,6.101563,6.117188,6.039063,6.054688,5.903023,417600
2000-08-21,6.054688,6.1875,6.054688,6.132813,5.979191,424000
2000-08-22,6.15625,6.210938,6.039063,6.125,5.971575,571200
2000-08-23,6.140625,6.320313,6.140625,6.203125,6.0477419999999995,1150400
2000-08-24,6.203125,6.429688,6.203125,6.398438,6.238163,886400
2000-08-25,6.429688,6.609375,6.3125,6.59375,6.428583000000001,1563200
2000-08-28,6.6875,6.75,6.453125,6.453125,6.29148,470400
2000-08-29,6.671875,6.859375,6.65625,6.7265630000000005,6.558068,1804800
2000-08-30,6.703125,6.7265630000000005,6.6484380000000005,6.703125,6.535218,301600
2000-08-31,6.734375,6.7421880000000005,6.6953130000000005,6.734375,6.565685,468800
2000-09-01,6.734375,6.734375,6.609375,6.65625,6.489517,389600
2000-09-05,6.65625,6.65625,6.53125,6.5859380000000005,6.420965,372000
2000-09-06,6.5546880000000005,6.578125,6.460938,6.578125,6.413349,305600
2000-09-07,6.578125,6.71875,6.578125,6.71875,6.550451,243200
2000-09-08,6.6875,6.703125,6.609375,6.671875,6.50475,553600
2000-09-11,6.6875,6.7109380000000005,6.640625,6.65625,6.489517,222400
2000-09-12,6.671875,6.703125,6.5703130000000005,6.6171880000000005,6.451432,362400
2000-09-13,6.6484380000000005,6.8671880000000005,6.625,6.8203130000000005,6.649469,371200
2000-09-14,6.8515630000000005,6.8515630000000005,6.367188,6.7421880000000005,6.573301,900800
2000-09-15,6.6875,6.75,6.65625,6.703125,6.535218,514400
2000-09-18,6.671875,6.7265630000000005,6.46875,6.5859380000000005,6.420965,497600
2000-09-19,6.5859380000000005,6.7890630000000005,6.511712999999999,6.78125,6.611385,1211200
2000-09-20,6.7890630000000005,6.9375,6.7890630000000005,6.859375,6.687553,386400
2000-09-21,6.78125,6.890625,6.765625,6.890625,6.71802,406400
2000-09-22,6.859375,6.9921880000000005,6.8125,6.9296880000000005,6.756104,362400
