Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,48.5625,49.0,46.625,47.0,19.847189,5791900
2000-01-04,47.0625,47.75,43.5,44.25,18.685914999999998,7173600
2000-01-05,45.0,45.25,44.4375,44.9375,18.976242000000003,9090000
2000-01-06,44.5625,45.0,43.125,43.75,18.575647,7153600
2000-01-07,44.5625,44.75,43.375,44.125,18.734861,5885600
2000-01-10,44.75,45.0,44.25,44.75,19.000227,7118700
2000-01-11,44.6875,44.9375,43.8125,44.125,18.734861,6472800
2000-01-12,43.5,43.5625,41.5,41.8125,17.753007999999998,8920000
2000-01-13,42.375,42.9375,40.75,40.8125,17.328424,8250000
2000-01-14,41.25,42.0,40.0,42.0,17.832607,9888300
2000-01-18,42.125,43.0625,40.875,41.125,17.4611,9824500
2000-01-19,41.0,41.0,40.0,40.5625,17.222261,10212300
2000-01-20,40.8125,41.5625,40.0625,41.0,17.40803,10080400
2000-01-21,42.875,43.375,42.0,43.0,18.257204,15950400
2000-01-24,43.4375,43.5,40.9375,42.0,17.832607,9980400
2000-01-25,41.0,41.125,38.5625,40.0,16.983442,15943100
2000-01-26,40.5,40.5,39.6875,40.0,16.983442,7662100
2000-01-27,40.0625,40.3125,39.0,39.0,16.558853,6920100
2000-01-28,39.3125,40.4375,39.0,39.25,16.665004999999997,8650600
2000-01-31,39.5,43.5,39.0625,42.875,18.204128,11255300
2000-02-01,43.0,43.0,41.75,42.375,17.991833,8949600
2000-02-02,43.0,43.125,42.5,42.5,18.044907000000002,6675100
2000-02-03,43.0,43.1875,41.3125,42.0,17.832607,7703800
2000-02-04,42.0,42.375,41.5625,42.0,17.832607,6773000
2000-02-07,41.375,42.3125,41.0625,41.875,17.779535,5804500
2000-02-08,42.5,43.0,42.0,42.0625,17.859151999999998,5669800
2000-02-09,42.3125,42.8125,42.0,42.625,18.097982000000002,6809500
2000-02-10,42.375,42.4375,41.9375,42.125,17.885679,5151200
2000-02-11,42.0,42.0625,39.75,40.4375,17.169204999999998,5575700
2000-02-14,39.5,41.5,39.4375,40.875,17.354959,8459100
2000-02-15,40.0,41.0,39.5625,40.6875,17.275347,8191900
2000-02-16,40.375,40.6875,38.75,39.0625,16.585392000000002,8475100
2000-02-17,38.9375,40.0,38.0,40.0,16.983442,9273600
2000-02-18,38.0625,38.25,36.0,38.25,16.240416,13922400
2000-02-22,37.25,37.3125,35.5625,36.5,15.497388,14056000
2000-02-23,36.0,36.5,34.8125,35.75,15.178956,12876300
2000-02-24,35.4375,35.875,34.8125,35.5,15.072803,12888000
2000-02-25,36.0,36.6875,34.9375,35.4375,15.046268,11357400
2000-02-28,35.75,37.5,35.75,37.0,15.709689000000001,11264900
