Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,38.34375,38.75,37.28125,37.46875,29.121346999999997,1842000
2000-01-04,37.46875,38.125,36.6875,36.84375,28.635588000000002,1048800
2000-01-05,36.84375,37.0,35.96875,35.96875,27.955516999999997,905200
2000-01-06,35.6875,35.6875,34.75,35.5,27.5912,2139600
2000-01-07,35.4375,36.375,35.15625,36.375,28.271265000000003,1135200
2000-01-10,36.375,37.21875,36.25,36.8125,28.6113,894000
2000-01-11,36.5,36.6875,35.90625,36.53125,28.392714,773400
2000-01-12,36.5,36.59375,35.65625,35.84375,27.858364,796000
2000-01-13,35.625,35.75,34.34375,34.4375,26.765406,1656800
2000-01-14,34.4375,35.0,34.1875,34.4375,26.765406,1049200
2000-01-18,33.5625,33.75,33.375,33.5625,26.08534,799600
2000-01-19,31.5,32.75,31.4375,31.625,24.579489000000002,3711200
2000-01-20,31.625,31.6875,28.5,28.9375,22.490710999999997,6278000
2000-01-21,28.96875,30.75,28.9375,30.1875,23.462244000000002,3481600
2000-01-24,30.9375,31.125,30.15625,30.4375,23.656542,2375600
2000-01-25,30.0625,30.75,29.875,30.125,23.413662,1815400
2000-01-26,29.96875,30.40625,29.96875,30.125,23.413662,900200
2000-01-27,30.375,31.09375,29.875,30.375,23.607965,1263200
2000-01-28,29.8125,30.09375,29.4375,29.5,22.9279,2002800
2000-01-31,29.625,30.03125,29.625,29.84375,23.195066,931400
2000-02-01,29.78125,30.15625,29.6875,30.0,23.316517,1558000
2000-02-02,29.875,30.875,29.875,30.84375,23.972285999999997,1807800
2000-02-03,30.84375,31.28125,30.5,30.84375,23.972285999999997,1429200
2000-02-04,30.96875,31.0625,30.78125,30.875,23.996572,931400
2000-02-07,31.0,31.0,30.1875,30.5625,23.753698,968800
2000-02-08,30.5625,31.21875,30.46875,30.75,23.899427,1422400
2000-02-09,30.625,30.625,30.15625,30.5625,23.753698,1264000
2000-02-10,30.3125,30.875,30.28125,30.46875,23.680827999999998,1219200
2000-02-11,30.46875,30.53125,29.84375,29.9375,23.267939000000002,972000
2000-02-14,29.90625,30.0625,29.71875,29.84375,23.195066,596800
2000-02-15,30.3125,30.4375,29.25,30.1875,23.462244000000002,767800
2000-02-16,30.125,30.1875,29.25,29.8125,23.170784,600400
2000-02-17,29.6875,30.0625,29.0,29.65625,23.049345000000002,596000
2000-02-18,29.40625,29.9375,29.40625,29.71875,23.097919,1009400
2000-02-22,29.5,29.90625,29.25,29.75,23.122206,925800
2000-02-23,29.75,31.0,29.5,29.90625,23.243645,1117200
2000-02-24,29.78125,30.5625,29.5,30.1875,23.462244000000002,2898000
2000-02-25,30.1875,30.6875,29.78125,29.78125,23.1465,1461800
2000-02-28,29.90625,30.84375,29.90625,30.46875,23.680827999999998,922800
2000-02-29,30.25,30.84375,30.25,30.5,23.705114000000002,1211800
2000-03-01,30.0625,30.15625,28.75,29.5625,22.976477,1205400
2000-03-02,29.78125,29.8125,28.8125,28.8125,22.393564,985400
2000-03-03,28.8125,30.15625,28.8125,29.5,22.9279,1654600
2000-03-06,29.5625,29.59375,28.8125,28.84375,22.417856,1059600
2000-03-07,28.84375,29.0,28.03125,28.15625,21.883523999999998,809400
2000-03-08,27.59375,28.3125,27.4375,27.9375,21.839539000000002,1558800
2000-03-09,27.125,27.4375,26.625,26.9375,21.05781,1510200
