Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,31.8125,31.9375,30.25,30.5,21.453727999999998,599800
2000-01-04,30.125,30.625,29.625,29.9375,21.058065,450500
2000-01-05,29.9375,30.0,28.875,28.9375,20.354662,680300
2000-01-06,29.1875,30.0,28.6875,29.5625,20.794283,890400
2000-01-07,30.875,30.875,29.75,30.0,21.102028,852000
2000-01-10,30.25,30.25,29.25,29.875,21.014097,913000
2000-01-11,29.5625,29.6875,29.0625,29.5,20.750324,936900
2000-01-12,29.4375,29.5,28.75,29.125,20.486551000000002,805200
2000-01-13,29.625,29.625,29.125,29.375,20.662407,668600
2000-01-14,29.3125,30.125,29.3125,29.4375,20.70636,961500
2000-01-18,29.6875,29.6875,29.125,29.375,20.662407,510600
2000-01-19,29.125,29.3125,28.875,29.0625,20.442591,653400
2000-01-20,29.1875,29.1875,27.5625,27.625,19.431454000000002,915100
2000-01-21,27.6875,27.6875,26.5625,26.75,18.815973,1120600
2000-01-24,27.0,27.3125,26.625,26.6875,18.772007000000002,772200
2000-01-25,26.6875,27.125,26.4375,26.625,18.728045,524800
2000-01-26,26.375,27.75,26.0625,27.5,19.343517000000002,842500
2000-01-27,27.4375,27.4375,25.6875,26.4375,18.696776999999997,809400
2000-01-28,26.6875,26.6875,25.625,25.9375,18.343189000000002,513700
2000-01-31,25.875,26.75,25.625,26.75,18.917782,590200
2000-02-01,26.5,26.75,26.1875,26.3125,18.608381,672200
2000-02-02,26.5,26.8125,25.75,25.9375,18.343189000000002,574700
2000-02-03,26.0625,26.9375,25.9687,26.4375,18.696776999999997,814800
2000-02-04,26.6875,26.75,26.1875,26.5,18.740978,549000
2000-02-07,26.5,26.5625,26.1875,26.3125,18.608381,367000
2000-02-08,26.4375,26.625,25.75,25.8125,18.254776,719400
2000-02-09,26.0625,26.125,25.6875,25.6875,18.166382000000002,767300
2000-02-10,17.0,17.4375,15.125,15.8125,11.182708,18414900
2000-02-11,15.6875,15.75,13.75,15.0,10.608105,11680000
2000-02-14,14.9375,14.9375,13.5,14.1875,10.033502,7098500
2000-02-15,13.8125,14.125,13.0,13.4375,9.503093,6253900
2000-02-16,13.4375,13.75,13.125,13.25,9.370489,4333100
2000-02-17,13.5625,15.25,13.4375,15.0625,10.652305,8587100
2000-02-18,14.9375,15.1875,14.125,14.25,10.0777,3060100
2000-02-22,14.125,14.625,14.0625,14.375,10.166099,2121600
2000-02-23,14.5625,14.6875,13.875,13.875,9.812496000000001,2048800
2000-02-24,14.0625,14.25,13.4375,13.5,9.547294,2369200
2000-02-25,13.5,14.0625,13.375,13.9375,9.856694000000001,2141600
2000-02-28,13.9375,14.625,13.75,13.9375,9.856694000000001,1312700
2000-02-29,14.125,14.125,13.375,13.375,9.458891,2367700
2000-03-01,13.3125,15.125,13.125,15.125,10.696507,3220400
2000-03-02,14.4375,14.625,14.0,14.0,9.900896000000001,2084400
2000-03-03,14.25,14.375,13.6875,13.9375,9.856694000000001,1360600
2000-03-06,14.0625,14.0625,13.4375,13.5625,9.591494,1560600
2000-03-07,13.6875,13.8125,13.25,13.375,9.458891,1465300
2000-03-08,13.375,13.4375,13.0,13.0625,9.237891000000001,1653700
2000-03-09,13.0625,13.125,12.625,12.8125,9.061088,1128300
2000-03-10,12.625,12.625,12.0625,12.3125,8.707489,2045900
2000-03-13,12.1875,12.4375,11.9375,12.1875,8.619082,1838200
2000-03-14,12.125,12.4375,11.9375,12.0625,8.530685,2024700
2000-03-15,12.0,13.625,12.0,13.5,9.547294,2156100
2000-03-16,13.75,14.25,13.75,14.0,9.900896000000001,3109300
2000-03-17,14.1875,14.625,13.9375,13.9375,9.856694000000001,1716500
2000-03-20,13.875,14.0,13.625,13.75,9.724098,1197600
2000-03-21,13.625,14.0625,13.5625,13.6875,9.679896000000001,1776200
2000-03-22,13.875,13.875,13.0625,13.25,9.370489,2026200
2000-03-23,13.4375,15.3125,13.375,14.75,10.431301,3666200
2000-03-24,14.875,15.25,14.0625,14.125,9.989299,1702200
2000-03-27,14.4375,14.625,14.125,14.25,10.0777,1496900
2000-03-28,14.1875,14.9375,14.1875,14.625,10.3429,1548700
2000-03-29,14.6875,15.1875,14.625,15.0,10.608105,1716200
2000-03-30,15.1875,16.3125,15.0625,16.125,11.403714,4215500
2000-03-31,16.9375,18.0,16.5625,16.9375,11.978317,4753700
2000-04-03,17.5,17.5,16.875,17.3125,12.243524,3268500
2000-04-04,17.3125,17.5625,16.375,16.625,11.757311999999999,2424300
