Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,17.375,17.5,16.625,16.6875,16.6875,170200
2000-01-04,16.5,16.625,15.875,16.5,16.5,243800
2000-01-05,16.625,16.75,16.0,16.4375,16.4375,166200
2000-01-06,16.3125,18.75,16.3125,17.375,17.375,291600
2000-01-07,18.0,18.1875,17.625,17.9375,17.9375,655500
2000-01-10,18.25,18.25,17.75,17.8125,17.8125,291600
2000-01-11,17.875,18.0625,17.6875,17.8125,17.8125,485900
2000-01-12,18.0,18.25,17.75,17.8125,17.8125,229600
2000-01-13,17.8125,18.625,17.8125,18.5625,18.5625,255900
2000-01-14,18.75,19.1875,18.5,18.75,18.75,331000
2000-01-18,18.75,19.375,18.1875,19.0,19.0,286600
2000-01-19,19.125,21.25,19.0625,20.75,20.75,849900
2000-01-20,22.0,22.3125,20.125,20.125,20.125,623200
2000-01-21,21.0,21.0,19.75,20.625,20.625,773300
2000-01-24,21.125,21.875,20.75,21.1875,21.1875,326800
2000-01-25,21.25,21.625,19.5,20.3125,20.3125,430600
2000-01-26,20.3125,21.625,20.1875,21.25,21.25,306800
2000-01-27,22.0,22.0,20.25,20.3125,20.3125,264400
2000-01-28,18.5,20.25,18.5,19.1875,19.1875,187700
2000-01-31,19.4375,19.9375,18.8125,19.125,19.125,188100
2000-02-01,18.875,19.8125,18.6875,19.75,19.75,72500
2000-02-02,19.5,19.625,19.0,19.3125,19.3125,220300
2000-02-03,19.5,19.5,18.375,19.25,19.25,90600
2000-02-04,20.25,20.25,18.9375,18.9375,18.9375,163200
2000-02-07,19.0,19.1875,18.125,18.5,18.5,111900
2000-02-08,18.75,18.9375,17.6875,17.6875,17.6875,174100
2000-02-09,17.75,18.0,16.75,17.0625,17.0625,568100
2000-02-10,16.9375,17.625,16.5,16.875,16.875,365300
2000-02-11,16.8125,17.0,15.875,16.3125,16.3125,372900
2000-02-14,16.5625,16.75,15.5,15.75,15.75,473800
2000-02-15,15.9375,17.5,15.75,17.25,17.25,455000
2000-02-16,17.375,17.4375,16.8125,16.9375,16.9375,133000
2000-02-17,16.75,17.0,16.6875,16.8125,16.8125,148700
2000-02-18,16.75,16.875,16.0,16.375,16.375,251600
2000-02-22,15.0,16.375,15.0,16.0625,16.0625,707000
2000-02-23,15.8125,16.375,15.625,16.375,16.375,227400
